total,extreme,distance
24,0,208.7147593792848
24,2,215.88850689264666
24,4,224.1327217762218
24,8,242.89881310407782
28,0,194.6087371454364
28,2,199.87411806623734
28,4,206.60624996898318
28,8,222.03432387359427
28,12,240.6894010795107
32,0,183.5615004850327
32,2,187.88263782682895
32,4,192.5426114185092
32,8,204.50785206635567
32,12,220.22619148115314
32,16,238.06404972317017
36,0,174.17286456185775
36,2,177.56484108322465
36,4,181.83802531346268
36,8,190.44421351588167
36,12,202.5072294597151
36,16,217.79713856612403
40,0,166.32157737760903
40,2,169.2445669138443
40,4,172.95362804767075
40,8,179.73962741083517
40,12,188.23559655014725
40,16,200.23706577738977
44,0,159.46327216160358
44,2,161.9354512727578
44,4,165.0974373774802
44,8,170.91869121253654
44,12,177.53101044510066
44,16,186.35785630963855
48,0,153.16845786953056
48,2,155.51416356278602
48,4,158.31192461507797
48,8,163.28678443443619
48,12,168.93814627946927
48,16,175.6884976938636
52,0,147.1781293257636
52,2,149.34542438762256
52,4,152.01711032300497
52,8,156.75903327297556
52,12,161.4999526922643
52,16,167.09563352823218
56,0,141.8813021746066
56,2,143.69473690340615
56,4,146.02678177923804
56,8,150.51370653982514
56,12,154.98120265200916
56,16,159.65743994102718
60,0,136.9604395350493
60,2,138.6670519879623
60,4,140.75932008667968
60,8,144.86301905560876
60,12,148.87019245815543
60,16,153.13868990077208
