region_1,technology_3,parameter,value
AL,onshore,capaConvUp,21.6858344
AL,rooftopInd,capaConvUp,3.302997987
AL,rooftopResi,capaConvUp,3.558438755
AT,onshore,capaConvUp,79.38666667
AT,rooftopInd,capaConvUp,12.40621348
AT,rooftopResi,capaConvUp,13.36566084
BA,onshore,capaConvUp,34.92861539
BA,rooftopInd,capaConvUp,5.320023395
BA,rooftopResi,capaConvUp,5.731452911
BE,onshore,capaConvUp,30.68
BE,rooftopInd,capaConvUp,9.09222495
BE,rooftopResi,capaConvUp,9.795381577
BG,onshore,capaConvUp,118.7333333
BG,rooftopInd,capaConvUp,16.82486486
BG,rooftopResi,capaConvUp,18.1260332
CH,onshore,capaConvUp,36.05333333
CH,rooftopInd,capaConvUp,7.945075073
CH,rooftopResi,capaConvUp,8.559515677
CZ,onshore,capaConvUp,97.24
CZ,rooftopInd,capaConvUp,16.27253344
CZ,rooftopResi,capaConvUp,17.53098665
DE,onshore,capaConvUp,385.84
DE,rooftopInd,capaConvUp,85.14401308
DE,rooftopResi,capaConvUp,91.72871346
DK,onshore,capaConvUp,56.50666667
DK,rooftopInd,capaConvUp,9.559582307
DK,rooftopResi,capaConvUp,10.2988825
EE,onshore,capaConvUp,27.38666667
EE,rooftopInd,capaConvUp,3.101553371
EE,rooftopResi,capaConvUp,3.341415211
ES,onshore,capaConvUp,635.96
ES,rooftopInd,capaConvUp,94.15126397
ES,rooftopResi,capaConvUp,101.4325494
FI,onshore,capaConvUp,124.4533333
FI,rooftopInd,capaConvUp,8.624867593
FI,rooftopResi,capaConvUp,9.291880655
FR,onshore,capaConvUp,661.6133333
FR,rooftopInd,capaConvUp,106.9823478
FR,rooftopResi,capaConvUp,115.2559384
GR,onshore,capaConvUp,183.04
GR,rooftopInd,capaConvUp,26.68185639
GR,rooftopResi,capaConvUp,28.74532538
HR,onshore,capaConvUp,34.32
HR,rooftopInd,capaConvUp,5.693262352
HR,rooftopResi,capaConvUp,6.133556689
HU,onshore,capaConvUp,118.2133333
HU,rooftopInd,capaConvUp,18.82175539
HU,rooftopResi,capaConvUp,20.27735532
IE,onshore,capaConvUp,97.58666667
IE,rooftopInd,capaConvUp,13.97823368
IE,rooftopResi,capaConvUp,15.05925485
IT,onshore,capaConvUp,329.68
IT,rooftopInd,capaConvUp,67.93676493
IT,rooftopResi,capaConvUp,73.19072496
LT,onshore,capaConvUp,65.17333333
LT,rooftopInd,capaConvUp,8.794815723
LT,rooftopResi,capaConvUp,9.4749719
LU,onshore,capaConvUp,2.946666667
LU,rooftopInd,capaConvUp,0.594818455
LU,rooftopResi,capaConvUp,0.640819356
LV,onshore,capaConvUp,49.22666667
LV,rooftopInd,capaConvUp,5.778236417
LV,rooftopResi,capaConvUp,6.225102311
ME,onshore,capaConvUp,15.11941009
ME,rooftopInd,capaConvUp,2.302857256
ME,rooftopResi,capaConvUp,2.480951105
MK,onshore,capaConvUp,31.93392688
MK,rooftopInd,capaConvUp,4.863898445
MK,rooftopResi,capaConvUp,5.240053066
NL,onshore,capaConvUp,40.90666667
NL,rooftopInd,capaConvUp,13.51087633
NL,rooftopResi,capaConvUp,14.55575393
NO,onshore,capaConvUp,55.81333333
NO,rooftopInd,capaConvUp,5.098443897
NO,rooftopResi,capaConvUp,5.492737333
PL,onshore,capaConvUp,336.0933333
PL,rooftopInd,capaConvUp,57.10257165
PL,rooftopResi,capaConvUp,61.51865813
PT,onshore,capaConvUp,88.4
PT,rooftopInd,capaConvUp,14.9129484
