region_1,technology_3,parameter_1,value_1,parameter_2,value_2
AT,reservoir,capaStOutResi,8.532234,capaStSizeResi,2489.6572
CH,reservoir,capaStOutResi,10.732,capaStSizeResi,8800
DE,reservoir,capaStOutResi,2.9411,capaStSizeResi,675.25
FR,reservoir,capaStOutResi,10.63536585,capaStSizeResi,10090
IT,reservoir,capaStOutResi,12.98284898,capaStSizeResi,5958.48
