timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,CH,s2016,wind,avaConv,0.0
h0002,CH,s2016,wind,avaConv,0.0
h0003,CH,s2016,wind,avaConv,0.0
h0004,CH,s2016,wind,avaConv,0.0
h0005,CH,s2016,wind,avaConv,0.0
h0006,CH,s2016,wind,avaConv,0.0
h0007,CH,s2016,wind,avaConv,0.0
h0008,CH,s2016,wind,avaConv,0.0
h0009,CH,s2016,wind,avaConv,0.0
h0010,CH,s2016,wind,avaConv,0.0312451688918967
h0011,CH,s2016,wind,avaConv,0.055450531212471
h0012,CH,s2016,wind,avaConv,0.0506287458896475
h0013,CH,s2016,wind,avaConv,0.0361312446856913
h0014,CH,s2016,wind,avaConv,0.0312451688918967
h0015,CH,s2016,wind,avaConv,0.0165869415105131
h0016,CH,s2016,wind,avaConv,0.0
h0017,CH,s2016,wind,avaConv,0.0
h0018,CH,s2016,wind,avaConv,0.0
h0019,CH,s2016,wind,avaConv,0.0
h0020,CH,s2016,wind,avaConv,0.0
h0021,CH,s2016,wind,avaConv,0.0
h0022,CH,s2016,wind,avaConv,0.0
h0023,CH,s2016,wind,avaConv,0.0
h0024,CH,s2016,wind,avaConv,0.00141439036136158
h0025,CH,s2016,wind,avaConv,0.0127295132522542
h0026,CH,s2016,wind,avaConv,0.0165869415105131
h0027,CH,s2016,wind,avaConv,0.0070719518068079
h0028,CH,s2016,wind,avaConv,0.000121652223742562
h0029,CH,s2016,wind,avaConv,0.0
h0030,CH,s2016,wind,avaConv,0.0
h0031,CH,s2016,wind,avaConv,0.0070719518068079
h0032,CH,s2016,wind,avaConv,0.00141439036136158
h0033,CH,s2016,wind,avaConv,0.0
h0034,CH,s2016,wind,avaConv,0.0
h0035,CH,s2016,wind,avaConv,0.00228500989919529
h0036,CH,s2016,wind,avaConv,0.0514993654274812
h0037,CH,s2016,wind,avaConv,0.133884905797068
h0038,CH,s2016,wind,avaConv,0.159922546540315
h0039,CH,s2016,wind,avaConv,0.106143567573089
h0040,CH,s2016,wind,avaConv,0.0660263136871974
h0041,CH,s2016,wind,avaConv,0.0458069605668239
h0042,CH,s2016,wind,avaConv,0.0727125226681794
h0043,CH,s2016,wind,avaConv,0.0602723165352946
h0044,CH,s2016,wind,avaConv,0.0602723165352946
h0045,CH,s2016,wind,avaConv,0.0165869415105131
h0046,CH,s2016,wind,avaConv,0.0165869415105131
h0047,CH,s2016,wind,avaConv,0.112829776554071
h0048,CH,s2016,wind,avaConv,0.126202194516035
h0049,CH,s2016,wind,avaConv,0.112829776554071
h0050,CH,s2016,wind,avaConv,0.0935934013968572
h0051,CH,s2016,wind,avaConv,0.0621909040353355
h0052,CH,s2016,wind,avaConv,0.0547898382598662
h0053,CH,s2016,wind,avaConv,0.0509148883266732
h0054,CH,s2016,wind,avaConv,0.0354062612621154
h0055,CH,s2016,wind,avaConv,0.0207480338807318
h0056,CH,s2016,wind,avaConv,0.0288258484552977
h0057,CH,s2016,wind,avaConv,0.0320674206776285
h0058,CH,s2016,wind,avaConv,0.0482737159240194
h0059,CH,s2016,wind,avaConv,0.127572614158922
h0060,CH,s2016,wind,avaConv,0.126202194516035
h0061,CH,s2016,wind,avaConv,0.0994573585921074
h0062,CH,s2016,wind,avaConv,0.0525473333896884
h0063,CH,s2016,wind,avaConv,0.0
h0064,CH,s2016,wind,avaConv,0.0
h0065,CH,s2016,wind,avaConv,0.0
h0066,CH,s2016,wind,avaConv,0.000677148529426219
h0067,CH,s2016,wind,avaConv,0.00222491659792708
h0068,CH,s2016,wind,avaConv,0.00554710163370724
h0069,CH,s2016,wind,avaConv,0.00768007953233785
h0070,CH,s2016,wind,avaConv,0.0189208519626794
h0071,CH,s2016,wind,avaConv,0.127868882988948
h0072,CH,s2016,wind,avaConv,0.28132477391882
h0073,CH,s2016,wind,avaConv,0.570158942031508
h0074,CH,s2016,wind,avaConv,0.654039952145224
h0075,CH,s2016,wind,avaConv,0.647941484900141
h0076,CH,s2016,wind,avaConv,0.639577394662893
h0077,CH,s2016,wind,avaConv,0.645592117925212
h0078,CH,s2016,wind,avaConv,0.648583656699973
h0079,CH,s2016,wind,avaConv,0.642022797542284
h0080,CH,s2016,wind,avaConv,0.605566569595269
h0081,CH,s2016,wind,avaConv,0.625883524346074
h0082,CH,s2016,wind,avaConv,0.61247779522465
h0083,CH,s2016,wind,avaConv,0.619197015469621
h0084,CH,s2016,wind,avaConv,0.581064205227659
h0085,CH,s2016,wind,avaConv,0.618746182548671
h0086,CH,s2016,wind,avaConv,0.620117668181709
h0087,CH,s2016,wind,avaConv,0.537257944188602
h0088,CH,s2016,wind,avaConv,0.273041630213756
h0089,CH,s2016,wind,avaConv,0.106143567573089
h0090,CH,s2016,wind,avaConv,0.0927711496111254
h0091,CH,s2016,wind,avaConv,0.224438034159694
h0092,CH,s2016,wind,avaConv,0.273041630213756
h0093,CH,s2016,wind,avaConv,0.273041630213756
h0094,CH,s2016,wind,avaConv,0.224438034159694
h0095,CH,s2016,wind,avaConv,0.168601760121397
h0096,CH,s2016,wind,avaConv,0.0727125226681794
