timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,LU,s2016,solar,avaConv,0.0
h0002,LU,s2016,solar,avaConv,0.0
h0003,LU,s2016,solar,avaConv,0.0
h0004,LU,s2016,solar,avaConv,0.0
h0005,LU,s2016,solar,avaConv,0.0
h0006,LU,s2016,solar,avaConv,0.0
h0007,LU,s2016,solar,avaConv,0.0
h0008,LU,s2016,solar,avaConv,0.000490680765946777
h0009,LU,s2016,solar,avaConv,0.0129839872101052
h0010,LU,s2016,solar,avaConv,0.0379377523358642
h0011,LU,s2016,solar,avaConv,0.0651652461329809
h0012,LU,s2016,solar,avaConv,0.0790758840239135
h0013,LU,s2016,solar,avaConv,0.0888163873315977
h0014,LU,s2016,solar,avaConv,0.0818567333537645
h0015,LU,s2016,solar,avaConv,0.0420390032627179
h0016,LU,s2016,solar,avaConv,0.00424191853859597
h0017,LU,s2016,solar,avaConv,0.0
h0018,LU,s2016,solar,avaConv,0.0
h0019,LU,s2016,solar,avaConv,0.0
h0020,LU,s2016,solar,avaConv,0.0
h0021,LU,s2016,solar,avaConv,0.0
h0022,LU,s2016,solar,avaConv,0.0
h0023,LU,s2016,solar,avaConv,0.0
h0024,LU,s2016,solar,avaConv,0.0
h0025,LU,s2016,solar,avaConv,0.0
h0026,LU,s2016,solar,avaConv,0.0
h0027,LU,s2016,solar,avaConv,0.0
h0028,LU,s2016,solar,avaConv,0.0
h0029,LU,s2016,solar,avaConv,0.0
h0030,LU,s2016,solar,avaConv,0.0
h0031,LU,s2016,solar,avaConv,0.0
h0032,LU,s2016,solar,avaConv,8.790715747545e-5
h0033,LU,s2016,solar,avaConv,0.00447199557825794
h0034,LU,s2016,solar,avaConv,0.0146280049011411
h0035,LU,s2016,solar,avaConv,0.0417570386793063
h0036,LU,s2016,solar,avaConv,0.0801226543032021
h0037,LU,s2016,solar,avaConv,0.069788324216909
h0038,LU,s2016,solar,avaConv,0.0307768213336604
h0039,LU,s2016,solar,avaConv,0.0120636850660653
h0040,LU,s2016,solar,avaConv,0.00193106734239933
h0041,LU,s2016,solar,avaConv,0.0
h0042,LU,s2016,solar,avaConv,0.0
h0043,LU,s2016,solar,avaConv,0.0
h0044,LU,s2016,solar,avaConv,0.0
h0045,LU,s2016,solar,avaConv,0.0
h0046,LU,s2016,solar,avaConv,0.0
h0047,LU,s2016,solar,avaConv,0.0
h0048,LU,s2016,solar,avaConv,0.0
h0049,LU,s2016,solar,avaConv,0.0
h0050,LU,s2016,solar,avaConv,0.0
h0051,LU,s2016,solar,avaConv,0.0
h0052,LU,s2016,solar,avaConv,0.0
h0053,LU,s2016,solar,avaConv,0.0
h0054,LU,s2016,solar,avaConv,0.0
h0055,LU,s2016,solar,avaConv,0.0
h0056,LU,s2016,solar,avaConv,0.000181865296765732
h0057,LU,s2016,solar,avaConv,0.00936690153558649
h0058,LU,s2016,solar,avaConv,0.0291720689364627
h0059,LU,s2016,solar,avaConv,0.0455702548269096
h0060,LU,s2016,solar,avaConv,0.0508820102617405
h0061,LU,s2016,solar,avaConv,0.0448470798569657
h0062,LU,s2016,solar,avaConv,0.0274261007587705
h0063,LU,s2016,solar,avaConv,0.00836129985256798
h0064,LU,s2016,solar,avaConv,0.000500748643537819
h0065,LU,s2016,solar,avaConv,0.0
h0066,LU,s2016,solar,avaConv,0.0
h0067,LU,s2016,solar,avaConv,0.0
h0068,LU,s2016,solar,avaConv,0.0
h0069,LU,s2016,solar,avaConv,0.0
h0070,LU,s2016,solar,avaConv,0.0
h0071,LU,s2016,solar,avaConv,0.0
h0072,LU,s2016,solar,avaConv,0.0
h0073,LU,s2016,solar,avaConv,0.0
h0074,LU,s2016,solar,avaConv,0.0
h0075,LU,s2016,solar,avaConv,0.0
h0076,LU,s2016,solar,avaConv,0.0
h0077,LU,s2016,solar,avaConv,0.0
h0078,LU,s2016,solar,avaConv,0.0
h0079,LU,s2016,solar,avaConv,0.0
h0080,LU,s2016,solar,avaConv,0.00104830808348446
h0081,LU,s2016,solar,avaConv,0.0220583248722216
h0082,LU,s2016,solar,avaConv,0.0253116630314722
h0083,LU,s2016,solar,avaConv,0.0268710365999839
h0084,LU,s2016,solar,avaConv,0.0409251590062503
h0085,LU,s2016,solar,avaConv,0.0597121084321049
h0086,LU,s2016,solar,avaConv,0.0547142500990737
h0087,LU,s2016,solar,avaConv,0.0327832790326714
h0088,LU,s2016,solar,avaConv,0.0035922147488277
h0089,LU,s2016,solar,avaConv,0.0
h0090,LU,s2016,solar,avaConv,0.0
h0091,LU,s2016,solar,avaConv,0.0
h0092,LU,s2016,solar,avaConv,0.0
h0093,LU,s2016,solar,avaConv,0.0
h0094,LU,s2016,solar,avaConv,0.0
h0095,LU,s2016,solar,avaConv,0.0
h0096,LU,s2016,solar,avaConv,0.0
