timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,CH,s2014,electricity,dem,7.08344466880473
h0002,CH,s2014,electricity,dem,7.12839521825528
h0003,CH,s2014,electricity,dem,7.15242818528824
h0004,CH,s2014,electricity,dem,7.18634027320033
h0005,CH,s2014,electricity,dem,7.08686225122231
h0006,CH,s2014,electricity,dem,7.18346115232121
h0007,CH,s2014,electricity,dem,7.35062049298055
h0008,CH,s2014,electricity,dem,7.75858752594758
h0009,CH,s2014,electricity,dem,8.07640071276077
h0010,CH,s2014,electricity,dem,8.17108752594758
h0011,CH,s2014,electricity,dem,8.23153807539813
h0012,CH,s2014,electricity,dem,8.18081829517835
h0013,CH,s2014,electricity,dem,8.05371389957396
h0014,CH,s2014,electricity,dem,8.05903807539813
h0015,CH,s2014,electricity,dem,7.95540620726627
h0016,CH,s2014,electricity,dem,7.89788422924429
h0017,CH,s2014,electricity,dem,7.96480730616736
h0018,CH,s2014,electricity,dem,8.15040620726626
h0019,CH,s2014,electricity,dem,8.26421939407945
h0020,CH,s2014,electricity,dem,8.0172798336399
h0021,CH,s2014,electricity,dem,7.62640071276077
h0022,CH,s2014,electricity,dem,7.36699411935417
h0023,CH,s2014,electricity,dem,7.30692818528824
h0024,CH,s2014,electricity,dem,7.14901609737615
h0025,CH,s2014,electricity,dem,7.01560154001473
h0026,CH,s2014,electricity,dem,7.06055208946528
h0027,CH,s2014,electricity,dem,7.08458505649824
h0028,CH,s2014,electricity,dem,7.11849714441033
h0029,CH,s2014,electricity,dem,7.01901912243231
h0030,CH,s2014,electricity,dem,7.11561802353121
h0031,CH,s2014,electricity,dem,7.28277736419055
h0032,CH,s2014,electricity,dem,7.69074439715758
h0033,CH,s2014,electricity,dem,8.00855758397077
h0034,CH,s2014,electricity,dem,8.10324439715758
h0035,CH,s2014,electricity,dem,8.16369494660814
h0036,CH,s2014,electricity,dem,8.11297516638835
h0037,CH,s2014,electricity,dem,7.98587077078396
h0038,CH,s2014,electricity,dem,7.99119494660813
h0039,CH,s2014,electricity,dem,7.88756307847627
h0040,CH,s2014,electricity,dem,7.83004110045429
h0041,CH,s2014,electricity,dem,7.89696417737736
h0042,CH,s2014,electricity,dem,8.08256307847626
h0043,CH,s2014,electricity,dem,8.19637626528945
h0044,CH,s2014,electricity,dem,7.9494367048499
h0045,CH,s2014,electricity,dem,7.55855758397077
h0046,CH,s2014,electricity,dem,7.29915099056417
h0047,CH,s2014,electricity,dem,7.23908505649824
h0048,CH,s2014,electricity,dem,7.08117296858615
h0049,CH,s2014,electricity,dem,6.89044867992473
h0050,CH,s2014,electricity,dem,6.93539922937528
h0051,CH,s2014,electricity,dem,6.95943219640824
h0052,CH,s2014,electricity,dem,6.99334428432033
h0053,CH,s2014,electricity,dem,6.89386626234231
h0054,CH,s2014,electricity,dem,6.99046516344121
h0055,CH,s2014,electricity,dem,7.15762450410055
h0056,CH,s2014,electricity,dem,7.56559153706758
h0057,CH,s2014,electricity,dem,7.88340472388077
h0058,CH,s2014,electricity,dem,7.97809153706758
h0059,CH,s2014,electricity,dem,8.03854208651814
h0060,CH,s2014,electricity,dem,7.98782230629835
h0061,CH,s2014,electricity,dem,7.86071791069396
h0062,CH,s2014,electricity,dem,7.86604208651813
h0063,CH,s2014,electricity,dem,7.76241021838627
h0064,CH,s2014,electricity,dem,7.70488824036429
h0065,CH,s2014,electricity,dem,7.77181131728736
h0066,CH,s2014,electricity,dem,7.95741021838626
h0067,CH,s2014,electricity,dem,8.07122340519945
h0068,CH,s2014,electricity,dem,7.8242838447599
h0069,CH,s2014,electricity,dem,7.43340472388077
h0070,CH,s2014,electricity,dem,7.17399813047417
h0071,CH,s2014,electricity,dem,7.11393219640824
h0072,CH,s2014,electricity,dem,6.95602010849615
h0073,CH,s2014,electricity,dem,6.28005299071473
h0074,CH,s2014,electricity,dem,6.32500354016528
h0075,CH,s2014,electricity,dem,6.34903650719824
h0076,CH,s2014,electricity,dem,6.38294859511033
h0077,CH,s2014,electricity,dem,6.28347057313231
h0078,CH,s2014,electricity,dem,6.38006947423121
h0079,CH,s2014,electricity,dem,6.54722881489055
h0080,CH,s2014,electricity,dem,6.95519584785758
h0081,CH,s2014,electricity,dem,7.27300903467077
h0082,CH,s2014,electricity,dem,7.36769584785758
h0083,CH,s2014,electricity,dem,7.42814639730814
h0084,CH,s2014,electricity,dem,7.37742661708835
h0085,CH,s2014,electricity,dem,7.25032222148396
h0086,CH,s2014,electricity,dem,7.25564639730813
h0087,CH,s2014,electricity,dem,7.15201452917627
h0088,CH,s2014,electricity,dem,7.09449255115429
h0089,CH,s2014,electricity,dem,7.16141562807736
h0090,CH,s2014,electricity,dem,7.34701452917626
h0091,CH,s2014,electricity,dem,7.46082771598945
h0092,CH,s2014,electricity,dem,7.2138881555499
h0093,CH,s2014,electricity,dem,6.82300903467077
h0094,CH,s2014,electricity,dem,6.56360244126417
h0095,CH,s2014,electricity,dem,6.50353650719824
h0096,CH,s2014,electricity,dem,6.34562441928615
