scenario,timestep_3,parameter,value
scr1983,ini01,scrProb,0.5
scr1983,ini02,scrProb,0.5
scr1983,ini03,scrProb,0.5
scr1983,ini04,scrProb,0.5
scr1983,ini05,scrProb,0.5
scr1983,ini06,scrProb,0.5
scr1983,ini07,scrProb,0.5
scr1983,ini08,scrProb,0.5
scr1983,ini09,scrProb,0.5
scr1983,ini10,scrProb,0.5
scr1983,ini11,scrProb,0.5
scr1983,ini12,scrProb,0.5
scr1984,ini01,scrProb,0.5
scr1984,ini02,scrProb,0.5
scr1984,ini03,scrProb,0.5
scr1984,ini04,scrProb,0.5
scr1984,ini05,scrProb,0.5
scr1984,ini06,scrProb,0.5
scr1984,ini07,scrProb,0.5
scr1984,ini08,scrProb,0.5
scr1984,ini09,scrProb,0.5
scr1984,ini10,scrProb,0.5
scr1984,ini11,scrProb,0.5
scr1984,ini12,scrProb,0.5
