region_4,technology_3,parameter,value
AT,heatpumpGroundSpace,desFac,2.7499599999999997
BE,heatpumpGroundSpace,desFac,2.66
BG,heatpumpGroundSpace,desFac,2.449307227306477
CH,heatpumpGroundSpace,desFac,2.77692
CZ,heatpumpGroundSpace,desFac,2.432042192020068
DE,heatpumpGroundSpace,desFac,2.55705087271427
GR,heatpumpGroundSpace,desFac,3.823994610614007
ES,heatpumpGroundSpace,desFac,3.6888811188811186
DK,heatpumpGroundSpace,desFac,2.696582486135527
EE,heatpumpGroundSpace,desFac,2.24
FI,heatpumpGroundSpace,desFac,2.0114005048144565
FR,heatpumpGroundSpace,desFac,2.923476953907816
IT,heatpumpGroundSpace,desFac,3.535
NL,heatpumpGroundSpace,desFac,2.7000012098687076
IE,heatpumpGroundSpace,desFac,3.4
HR,heatpumpGroundSpace,desFac,2.946965709926115
HU,heatpumpGroundSpace,desFac,2.7616404019050607
MK,heatpumpGroundSpace,desFac,2.58
LV,heatpumpGroundSpace,desFac,2.063043946485593
ME,heatpumpGroundSpace,desFac,2.829120004160832
LT,heatpumpGroundSpace,desFac,1.9938161168884663
LU,heatpumpGroundSpace,desFac,2.5588721007014623
NO,heatpumpGroundSpace,desFac,2.8557415923263787
PL,heatpumpGroundSpace,desFac,2.367868875867549
RO,heatpumpGroundSpace,desFac,2.5051200000000002
PT,heatpumpGroundSpace,desFac,4.24341
SK,heatpumpGroundSpace,desFac,2.603054975990952
SI,heatpumpGroundSpace,desFac,2.62
SE,heatpumpGroundSpace,desFac,2.610168612642059
UK,heatpumpGroundSpace,desFac,3.2347652347652347
RS,heatpumpGroundSpace,desFac,2.69950813233163
BA,heatpumpGroundSpace,desFac,2.7493146285822165
AL,heatpumpGroundSpace,desFac,3.2
