timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,directed,variable,value,objName
none,30th < 2040,EU < BE < be,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,1.400000922877983,Scenario_1
none,30th < 2040,EU < DE < de,EU < DK < dk_e,none,powerGrid < hvdc,no,expExc,0.025625670259454617,Scenario_1
none,30th < 2040,EU < DE < de,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,1.9999946305951553,Scenario_1
none,30th < 2040,EU < DE < de,EU < SE < se_4,none,powerGrid < hvdc,no,expExc,1.3999996368244805,Scenario_1
none,30th < 2040,EU < DK < dk_e,EU < PL < pl,none,powerGrid < hvdc,no,expExc,0.22193298489583685,Scenario_1
none,30th < 2040,EU < DK < dk_w,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,4.434710041188655,Scenario_1
none,30th < 2040,EU < DK < dk_w,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,1.0079104563069093e-5,Scenario_1
none,30th < 2040,EU < EE < ee,EU < FI < fi,none,powerGrid < hvdc,no,expExc,1.7226108950971084,Scenario_1
none,30th < 2040,EU < FI < fi,EU < SE < se_1,none,powerGrid < hvdc,no,expExc,2.9999993778760707,Scenario_1
none,30th < 2040,EU < FI < fi,EU < SE < se_2,none,powerGrid < hvdc,no,expExc,0.7999998905529337,Scenario_1
none,30th < 2040,EU < FR < fr,EU < IE < ie,none,powerGrid < hvdc,no,expExc,1.3999994001760767,Scenario_1
none,30th < 2040,EU < FR < fr,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,6.199999315752825,Scenario_1
none,30th < 2040,EU < GR < gr,EU < IT < it_s,none,powerGrid < hvdc,no,expExc,0.9999999330304705,Scenario_1
none,30th < 2040,EU < IT < it_cs,EU < IT < it_sic,none,powerGrid < hvdc,no,expExc,3.516538217819019e-5,Scenario_1
none,30th < 2040,EU < IT < it_cs,nonEU < ME < me,none,powerGrid < hvdc,no,expExc,1.5999998853652477,Scenario_1
none,30th < 2040,EU < IT < it_sar,EU < IT < it_sic,none,powerGrid < hvdc,no,expExc,1.988596937846912e-5,Scenario_1
none,30th < 2040,EU < NL < nl,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,0.11517655974017783,Scenario_1
none,30th < 2040,EU < NL < nl,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,2.0000007436500407,Scenario_1
none,30th < 2040,nonEU < NO < no_s,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,4.248297436156568,Scenario_1
none,30th < 2040,EU < PL < pl,EU < SE < se_4,none,powerGrid < hvdc,no,expExc,0.37636367590293623,Scenario_1
none,30th < 2040,nonEU < UK < ni,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,2.1788279999923446,Scenario_1
none,30th < 2040,EU < SI < si < 57SI,EU < AT < at < 50AT,none,h2Grid,yes,expExc,1.134025283422882,Scenario_1
none,30th < 2040,EU < FR < fr < 27FR,EU < BE < be < 28BE,none,h2Grid,yes,expExc,0.17482975305306309,Scenario_1
none,30th < 2040,EU < LU < lu < 29LU,EU < BE < be < 28BE,none,h2Grid,yes,expExc,0.0017978618390361986,Scenario_1
none,30th < 2040,EU < NL < nl < 30NL,EU < BE < be < 28BE,none,h2Grid,yes,expExc,0.1841457286975659,Scenario_1
