region_4,category,timestep_6,value,scenario_1,parameter,technology_3
51AT,1,h0008,0.527026631719781,scr1986,avaConv,onshore_a
51AT,1,h0009,0.6896012970168589,scr1986,avaConv,onshore_a
51AT,1,h0010,0.6182331006734744,scr1986,avaConv,onshore_a
51AT,1,h0011,0.9216746715892983,scr1986,avaConv,onshore_a
51AT,1,h0012,0.8155942385850962,scr1986,avaConv,onshore_a
51AT,1,h0013,0.5943285255399244,scr1986,avaConv,onshore_a
51AT,1,h0014,0.5007925075533604,scr1986,avaConv,onshore_a
51AT,1,h0015,0.3716221559051474,scr1986,avaConv,onshore_a
51AT,1,h0016,0.46796775323009326,scr1986,avaConv,onshore_a
51AT,1,h0017,0.20164609667693847,scr1986,avaConv,onshore_a
51AT,1,h0018,0.08511231845097755,scr1986,avaConv,onshore_a
51AT,1,h0019,0.04848800967934947,scr1986,avaConv,onshore_a
51AT,1,h0020,0.1739258350514236,scr1986,avaConv,onshore_a
51AT,1,h0021,0.173713896586936,scr1986,avaConv,onshore_a
51AT,1,h0022,0.37739522525900676,scr1986,avaConv,onshore_a
51AT,1,h0023,0.2164660158632674,scr1986,avaConv,onshore_a
51AT,1,h0024,0.39202015911892135,scr1986,avaConv,onshore_a
63BA,1,h0001,0.3265035651963602,scr1986,avaConv,onshore_a
63BA,1,h0002,0.7311833906393267,scr1986,avaConv,onshore_a
63BA,1,h0003,0.6619482143068299,scr1986,avaConv,onshore_a
63BA,1,h0004,0.7726902363611889,scr1986,avaConv,onshore_a
63BA,1,h0005,0.5017968505279249,scr1986,avaConv,onshore_a
63BA,1,h0006,0.40775366855758705,scr1986,avaConv,onshore_a
63BA,1,h0007,0.49544851250590327,scr1986,avaConv,onshore_a
63BA,1,h0008,0.6372121822834177,scr1986,avaConv,onshore_a
63BA,1,h0009,0.7179279056845569,scr1986,avaConv,onshore_a
63BA,1,h0010,0.48424523555142857,scr1986,avaConv,onshore_a
63BA,1,h0011,0.6911776485917935,scr1986,avaConv,onshore_a
63BA,1,h0012,0.6350067898740425,scr1986,avaConv,onshore_a
63BA,1,h0013,0.6189170905986264,scr1986,avaConv,onshore_a
63BA,1,h0014,0.21174595096465354,scr1986,avaConv,onshore_a
63BA,1,h0015,0.2854846977483459,scr1986,avaConv,onshore_a
63BA,1,h0016,0.414906652956772,scr1986,avaConv,onshore_a
63BA,1,h0017,0.4566596808613487,scr1986,avaConv,onshore_a
63BA,1,h0018,0.40137514793937695,scr1986,avaConv,onshore_a
63BA,1,h0019,0.45678989476463994,scr1986,avaConv,onshore_a
63BA,1,h0020,0.37935782537122076,scr1986,avaConv,onshore_a
63BA,1,h0021,0.2782657917845099,scr1986,avaConv,onshore_a
