scenario,timestep_3,parameter,value
scr1983,ini1,scrProb,0.428571429
scr1984,ini1,scrProb,0.371428571
scr1989,ini1,scrProb,0
scr1991,ini1,scrProb,0
scr1993,ini1,scrProb,0
scr1996,ini1,scrProb,0.114285714
scr1999,ini1,scrProb,0
scr2000,ini1,scrProb,0
scr2003,ini1,scrProb,0
scr2004,ini1,scrProb,0
scr2005,ini1,scrProb,0
scr2006,ini1,scrProb,0.085714286
scr2012,ini1,scrProb,0
scr2013,ini1,scrProb,0
scr1983,ini2,scrProb,0
scr1984,ini2,scrProb,0
scr1989,ini2,scrProb,0
scr1991,ini2,scrProb,0.028571428
scr1993,ini2,scrProb,0.2
scr1996,ini2,scrProb,0
scr1999,ini2,scrProb,0
scr2000,ini2,scrProb,0
scr2003,ini2,scrProb,0
scr2004,ini2,scrProb,0.485714286
scr2005,ini2,scrProb,0
scr2006,ini2,scrProb,0
scr2012,ini2,scrProb,0.285714286
scr2013,ini2,scrProb,0
scr1984,ini3,scrProb,0
scr1989,ini3,scrProb,0.228571428
scr1991,ini3,scrProb,0
scr1993,ini3,scrProb,0
scr1996,ini3,scrProb,0
scr1999,ini3,scrProb,0.085714286
scr2000,ini3,scrProb,0.228571429
scr2003,ini3,scrProb,0
scr2004,ini3,scrProb,0.457142857
scr2005,ini3,scrProb,0
scr2006,ini3,scrProb,0
scr2012,ini3,scrProb,0
scr2013,ini3,scrProb,0
scr1984,ini4,scrProb,0
scr1989,ini4,scrProb,0.085714286
scr1991,ini4,scrProb,0
scr1993,ini4,scrProb,0
scr1996,ini4,scrProb,0.257142857
scr1999,ini4,scrProb,0
scr2000,ini4,scrProb,0.457142857
scr2003,ini4,scrProb,0
scr2004,ini4,scrProb,0
scr2005,ini4,scrProb,0
scr2006,ini4,scrProb,0.2
scr2012,ini4,scrProb,0
scr2013,ini4,scrProb,0
