timestep_5,region_4,carrier_1,parameter,value
h0001,01ES,frtRail,mustOut,0.264755876693729
h0002,01ES,frtRail,mustOut,0.27096565777348
h0003,01ES,frtRail,mustOut,0.334771252263861
h0004,01ES,frtRail,mustOut,0.425036171832155
h0005,01ES,frtRail,mustOut,0.534954811033012
h0006,01ES,frtRail,mustOut,0.585802982275927
h0007,01ES,frtRail,mustOut,0.625867667928532
h0008,01ES,frtRail,mustOut,0.662248536489066
h0009,01ES,frtRail,mustOut,0.715419631134602
h0010,01ES,frtRail,mustOut,0.769273197708683
h0011,01ES,frtRail,mustOut,0.730487034603626
h0012,01ES,frtRail,mustOut,0.664389041967749
h0013,01ES,frtRail,mustOut,0.564843822429342
h0014,01ES,frtRail,mustOut,0.517006849231777
h0015,01ES,frtRail,mustOut,0.585529601695217
h0016,01ES,frtRail,mustOut,0.662955779955719
h0017,01ES,frtRail,mustOut,0.756215427560086
h0018,01ES,frtRail,mustOut,0.715630687130262
h0019,01ES,frtRail,mustOut,0.657569834081118
h0020,01ES,frtRail,mustOut,0.570245159115468
h0021,01ES,frtRail,mustOut,0.480847738600491
h0022,01ES,frtRail,mustOut,0.402470385878264
h0023,01ES,frtRail,mustOut,0.350102506548338
h0024,01ES,frtRail,mustOut,0.327506726251768
h0025,01ES,frtRail,mustOut,0.301947281944614
h0026,01ES,frtRail,mustOut,0.289158080912983
h0027,01ES,frtRail,mustOut,0.334771252263861
h0028,01ES,frtRail,mustOut,0.425036171832155
h0029,01ES,frtRail,mustOut,0.534954811033012
h0030,01ES,frtRail,mustOut,0.585802982275927
h0031,01ES,frtRail,mustOut,0.625867667928532
h0032,01ES,frtRail,mustOut,0.662248536489066
h0033,01ES,frtRail,mustOut,0.715419631134602
h0034,01ES,frtRail,mustOut,0.769273197708683
h0035,01ES,frtRail,mustOut,0.820759034458259
h0036,01ES,frtRail,mustOut,0.856419271540203
h0037,01ES,frtRail,mustOut,0.756393824548248
h0038,01ES,frtRail,mustOut,0.61826764713492
h0039,01ES,frtRail,mustOut,0.463575668190003
h0040,01ES,frtRail,mustOut,0.417775095311621
h0041,01ES,frtRail,mustOut,0.510287332995102
h0042,01ES,frtRail,mustOut,0.591990892315145
h0043,01ES,frtRail,mustOut,0.657569834081118
h0044,01ES,frtRail,mustOut,0.570245159115468
h0045,01ES,frtRail,mustOut,0.480847738600491
h0046,01ES,frtRail,mustOut,0.402470385878264
h0047,01ES,frtRail,mustOut,0.350102506548338
h0048,01ES,frtRail,mustOut,0.327506726251768
h0049,01ES,frtRail,mustOut,0.301947281944614
h0050,01ES,frtRail,mustOut,0.289158080912983
h0051,01ES,frtRail,mustOut,0.27637122082034
h0052,01ES,frtRail,mustOut,0.285775276715925
h0053,01ES,frtRail,mustOut,0.394847129116185
h0054,01ES,frtRail,mustOut,0.504401316402961
h0055,01ES,frtRail,mustOut,0.625867667928532
h0056,01ES,frtRail,mustOut,0.662248536489066
h0057,01ES,frtRail,mustOut,0.715419631134602
h0058,01ES,frtRail,mustOut,0.769273197708683
h0059,01ES,frtRail,mustOut,0.696766688105367
h0060,01ES,frtRail,mustOut,0.634037989209132
h0061,01ES,frtRail,mustOut,0.583300588587648
h0062,01ES,frtRail,mustOut,0.65419816662943
h0063,01ES,frtRail,mustOut,0.583608995831614
h0064,01ES,frtRail,mustOut,0.477098128646069
h0065,01ES,frtRail,mustOut,0.351649027766106
h0066,01ES,frtRail,mustOut,0.337161310966927
h0067,01ES,frtRail,mustOut,0.404084478866736
h0068,01ES,frtRail,mustOut,0.478522491426199
h0069,01ES,frtRail,mustOut,0.547700579018019
h0070,01ES,frtRail,mustOut,0.5488557500751
h0071,01ES,frtRail,mustOut,0.550368044139702
h0072,01ES,frtRail,mustOut,0.560367967485895
h0073,01ES,frtRail,mustOut,0.58023069917815
h0074,01ES,frtRail,mustOut,0.620035921265022
h0075,01ES,frtRail,mustOut,0.569418432367602
h0076,01ES,frtRail,mustOut,0.504685566139821
h0077,01ES,frtRail,mustOut,0.419843113515858
h0078,01ES,frtRail,mustOut,0.383036206200687
h0079,01ES,frtRail,mustOut,0.429259869122688
h0080,01ES,frtRail,mustOut,0.443462913986849
