timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AL,electricity,scr2081,dem,19.508280244419836
h0002,AL,electricity,scr2081,dem,13.344114563885093
h0003,AL,electricity,scr2081,dem,16.244547252507193
h0004,AL,electricity,scr2081,dem,14.787673782696618
h0005,AL,electricity,scr2081,dem,12.172181003799048
h0006,AL,electricity,scr2081,dem,8.100471292520869
h0007,AL,electricity,scr2081,dem,5.303147852711835
h0008,AL,electricity,scr2081,dem,11.952481503139627
h0009,AL,electricity,scr2081,dem,15.690120225556313
h0010,AL,electricity,scr2081,dem,18.629391670414936
h0011,AL,electricity,scr2081,dem,13.380509575826649
h0012,AL,electricity,scr2081,dem,9.392097746833947
h0013,AL,electricity,scr2081,dem,7.321012919323462
h0014,AL,electricity,scr2081,dem,7.949168497104911
h0015,AL,electricity,scr2081,dem,7.98204528595177
h0016,AL,electricity,scr2081,dem,10.751232103691658
h0017,AL,electricity,scr2081,dem,10.337086397758586
h0018,AL,electricity,scr2081,dem,10.12838979070033
h0019,AL,electricity,scr2081,dem,7.173094249667229
h0020,AL,electricity,scr2081,dem,5.0302128486067454
h0021,AL,electricity,scr2081,dem,3.3071978898203613
h0022,AL,electricity,scr2081,dem,1.8317413371924802
h0023,AL,electricity,scr2081,dem,2.764157079149353
h0024,AL,electricity,scr2081,dem,5.650454481844163
h0025,AL,electricity,scr2081,dem,7.6971301305754585
h0026,AL,electricity,scr2081,dem,13.53569908631745
h0027,AL,electricity,scr2081,dem,11.5950386711636
h0028,AL,electricity,scr2081,dem,9.43969024454574
h0029,AL,electricity,scr2081,dem,2.7032955669969163
h0030,AL,electricity,scr2081,dem,0.9844345814205585
h0031,AL,electricity,scr2081,dem,0.6506918919897091
h0032,AL,electricity,scr2081,dem,0.4217463846414771
h0033,AL,electricity,scr2081,dem,0.43369467842255305
h0034,AL,electricity,scr2081,dem,1.124154522745596
h0035,AL,electricity,scr2081,dem,1.1449589756144543
h0036,AL,electricity,scr2081,dem,1.1229357231984571
h0037,AL,electricity,scr2081,dem,0.4370311074116052
h0038,AL,electricity,scr2081,dem,0.43502284924283147
h0039,AL,electricity,scr2081,dem,0.4187965392517624
