scenario,timestep_3,parameter,value,comment
scr1991,ini01,scrProb,0.6571428571428571,clustering
scr1984,ini01,scrProb,0.34285714285714286,clustering
scr1983,ini01,scrProb,0.0,none
scr1988,ini01,scrProb,0.0,none
scr1994,ini01,scrProb,0.0,none
scr1996,ini01,scrProb,0.0,none
scr1999,ini01,scrProb,0.0,none
scr2001,ini01,scrProb,0.0,none
scr2008,ini01,scrProb,0.0,none
scr2009,ini01,scrProb,0.0,none
scr2010,ini01,scrProb,0.0,none
scr2011,ini01,scrProb,0.0,none
scr2012,ini01,scrProb,0.0,none
scr2016,ini01,scrProb,0.0,none
scr1994,ini02,scrProb,0.6571428571428571,clustering
scr1988,ini02,scrProb,0.34285714285714286,clustering
scr1983,ini02,scrProb,0.0,none
scr1984,ini02,scrProb,0.0,none
scr1991,ini02,scrProb,0.0,none
scr1996,ini02,scrProb,0.0,none
scr1999,ini02,scrProb,0.0,none
scr2001,ini02,scrProb,0.0,none
scr2008,ini02,scrProb,0.0,none
scr2009,ini02,scrProb,0.0,none
scr2010,ini02,scrProb,0.0,none
scr2011,ini02,scrProb,0.0,none
scr2012,ini02,scrProb,0.0,none
scr2016,ini02,scrProb,0.0,none
scr2009,ini03,scrProb,1.0,clustering
scr1983,ini03,scrProb,0.0,none
scr1984,ini03,scrProb,0.0,none
scr1988,ini03,scrProb,0.0,none
scr1991,ini03,scrProb,0.0,none
scr1994,ini03,scrProb,0.0,none
scr1996,ini03,scrProb,0.0,none
scr1999,ini03,scrProb,0.0,none
scr2001,ini03,scrProb,0.0,none
scr2008,ini03,scrProb,0.0,none
scr2010,ini03,scrProb,0.0,none
scr2011,ini03,scrProb,0.0,none
scr2012,ini03,scrProb,0.0,none
scr2016,ini03,scrProb,0.0,none
scr2001,ini04,scrProb,0.5142857142857142,clustering
scr2016,ini04,scrProb,0.4857142857142857,clustering
scr1983,ini04,scrProb,0.0,none
scr1984,ini04,scrProb,0.0,none
scr1988,ini04,scrProb,0.0,none
scr1991,ini04,scrProb,0.0,none
scr1994,ini04,scrProb,0.0,none
scr1996,ini04,scrProb,0.0,none
scr1999,ini04,scrProb,0.0,none
scr2008,ini04,scrProb,0.0,none
scr2009,ini04,scrProb,0.0,none
scr2010,ini04,scrProb,0.0,none
scr2011,ini04,scrProb,0.0,none
scr2012,ini04,scrProb,0.0,none
scr2016,ini05,scrProb,1.0,clustering
scr1983,ini05,scrProb,0.0,none
scr1984,ini05,scrProb,0.0,none
scr1988,ini05,scrProb,0.0,none
scr1991,ini05,scrProb,0.0,none
scr1994,ini05,scrProb,0.0,none
scr1996,ini05,scrProb,0.0,none
scr1999,ini05,scrProb,0.0,none
scr2001,ini05,scrProb,0.0,none
scr2008,ini05,scrProb,0.0,none
scr2009,ini05,scrProb,0.0,none
scr2010,ini05,scrProb,0.0,none
scr2011,ini05,scrProb,0.0,none
scr2012,ini05,scrProb,0.0,none
scr1983,ini06,scrProb,1.0,clustering
scr1984,ini06,scrProb,0.0,none
scr1988,ini06,scrProb,0.0,none
scr1991,ini06,scrProb,0.0,none
scr1994,ini06,scrProb,0.0,none
scr1996,ini06,scrProb,0.0,none
scr1999,ini06,scrProb,0.0,none
scr2001,ini06,scrProb,0.0,none
scr2008,ini06,scrProb,0.0,none
scr2009,ini06,scrProb,0.0,none
scr2010,ini06,scrProb,0.0,none
scr2011,ini06,scrProb,0.0,none
scr2012,ini06,scrProb,0.0,none
scr2016,ini06,scrProb,0.0,none
scr1999,ini07,scrProb,1.0,clustering
scr1983,ini07,scrProb,0.0,none
scr1984,ini07,scrProb,0.0,none
scr1988,ini07,scrProb,0.0,none
scr1991,ini07,scrProb,0.0,none
scr1994,ini07,scrProb,0.0,none
scr1996,ini07,scrProb,0.0,none
scr2001,ini07,scrProb,0.0,none
scr2008,ini07,scrProb,0.0,none
scr2009,ini07,scrProb,0.0,none
scr2010,ini07,scrProb,0.0,none
scr2011,ini07,scrProb,0.0,none
scr2012,ini07,scrProb,0.0,none
scr2016,ini07,scrProb,0.0,none
scr2011,ini08,scrProb,1.0,clustering
scr1983,ini08,scrProb,0.0,none
scr1984,ini08,scrProb,0.0,none
scr1988,ini08,scrProb,0.0,none
scr1991,ini08,scrProb,0.0,none
scr1994,ini08,scrProb,0.0,none
scr1996,ini08,scrProb,0.0,none
scr1999,ini08,scrProb,0.0,none
scr2001,ini08,scrProb,0.0,none
scr2008,ini08,scrProb,0.0,none
scr2009,ini08,scrProb,0.0,none
scr2010,ini08,scrProb,0.0,none
scr2012,ini08,scrProb,0.0,none
scr2016,ini08,scrProb,0.0,none
scr2010,ini09,scrProb,1.0,clustering
scr1983,ini09,scrProb,0.0,none
scr1984,ini09,scrProb,0.0,none
scr1988,ini09,scrProb,0.0,none
scr1991,ini09,scrProb,0.0,none
scr1994,ini09,scrProb,0.0,none
scr1996,ini09,scrProb,0.0,none
scr1999,ini09,scrProb,0.0,none
scr2001,ini09,scrProb,0.0,none
scr2008,ini09,scrProb,0.0,none
scr2009,ini09,scrProb,0.0,none
