region_3,technology_2,parameter,value
66BG,onshore_a,capaConvUp,30.62493312
66BG,onshore_b,capaConvUp,42.08740215
66BG,onshore_c,capaConvUp,18.62066473
68GR,onshore_a,capaConvUp,41.75854292
68GR,onshore_b,capaConvUp,25.33418083
68GR,onshore_c,capaConvUp,7.849379439
62HR,onshore_a,capaConvUp,9.070584418
62HR,onshore_b,capaConvUp,3.860445091
62HR,onshore_c,capaConvUp,13.46897049
58HU,onshore_a,capaConvUp,45.96895311
58HU,onshore_b,capaConvUp,5.443866401
58HU,onshore_c,capaConvUp,39.52018049
67MK,onshore_a,capaConvUp,4.995368575
67MK,onshore_b,capaConvUp,11.41647324
67MK,onshore_c,capaConvUp,8.153158185
64ME,onshore_a,capaConvUp,4.469565547
64ME,onshore_b,capaConvUp,2.065237939
64ME,onshore_c,capaConvUp,5.095196515
60RO,onshore_a,capaConvUp,44.52646647
60RO,onshore_b,capaConvUp,19.62182773
60RO,onshore_c,capaConvUp,9.342661883
59RO,onshore_a,capaConvUp,29.58845522
59RO,onshore_b,capaConvUp,29.75272436
59RO,onshore_c,capaConvUp,21.37525729
51AT,onshore_a,capaConvUp,8.224855884
51AT,onshore_b,capaConvUp,9.543925113
51AT,onshore_c,capaConvUp,4.869262488
49AT,onshore_a,capaConvUp,2.390715557
49AT,onshore_b,capaConvUp,7.1513035
49AT,onshore_c,capaConvUp,3.691293046
50AT,onshore_a,capaConvUp,5.708655879
50AT,onshore_b,capaConvUp,8.922901567
50AT,onshore_c,capaConvUp,10.56408697
28BE,onshore_a,capaConvUp,13.98638117
28BE,onshore_b,capaConvUp,2.129239399
28BE,onshore_c,capaConvUp,7.48437943
47CH,onshore_a,capaConvUp,5.632685733
47CH,onshore_b,capaConvUp,10.04628232
47CH,onshore_c,capaConvUp,5.849180784
39CZ,onshore_a,capaConvUp,24.78201714
39CZ,onshore_b,capaConvUp,10.52411062
39CZ,onshore_c,capaConvUp,7.483770253
40CZ,onshore_a,capaConvUp,15.08277395
40CZ,onshore_b,capaConvUp,7.041784374
40CZ,onshore_c,capaConvUp,9.885543665
48CH,onshore_a,capaConvUp,1.994359597
48CH,onshore_b,capaConvUp,1.277940054
48CH,onshore_c,capaConvUp,2.93255151
36DE,onshore_a,capaConvUp,8.399463283
36DE,onshore_b,capaConvUp,5.033409607
36DE,onshore_c,capaConvUp,3.930276313
31DE,onshore_a,capaConvUp,38.22792162
31DE,onshore_b,capaConvUp,18.35415089
31DE,onshore_c,capaConvUp,18.79046277
33DE,onshore_a,capaConvUp,18.88646236
33DE,onshore_b,capaConvUp,20.19955914
33DE,onshore_c,capaConvUp,1.716554152
35DE,onshore_a,capaConvUp,8.51224698
35DE,onshore_b,capaConvUp,8.159450488
35DE,onshore_c,capaConvUp,5.048803659
34DE,onshore_a,capaConvUp,22.16084227
34DE,onshore_b,capaConvUp,17.70555067
34DE,onshore_c,capaConvUp,10.46858034
32DE,onshore_a,capaConvUp,14.96603144
32DE,onshore_b,capaConvUp,20.82176944
32DE,onshore_c,capaConvUp,14.49547141
37DE,onshore_a,capaConvUp,18.26689542
37DE,onshore_b,capaConvUp,4.738745235
37DE,onshore_c,capaConvUp,17.91735252
69GR,onshore_a,capaConvUp,20.25738034
69GR,onshore_b,capaConvUp,34.30755935
69GR,onshore_c,capaConvUp,11.29295712
01ES,onshore_a,capaConvUp,4.947903716
01ES,onshore_b,capaConvUp,4.434576411
01ES,onshore_c,capaConvUp,10.06702623
04ES,onshore_a,capaConvUp,3.915301851
04ES,onshore_b,capaConvUp,4.137145939
04ES,onshore_c,capaConvUp,7.766869663
05ES,onshore_a,capaConvUp,18.84707791
05ES,onshore_b,capaConvUp,4.517948468
05ES,onshore_c,capaConvUp,19.11703254
02ES,onshore_a,capaConvUp,11.79614152
02ES,onshore_b,capaConvUp,6.660389983
02ES,onshore_c,capaConvUp,23.72939345
38DK,onshore_a,capaConvUp,10.89135994
38DK,onshore_b,capaConvUp,21.24536772
38DK,onshore_c,capaConvUp,2.413101411
73EE,onshore_a,capaConvUp,9.906921065
73EE,onshore_b,capaConvUp,4.756412361
73EE,onshore_c,capaConvUp,6.403666574
72DK,onshore_a,capaConvUp,7.040080154
72DK,onshore_b,capaConvUp,1.330954575
72DK,onshore_c,capaConvUp,0.546136195
75FI,onshore_a,capaConvUp,14.27667576
75FI,onshore_b,capaConvUp,9.685071185
75FI,onshore_c,capaConvUp,23.50550305
74FI,onshore_a,capaConvUp,22.7381334
74FI,onshore_b,capaConvUp,23.1396286
74FI,onshore_c,capaConvUp,2.387988006
06ES,onshore_a,capaConvUp,3.337334843
06ES,onshore_b,capaConvUp,10.09354513
06ES,onshore_c,capaConvUp,13.28217145
11ES,onshore_a,capaConvUp,41.1410947
11ES,onshore_b,capaConvUp,21.84229923
11ES,onshore_c,capaConvUp,17.11267388
09ES,onshore_a,capaConvUp,18.49170212
09ES,onshore_b,capaConvUp,3.4603961
09ES,onshore_c,capaConvUp,21.44322036
10ES,onshore_a,capaConvUp,6.823150149
10ES,onshore_b,capaConvUp,35.1855984
10ES,onshore_c,capaConvUp,21.71515214
03ES,onshore_a,capaConvUp,22.248198
03ES,onshore_b,capaConvUp,31.48259296
03ES,onshore_c,capaConvUp,12.85974308
08ES,onshore_a,capaConvUp,14.30555088
08ES,onshore_b,capaConvUp,16.8517578
08ES,onshore_c,capaConvUp,52.70111629
07ES,onshore_a,capaConvUp,1.973035613
07ES,onshore_b,capaConvUp,0.718300637
07ES,onshore_c,capaConvUp,2.19455857
21FR,onshore_a,capaConvUp,13.00317299
21FR,onshore_b,capaConvUp,8.691902115
21FR,onshore_c,capaConvUp,23.75792979
15FR,onshore_a,capaConvUp,10.04058687
15FR,onshore_b,capaConvUp,8.291659841
15FR,onshore_c,capaConvUp,22.42093739
18FR,onshore_a,capaConvUp,27.76357906
18FR,onshore_b,capaConvUp,5.520917051
18FR,onshore_c,capaConvUp,40.13461192
19FR,onshore_a,capaConvUp,4.904351944
19FR,onshore_b,capaConvUp,5.945423689
19FR,onshore_c,capaConvUp,7.076055347
14FR,onshore_a,capaConvUp,6.614130369
14FR,onshore_b,capaConvUp,28.80643103
14FR,onshore_c,capaConvUp,23.0068516
20FR,onshore_a,capaConvUp,5.127520793
20FR,onshore_b,capaConvUp,8.865472783
20FR,onshore_c,capaConvUp,7.802909635
16FR,onshore_a,capaConvUp,7.534247376
16FR,onshore_b,capaConvUp,6.773618626
16FR,onshore_c,capaConvUp,2.836621754
99FR,onshore_a,capaConvUp,1.831494475
99FR,onshore_b,capaConvUp,0.847566063
99FR,onshore_c,capaConvUp,0.508077451
98IT,onshore_a,capaConvUp,10.14571062
