region_3,technology_2,parameter,value
66BG,onshore_a,capaConvUp,34.759232772995915
66BG,onshore_b,capaConvUp,37.19876787996664
66BG,onshore_c,capaConvUp,42.0314082033394
68GR,onshore_a,capaConvUp,43.042717300093244
68GR,onshore_b,capaConvUp,7.783143600344982
68GR,onshore_c,capaConvUp,22.96499583098077
62HR,onshore_a,capaConvUp,16.270892599866848
62HR,onshore_b,capaConvUp,12.757000889203763
62HR,onshore_c,capaConvUp,4.560194433083768
58HU,onshore_a,capaConvUp,59.673043092940006
58HU,onshore_b,capaConvUp,7.317646072272613
58HU,onshore_c,capaConvUp,51.20596703661347
67MK,onshore_a,capaConvUp,12.869405227275546
67MK,onshore_b,capaConvUp,5.1232339291216
67MK,onshore_c,capaConvUp,8.129520111525972
64ME,onshore_a,capaConvUp,4.1979905962123985
64ME,onshore_b,capaConvUp,2.1820429215371537
64ME,onshore_c,capaConvUp,6.6705376512976615
60RO,onshore_a,capaConvUp,25.359813955929862
60RO,onshore_b,capaConvUp,11.879037721839572
60RO,onshore_c,capaConvUp,54.72823512458988
59RO,onshore_a,capaConvUp,34.70078945635578
59RO,onshore_b,capaConvUp,30.84887464887004
59RO,onshore_c,capaConvUp,35.426088583471255
51AT,onshore_a,capaConvUp,12.40393172165098
51AT,onshore_b,capaConvUp,6.553494181691953
51AT,onshore_c,capaConvUp,10.440137147822828
49AT,onshore_a,capaConvUp,6.6897964363844205
49AT,onshore_b,capaConvUp,4.017958095470451
49AT,onshore_c,capaConvUp,2.236955378937047
50AT,onshore_a,capaConvUp,13.478309982403662
50AT,onshore_b,capaConvUp,11.124406170084875
50AT,onshore_c,capaConvUp,6.243019794999407
28BE,onshore_a,capaConvUp,18.182295522582393
28BE,onshore_b,capaConvUp,2.7680112184383425
28BE,onshore_c,capaConvUp,9.729693258979204
47CH,onshore_a,capaConvUp,11.913063297172915
47CH,onshore_b,capaConvUp,9.238665327465878
47CH,onshore_c,capaConvUp,4.653822017421344
39CZ,onshore_a,capaConvUp,13.68976704291908
39CZ,onshore_b,capaConvUp,9.716225778467852
39CZ,onshore_c,capaConvUp,32.220874593749215
40CZ,onshore_a,capaConvUp,19.59847391483343
40CZ,onshore_b,capaConvUp,9.166115674194923
40CZ,onshore_c,capaConvUp,12.84854299583575
48CH,onshore_a,capaConvUp,1.8550240854307152
48CH,onshore_b,capaConvUp,1.184952986739373
48CH,onshore_c,capaConvUp,2.6152684366615655
36DE,onshore_a,capaConvUp,6.506404660293084
36DE,onshore_b,capaConvUp,10.774460828692403
36DE,onshore_c,capaConvUp,5.274348918125015
31DE,onshore_a,capaConvUp,49.69629810476782
31DE,onshore_b,capaConvUp,23.86039615073632
31DE,onshore_c,capaConvUp,24.42760160685255
33DE,onshore_a,capaConvUp,24.53495606375308
33DE,onshore_b,capaConvUp,26.27972599546528
33DE,onshore_c,capaConvUp,2.2286662867711247
35DE,onshore_a,capaConvUp,10.615671949840046
35DE,onshore_b,capaConvUp,11.064705495319977
35DE,onshore_c,capaConvUp,6.556186196968582
34DE,onshore_a,capaConvUp,23.017215875058756
34DE,onshore_b,capaConvUp,13.609154439874992
34DE,onshore_c,capaConvUp,28.809094948057968
32DE,onshore_a,capaConvUp,27.068300265881334
32DE,onshore_b,capaConvUp,19.455840873391473
32DE,onshore_c,capaConvUp,18.844112836433762
37DE,onshore_a,capaConvUp,7.910554819238724
37DE,onshore_b,capaConvUp,18.391867571204706
37DE,onshore_c,capaConvUp,26.735865856096815
69GR,onshore_a,capaConvUp,44.07593995101546
69GR,onshore_b,capaConvUp,25.2737073340614
69GR,onshore_c,capaConvUp,14.101586764464326
01ES,onshore_a,capaConvUp,6.168060430807075
01ES,onshore_b,capaConvUp,12.7281543111762
01ES,onshore_c,capaConvUp,6.2665170650226685
04ES,onshore_a,capaConvUp,5.075016927717979
04ES,onshore_b,capaConvUp,10.126196649026868
04ES,onshore_c,capaConvUp,5.344687688118367
05ES,onshore_a,capaConvUp,23.275068009964336
05ES,onshore_b,capaConvUp,8.486099006678984
05ES,onshore_c,capaConvUp,22.83077227833555
02ES,onshore_a,capaConvUp,30.38780205496392
02ES,onshore_b,capaConvUp,10.128269197207754
02ES,onshore_c,capaConvUp,13.849954177549954
38DK,onshore_a,capaConvUp,27.618766242084178
38DK,onshore_b,capaConvUp,14.158659344995906
38DK,onshore_c,capaConvUp,3.1370077781641874
73EE,onshore_a,capaConvUp,7.593505620054678
73EE,onshore_b,capaConvUp,6.825056783589057
73EE,onshore_c,capaConvUp,12.943319402410038
72DK,onshore_a,capaConvUp,9.149918828100473
72DK,onshore_b,capaConvUp,1.732342867336336
72DK,onshore_c,capaConvUp,0.7099716093189693
75FI,onshore_a,capaConvUp,12.451782545641215
75FI,onshore_b,capaConvUp,18.730728249772852
75FI,onshore_c,capaConvUp,30.515429577304246
74FI,onshore_a,capaConvUp,3.0838191351929423
74FI,onshore_b,capaConvUp,29.533554742068933
74FI,onshore_c,capaConvUp,30.125291487615762
06ES,onshore_a,capaConvUp,12.406560528736048
06ES,onshore_b,capaConvUp,3.6377209051164434
06ES,onshore_c,capaConvUp,13.30433942762483
11ES,onshore_a,capaConvUp,28.399898845004692
11ES,onshore_b,capaConvUp,53.44507094520795
11ES,onshore_c,capaConvUp,22.18926570301533
09ES,onshore_a,capaConvUp,27.729005036330207
09ES,onshore_b,capaConvUp,4.47222618724364
09ES,onshore_c,capaConvUp,24.11169726482202
10ES,onshore_a,capaConvUp,27.14042235337958
10ES,onshore_b,capaConvUp,6.858456905555435
10ES,onshore_c,capaConvUp,38.634679267211176
03ES,onshore_a,capaConvUp,17.811222257769867
03ES,onshore_b,capaConvUp,40.729174274082126
03ES,onshore_c,capaConvUp,27.98379832846755
08ES,onshore_a,capaConvUp,23.761003349704055
08ES,onshore_b,capaConvUp,67.5378842718182
08ES,onshore_c,capaConvUp,17.640209482232688
07ES,onshore_a,capaConvUp,2.564946297414696
07ES,onshore_b,capaConvUp,0.9337908276411407
07ES,onshore_c,capaConvUp,2.852926141581554
21FR,onshore_a,capaConvUp,11.222719277390219
21FR,onshore_b,capaConvUp,16.97351872469696
21FR,onshore_c,capaConvUp,30.89270706419026
15FR,onshore_a,capaConvUp,27.95087700809779
15FR,onshore_b,capaConvUp,12.132534273127511
15FR,onshore_c,capaConvUp,12.837576043928205
18FR,onshore_a,capaConvUp,7.1771968673656605
18FR,onshore_b,capaConvUp,52.175029662964405
18FR,onshore_c,capaConvUp,36.0926764119598
19FR,onshore_a,capaConvUp,7.917533647105978
19FR,onshore_b,capaConvUp,8.967775109834891
19FR,onshore_c,capaConvUp,6.292019566551631
14FR,onshore_a,capaConvUp,34.25557358176896
14FR,onshore_b,capaConvUp,12.167415044304953
14FR,onshore_c,capaConvUp,28.78997932367891
20FR,onshore_a,capaConvUp,6.678559241926247
20FR,onshore_b,capaConvUp,7.014767117810795
20FR,onshore_c,capaConvUp,11.886249907653633
16FR,onshore_a,capaConvUp,3.779098152275768
16FR,onshore_b,capaConvUp,8.203285264011619
16FR,onshore_c,capaConvUp,9.603887479172108
99FR,onshore_a,capaConvUp,2.013809955271463
99FR,onshore_b,capaConvUp,0.8472109598522349
99FR,onshore_c,capaConvUp,0.6125156815886923
98IT,onshore_a,capaConvUp,13.17981451119956
98IT,onshore_b,capaConvUp,6.738316515221716
98IT,onshore_c,capaConvUp,4.5246954339996055
17FR,onshore_a,capaConvUp,38.68645283394696
17FR,onshore_b,capaConvUp,11.497659170774819
17FR,onshore_c,capaConvUp,27.543208481149584
26FR,onshore_a,capaConvUp,9.060462108641046
26FR,onshore_b,capaConvUp,39.69942647938401
26FR,onshore_c,capaConvUp,3.0817317147856276
22FR,onshore_a,capaConvUp,23.192363426904897
22FR,onshore_b,capaConvUp,12.605610558075412
22FR,onshore_c,capaConvUp,2.106913487524588
24FR,onshore_a,capaConvUp,21.603837534641727
24FR,onshore_b,capaConvUp,21.697945158454324
24FR,onshore_c,capaConvUp,9.546665077310758
25FR,onshore_a,capaConvUp,19.605556577674292
25FR,onshore_b,capaConvUp,20.07598028844029
25FR,onshore_c,capaConvUp,7.019625491195301
30NL,onshore_a,capaConvUp,21.404449987947576
