timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,FR,s2018,electricity,dem,58.1609048896476
h0002,FR,s2018,electricity,dem,56.6714928017355
h0003,FR,s2018,electricity,dem,53.9152180764608
h0004,FR,s2018,electricity,dem,52.929553241296
h0005,FR,s2018,electricity,dem,54.7985807138234
h0006,FR,s2018,electricity,dem,59.0676301643729
h0007,FR,s2018,electricity,dem,63.5261356588784
h0008,FR,s2018,electricity,dem,65.5313554390982
h0009,FR,s2018,electricity,dem,66.6814653292081
h0010,FR,s2018,electricity,dem,66.9083609336036
h0011,FR,s2018,electricity,dem,66.9868499445927
h0012,FR,s2018,electricity,dem,67.0497070874498
h0013,FR,s2018,electricity,dem,65.3202895050322
h0014,FR,s2018,electricity,dem,63.2443829116256
h0015,FR,s2018,electricity,dem,61.257542252285
h0016,FR,s2018,electricity,dem,60.6970587358015
h0017,FR,s2018,electricity,dem,63.0448719226147
h0018,FR,s2018,electricity,dem,67.3155367577795
h0019,FR,s2018,electricity,dem,68.2260037907465
h0020,FR,s2018,electricity,dem,64.9233609336037
h0021,FR,s2018,electricity,dem,61.5871741204168
h0022,FR,s2018,electricity,dem,61.9779158786586
h0023,FR,s2018,electricity,dem,63.0744928017355
h0024,FR,s2018,electricity,dem,60.3926906039334
h0025,FR,s2018,electricity,dem,59.0672980231476
h0026,FR,s2018,electricity,dem,57.5778859352355
h0027,FR,s2018,electricity,dem,54.8216112099608
h0028,FR,s2018,electricity,dem,53.835946374796
h0029,FR,s2018,electricity,dem,55.7049738473234
h0030,FR,s2018,electricity,dem,59.9740232978729
h0031,FR,s2018,electricity,dem,64.4325287923784
h0032,FR,s2018,electricity,dem,66.4377485725982
h0033,FR,s2018,electricity,dem,67.5878584627081
h0034,FR,s2018,electricity,dem,67.8147540671036
h0035,FR,s2018,electricity,dem,67.8932430780927
h0036,FR,s2018,electricity,dem,67.9561002209498
h0037,FR,s2018,electricity,dem,66.2266826385322
h0038,FR,s2018,electricity,dem,64.1507760451256
h0039,FR,s2018,electricity,dem,62.163935385785
h0040,FR,s2018,electricity,dem,61.6034518693015
h0041,FR,s2018,electricity,dem,63.9512650561147
h0042,FR,s2018,electricity,dem,68.2219298912795
