technology_3,parameter,value
ottoPsngRoadPrvt,lifeConv,15
cngPsngRoadPrvt,lifeConv,15
fcevPsngRoadPrvt,lifeConv,15
bevPsngRoadPrvt,lifeConv,15
dieselPsngRoadPub,lifeConv,20
fcPsngRoadPub,lifeConv,20
bevPsngRoadPub,lifeConv,20
dieselFrtRoadLight,lifeConv,20
fcFrtRoadLight,lifeConv,20
bevFrtRoadLight,lifeConv,20
dieselFrtRoadHeavy,lifeConv,20
fcFrtRoadHeavy,lifeConv,20
bevFrtRoadHeavy,lifeConv,20
fcPsngRail,lifeConv,20
dieselPsngRail,lifeConv,20
ePsngRail,lifeConv,20
fcFrtRail,lifeConv,20
dieselFrtRail,lifeConv,20
eFrtRail,lifeConv,20
ottoPsngRoadPrvt,costExpConv,10136.07763
cngPsngRoadPrvt,costExpConv,9825.95062
fcevPsngRoadPrvt,costExpConv,23385.23804
bevPsngRoadPrvt,costExpConv,3704.199378
dieselPsngRoadPub,costExpConv,5988.02771
fcPsngRoadPub,costExpConv,8192.4827
bevPsngRoadPub,costExpConv,1847.095449
dieselFrtRoadLight,costExpConv,8567.055399
fcFrtRoadLight,costExpConv,19871.51798
bevFrtRoadLight,costExpConv,4098.638601
dieselFrtRoadHeavy,costExpConv,1926.308599
fcFrtRoadHeavy,costExpConv,4503.142952
bevFrtRoadHeavy,costExpConv,982.5043977
fcPsngRail,costExpConv,2209.129607
dieselPsngRail,costExpConv,1935.632617
ePsngRail,costExpConv,5209.716634
fcFrtRail,costExpConv,2489.883545
dieselFrtRail,costExpConv,2181.809742
eFrtRail,costExpConv,4808.565302
