region_1,region_1,exchange_1,exchange_2,id,parameter_1,value_1,parameter_2,value_2
AT,CH,powerGrid,hvac,1,expExcUp,4,costExpExc,1555.25
AT,CH,powerGrid,hvac,2,expExcUp,3,costExpExc,873.33
AT,CH,powerGrid,hvac,3,expExcUp,1,costExpExc,582
AT,CH,powerGrid,hvac,4,expExcUp,2,costExpExc,527
AT,CH,powerGrid,hvac,5,expExcUp,0.4,costExpExc,285
AT,CH,powerGrid,hvac,6,expExcUp,0.2,costExpExc,205
AT,DE,powerGrid,hvac,1,expExcUp,0.1,costExpExc,6490
AT,DE,powerGrid,hvac,2,expExcUp,1,costExpExc,3000
AT,DE,powerGrid,hvac,3,expExcUp,0.46,costExpExc,378.26
AT,DE,powerGrid,hvac,4,expExcUp,0.14,costExpExc,314.29
AT,DE,powerGrid,hvac,5,expExcUp,1,costExpExc,206
AT,DE,powerGrid,hvac,6,expExcUp,1.5,costExpExc,131.33
AT,IT,powerGrid,hvac,1,expExcUp,1,costExpExc,1305
AT,IT,powerGrid,hvac,2,expExcUp,0.5,costExpExc,270
CH,DE,powerGrid,hvac,1,expExcUp,1,costExpExc,1000
CH,DE,powerGrid,hvac,2,expExcUp,2,costExpExc,1000
CH,DE,powerGrid,hvac,3,expExcUp,1.5,costExpExc,285.33
CH,DE,powerGrid,hvac,4,expExcUp,0.6,costExpExc,206.67
CH,DE,powerGrid,hvac,5,expExcUp,1,costExpExc,58
CH,FR,powerGrid,hvac,1,expExcUp,1,costExpExc,550
CH,FR,powerGrid,hvac,2,expExcUp,2,costExpExc,550
CH,FR,powerGrid,hvac,3,expExcUp,0.5,costExpExc,120
CH,FR,powerGrid,hvac,4,expExcUp,1,costExpExc,35
CH,IT,powerGrid,hvac,1,expExcUp,0.2,costExpExc,1060
CH,IT,powerGrid,hvac,2,expExcUp,1,costExpExc,850
CH,IT,powerGrid,hvac,3,expExcUp,0.2,costExpExc,285
DE,FR,powerGrid,hvac,1,expExcUp,1,costExpExc,1000
DE,FR,powerGrid,hvac,2,expExcUp,2,costExpExc,1000
DE,FR,powerGrid,hvac,3,expExcUp,3,costExpExc,1000
DE,FR,powerGrid,hvac,4,expExcUp,0.3,costExpExc,163.33
DE,FR,powerGrid,hvac,5,expExcUp,1.5,costExpExc,62.67
FR,IT,powerGrid,hvac,1,expExcUp,1,costExpExc,1260
FR,IT,powerGrid,hvac,2,expExcUp,2,costExpExc,1260
