timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,FR,s1999,wind,avaConv,0.430271740656597
h0002,FR,s1999,wind,avaConv,0.406805635829195
h0003,FR,s1999,wind,avaConv,0.373984371141034
h0004,FR,s1999,wind,avaConv,0.349344674377476
h0005,FR,s1999,wind,avaConv,0.367303989202733
h0006,FR,s1999,wind,avaConv,0.340466460425735
h0007,FR,s1999,wind,avaConv,0.328539849558806
h0008,FR,s1999,wind,avaConv,0.331536497200727
h0009,FR,s1999,wind,avaConv,0.34147087569995
h0010,FR,s1999,wind,avaConv,0.390056544760163
h0011,FR,s1999,wind,avaConv,0.395219032726813
h0012,FR,s1999,wind,avaConv,0.407622308721864
h0013,FR,s1999,wind,avaConv,0.413413890787599
h0014,FR,s1999,wind,avaConv,0.420885045871858
h0015,FR,s1999,wind,avaConv,0.360075258242799
h0016,FR,s1999,wind,avaConv,0.211196201904333
h0017,FR,s1999,wind,avaConv,0.164602518852888
h0018,FR,s1999,wind,avaConv,0.19822643388478
h0019,FR,s1999,wind,avaConv,0.235687367684333
h0020,FR,s1999,wind,avaConv,0.283298724916102
h0021,FR,s1999,wind,avaConv,0.334163363329096
h0022,FR,s1999,wind,avaConv,0.392358889583724
h0023,FR,s1999,wind,avaConv,0.456977715736996
h0024,FR,s1999,wind,avaConv,0.502141048292907
h0025,FR,s1999,wind,avaConv,0.564706633445382
h0026,FR,s1999,wind,avaConv,0.637902426317928
h0027,FR,s1999,wind,avaConv,0.696209768486983
h0028,FR,s1999,wind,avaConv,0.749659842111826
h0029,FR,s1999,wind,avaConv,0.793867690363645
h0030,FR,s1999,wind,avaConv,0.814397840573688
h0031,FR,s1999,wind,avaConv,0.827021140995121
h0032,FR,s1999,wind,avaConv,0.830882394622303
h0033,FR,s1999,wind,avaConv,0.835180254230718
h0034,FR,s1999,wind,avaConv,0.853210260584377
h0035,FR,s1999,wind,avaConv,0.861377473167026
h0036,FR,s1999,wind,avaConv,0.871829645398229
h0037,FR,s1999,wind,avaConv,0.87254141778565
h0038,FR,s1999,wind,avaConv,0.86427904915712
h0039,FR,s1999,wind,avaConv,0.861588186442832
h0040,FR,s1999,wind,avaConv,0.852882794536913
h0041,FR,s1999,wind,avaConv,0.829823519432753
h0042,FR,s1999,wind,avaConv,0.809328499209169
h0043,FR,s1999,wind,avaConv,0.823738479624431
h0044,FR,s1999,wind,avaConv,0.862602724952546
h0045,FR,s1999,wind,avaConv,0.888682377585834
h0046,FR,s1999,wind,avaConv,0.909675728275829
h0047,FR,s1999,wind,avaConv,0.897677228126506
h0048,FR,s1999,wind,avaConv,0.863714651276261
h0049,FR,s1999,wind,avaConv,0.836218194203365
h0050,FR,s1999,wind,avaConv,0.819317891647328
h0051,FR,s1999,wind,avaConv,0.809640579871828
h0052,FR,s1999,wind,avaConv,0.795326742568451
