timestep_5,region_4,technology_3,parameter,value
h0102,01ES,onshore_a,avaConv,0.0191529961840332
h0103,01ES,onshore_a,avaConv,0.0237736580377759
h0104,01ES,onshore_a,avaConv,0.027645765317441
h0105,01ES,onshore_a,avaConv,0.0345310358959454
h0106,01ES,onshore_a,avaConv,0.025120642475121
h0107,01ES,onshore_a,avaConv,0.0168562219908669
h0108,01ES,onshore_a,avaConv,0.0100207999999976
h0109,01ES,onshore_a,avaConv,0.0685534790113666
h0110,01ES,onshore_a,avaConv,0.134682468033562
h0111,01ES,onshore_a,avaConv,0.201098040317191
h0112,01ES,onshore_a,avaConv,0.161635004655429
h0113,01ES,onshore_a,avaConv,0.124991528837441
h0114,01ES,onshore_a,avaConv,0.0876596072678333
h0115,01ES,onshore_a,avaConv,0.152235777826349
h0116,01ES,onshore_a,avaConv,0.21649571866122
h0117,01ES,onshore_a,avaConv,0.278834092329394
h0118,01ES,onshore_a,avaConv,0.295755068734003
h0119,01ES,onshore_a,avaConv,0.307261559560878
h0120,01ES,onshore_a,avaConv,0.314721689137156
h0121,01ES,onshore_a,avaConv,0.203662386414757
h0122,01ES,onshore_a,avaConv,0.118726317134594
h0123,01ES,onshore_a,avaConv,0.0608172716085141
h0124,01ES,onshore_a,avaConv,0.0907268753756883
h0125,01ES,onshore_a,avaConv,0.10731022364782
h0126,01ES,onshore_a,avaConv,0.112009570129032
h0127,01ES,onshore_a,avaConv,0.126342245990665
h0128,01ES,onshore_a,avaConv,0.136873865499869
h0129,01ES,onshore_a,avaConv,0.141449846050297
h0130,01ES,onshore_a,avaConv,0.165339047726094
h0131,01ES,onshore_a,avaConv,0.199513410835909
h0132,01ES,onshore_a,avaConv,0.245093355275131
h0133,01ES,onshore_a,avaConv,0.19431439897249
h0134,01ES,onshore_a,avaConv,0.140761583411143
h0135,01ES,onshore_a,avaConv,0.083245565962045
h0136,01ES,onshore_a,avaConv,0.0870924747224662
h0137,01ES,onshore_a,avaConv,0.0937639042994214
h0138,01ES,onshore_a,avaConv,0.100644275864984
h0139,01ES,onshore_a,avaConv,0.104161367206254
h0140,01ES,onshore_a,avaConv,0.0988266429372397
h0141,01ES,onshore_a,avaConv,0.0906612801122137
h0142,01ES,onshore_a,avaConv,0.0802211714647116
h0143,01ES,onshore_a,avaConv,0.0789273602099571
h0144,01ES,onshore_a,avaConv,0.0836461669710646
h0145,01ES,onshore_a,avaConv,0.147234739471272
h0146,01ES,onshore_a,avaConv,0.208082295502391
h0147,01ES,onshore_a,avaConv,0.266244852364876
h0148,01ES,onshore_a,avaConv,0.348935840673628
h0149,01ES,onshore_a,avaConv,0.431559122986343
h0150,01ES,onshore_a,avaConv,0.510760788087659
h0151,01ES,onshore_a,avaConv,0.324486606011637
h0152,01ES,onshore_a,avaConv,0.15204559183545
h0153,01ES,onshore_a,avaConv,0.0
h0154,01ES,onshore_a,avaConv,0.024630290441058
h0155,01ES,onshore_a,avaConv,0.0472477238206358
h0156,01ES,onshore_a,avaConv,0.0756663009446566
h0157,01ES,onshore_a,avaConv,0.0578056641338597
h0158,01ES,onshore_a,avaConv,0.0420125149302756
h0159,01ES,onshore_a,avaConv,0.0281718703962229
h0160,01ES,onshore_a,avaConv,0.0779933466290807
h0161,01ES,onshore_a,avaConv,0.127477292769001
h0162,01ES,onshore_a,avaConv,0.166113283388552
h0163,01ES,onshore_a,avaConv,0.376047589058138
h0164,01ES,onshore_a,avaConv,0.585891930743169
h0165,01ES,onshore_a,avaConv,0.788653642405976
h0166,01ES,onshore_a,avaConv,0.536353717628658
h0167,01ES,onshore_a,avaConv,0.31890494121332
h0168,01ES,onshore_a,avaConv,0.152405581193115
h0169,01ES,onshore_a,avaConv,0.124071231219369
h0170,01ES,onshore_a,avaConv,0.0833968650800885
h0171,01ES,onshore_a,avaConv,0.0279428938638886
h0172,01ES,onshore_a,avaConv,0.0255547023770744
h0173,01ES,onshore_a,avaConv,0.0249407472649397
h0174,01ES,onshore_a,avaConv,0.0262905906809326
h0175,01ES,onshore_a,avaConv,0.105607099992616
h0176,01ES,onshore_a,avaConv,0.18486339619078
h0177,01ES,onshore_a,avaConv,0.249140701912885
h0178,01ES,onshore_a,avaConv,0.151183033056718
h0179,01ES,onshore_a,avaConv,0.0664236976739121
h0180,01ES,onshore_a,avaConv,0.0
h0181,01ES,onshore_a,avaConv,0.269674283064036
h0182,01ES,onshore_a,avaConv,0.570498732492715
h0183,01ES,onshore_a,avaConv,0.881789986226086
h0184,01ES,onshore_a,avaConv,0.581557716694285
h0185,01ES,onshore_a,avaConv,0.295065484028432
h0186,01ES,onshore_a,avaConv,0.0395798538708808
h0187,01ES,onshore_a,avaConv,0.0452618163313119
h0188,01ES,onshore_a,avaConv,0.0581415245356537
h0189,01ES,onshore_a,avaConv,0.0784524050767088
h0190,01ES,onshore_a,avaConv,0.0819621073515402
h0191,01ES,onshore_a,avaConv,0.0786644283087006
h0192,01ES,onshore_a,avaConv,0.0699866005414495
h0193,01ES,onshore_a,avaConv,0.178558232821743
h0194,01ES,onshore_a,avaConv,0.302534104644404
h0195,01ES,onshore_a,avaConv,0.439979379333106
h0196,01ES,onshore_a,avaConv,0.404720408632098
h0197,01ES,onshore_a,avaConv,0.363264808725547
h0198,01ES,onshore_a,avaConv,0.315762628450348
h0199,01ES,onshore_a,avaConv,0.263643989687955
h0200,01ES,onshore_a,avaConv,0.207087998049111
h0201,01ES,onshore_a,avaConv,0.143780521074747
h0202,01ES,onshore_a,avaConv,0.10278410460271
h0203,01ES,onshore_a,avaConv,0.0699526621783802
h0204,01ES,onshore_a,avaConv,0.0480318490701648
h0205,01ES,onshore_a,avaConv,0.0436772888289018
h0206,01ES,onshore_a,avaConv,0.0404598246189477
h0207,01ES,onshore_a,avaConv,0.0382883492340472
h0208,01ES,onshore_a,avaConv,0.0488233870671584
h0209,01ES,onshore_a,avaConv,0.0495715061567454
h0210,01ES,onshore_a,avaConv,0.0399464002839047
h0211,01ES,onshore_a,avaConv,0.0299469823135727
h0212,01ES,onshore_a,avaConv,0.0240281790132004
h0213,01ES,onshore_a,avaConv,0.0222212461834922
h0214,01ES,onshore_a,avaConv,0.0265451829113719
h0215,01ES,onshore_a,avaConv,0.035485512117901
h0216,01ES,onshore_a,avaConv,0.0495940505107457
