region_2,technology_3,parameter,value
AT,heatpumpAirSpace,desFac,1.5398100000000001
BE,heatpumpAirSpace,desFac,2.11
BG,heatpumpAirSpace,desFac,1.6656452736711116
CH,heatpumpAirSpace,desFac,1.73057
CZ,heatpumpAirSpace,desFac,1.5939
DE,heatpumpAirSpace,desFac,1.95973
GR,heatpumpAirSpace,desFac,2.5105600000000003
ES,heatpumpAirSpace,desFac,2.7167132867132864
DK,heatpumpAirSpace,desFac,1.9955671813816134
EE,heatpumpAirSpace,desFac,1.41
FI,heatpumpAirSpace,desFac,1.2612987821723238
FR,heatpumpAirSpace,desFac,2.182054108216433
IT,heatpumpAirSpace,desFac,2.39126
NL,heatpumpAirSpace,desFac,2.1
IE,heatpumpAirSpace,desFac,2.46
HR,heatpumpAirSpace,desFac,1.8
HU,heatpumpAirSpace,desFac,1.67
MK,heatpumpAirSpace,desFac,1.78
LV,heatpumpAirSpace,desFac,1.43
ME,heatpumpAirSpace,desFac,1.86
LT,heatpumpAirSpace,desFac,1.44
LU,heatpumpAirSpace,desFac,2.027028095457629
NO,heatpumpAirSpace,desFac,1.63024
PL,heatpumpAirSpace,desFac,1.54872
RO,heatpumpAirSpace,desFac,1.6903278818632563
PT,heatpumpAirSpace,desFac,3.0890400000000002
SK,heatpumpAirSpace,desFac,1.6326072813117682
SI,heatpumpAirSpace,desFac,1.64
SE,heatpumpAirSpace,desFac,1.5764064064064067
UK,heatpumpAirSpace,desFac,2.4723576423576423
RS,heatpumpAirSpace,desFac,1.76
BA,heatpumpAirSpace,desFac,1.71
AL,heatpumpAirSpace,desFac,2.26
