timestep_6,region_1,technology_1,scenario_1,parameter,value
h0022,CH,solar,scr2004,avaConv,0.0
h0023,CH,solar,scr2004,avaConv,0.0
h0024,CH,solar,scr2004,avaConv,0.0
h0025,CH,solar,scr2004,avaConv,0.0
h0026,CH,solar,scr2004,avaConv,0.0
h0027,CH,solar,scr2004,avaConv,0.0
h0028,CH,solar,scr2004,avaConv,0.0
h0029,CH,solar,scr2004,avaConv,0.0
h0030,CH,solar,scr2004,avaConv,0.0
h0031,CH,solar,scr2004,avaConv,0.003700402780952047
h0032,CH,solar,scr2004,avaConv,0.02533174669076592
h0033,CH,solar,scr2004,avaConv,0.1829304607635506
h0034,CH,solar,scr2004,avaConv,0.4658249116303326
h0035,CH,solar,scr2004,avaConv,0.870043265126157
h0036,CH,solar,scr2004,avaConv,0.793543341837601
h0037,CH,solar,scr2004,avaConv,0.6676840898448975
h0038,CH,solar,scr2004,avaConv,0.4552170029453731
h0039,CH,solar,scr2004,avaConv,0.30586234034874105
h0040,CH,solar,scr2004,avaConv,0.16225972465453406
h0041,CH,solar,scr2004,avaConv,0.04702998937122635
h0042,CH,solar,scr2004,avaConv,0.015749589042769133
h0043,CH,solar,scr2004,avaConv,0.001819117129639646
h0044,CH,solar,scr2004,avaConv,0.00023872632190148388
h0045,CH,solar,scr2004,avaConv,0.0
h0046,CH,solar,scr2004,avaConv,0.0
h0047,CH,solar,scr2004,avaConv,0.0
h0048,CH,solar,scr2004,avaConv,0.0
h0049,CH,solar,scr2004,avaConv,0.0
h0050,CH,solar,scr2004,avaConv,0.0
h0051,CH,solar,scr2004,avaConv,0.0
h0052,CH,solar,scr2004,avaConv,0.0
h0053,CH,solar,scr2004,avaConv,0.00013473274786790385
h0054,CH,solar,scr2004,avaConv,0.00585764896631366
h0055,CH,solar,scr2004,avaConv,0.02617907055810219
h0056,CH,solar,scr2004,avaConv,0.08847627540834546
h0057,CH,solar,scr2004,avaConv,0.16075094711446278
h0058,CH,solar,scr2004,avaConv,0.3834334650267761
h0059,CH,solar,scr2004,avaConv,0.4346787959970223
h0060,CH,solar,scr2004,avaConv,0.5444230206426643
h0061,CH,solar,scr2004,avaConv,0.3278875768161344
h0062,CH,solar,scr2004,avaConv,0.43911807457927093
h0063,CH,solar,scr2004,avaConv,0.34155959106073436
h0064,CH,solar,scr2004,avaConv,0.34611646174869987
h0065,CH,solar,scr2004,avaConv,0.13333824260050275
h0066,CH,solar,scr2004,avaConv,0.042605079470611505
h0067,CH,solar,scr2004,avaConv,0.006177124077792926
h0068,CH,solar,scr2004,avaConv,0.0005575108339621099
h0069,CH,solar,scr2004,avaConv,0.0004152853198103629
h0070,CH,solar,scr2004,avaConv,0.0
h0071,CH,solar,scr2004,avaConv,0.0
h0072,CH,solar,scr2004,avaConv,0.0
h0073,CH,solar,scr2004,avaConv,0.0
h0074,CH,solar,scr2004,avaConv,0.0
h0075,CH,solar,scr2004,avaConv,0.0
h0076,CH,solar,scr2004,avaConv,0.0
h0077,CH,solar,scr2004,avaConv,0.0
h0078,CH,solar,scr2004,avaConv,0.0018107469900305443
h0079,CH,solar,scr2004,avaConv,0.0032380716272864705
h0080,CH,solar,scr2004,avaConv,0.0732918979316293
h0081,CH,solar,scr2004,avaConv,0.1321611925072802
h0082,CH,solar,scr2004,avaConv,0.4277512952737273
h0083,CH,solar,scr2004,avaConv,0.4383801639504812
h0084,CH,solar,scr2004,avaConv,0.7658694853198073
h0085,CH,solar,scr2004,avaConv,0.8049596730866487
h0086,CH,solar,scr2004,avaConv,0.7870889847481436
h0087,CH,solar,scr2004,avaConv,0.6345086462056164
h0088,CH,solar,scr2004,avaConv,0.4464951851964384
h0089,CH,solar,scr2004,avaConv,0.23683956480024684
h0090,CH,solar,scr2004,avaConv,0.053802458553415256
h0091,CH,solar,scr2004,avaConv,0.0001064898843444113
h0092,CH,solar,scr2004,avaConv,0.0
h0093,CH,solar,scr2004,avaConv,0.0
h0094,CH,solar,scr2004,avaConv,0.0
h0095,CH,solar,scr2004,avaConv,0.0
h0096,CH,solar,scr2004,avaConv,0.0
h0001,DE,solar,scr2004,avaConv,0.0
h0002,DE,solar,scr2004,avaConv,0.0
h0003,DE,solar,scr2004,avaConv,0.0
h0004,DE,solar,scr2004,avaConv,0.0
h0005,DE,solar,scr2004,avaConv,0.0
h0006,DE,solar,scr2004,avaConv,0.0
h0007,DE,solar,scr2004,avaConv,0.0
h0008,DE,solar,scr2004,avaConv,0.0002590611842320949
h0009,DE,solar,scr2004,avaConv,0.002650366144622813
h0010,DE,solar,scr2004,avaConv,0.012222622036996617
h0011,DE,solar,scr2004,avaConv,0.02758541464928342
h0012,DE,solar,scr2004,avaConv,0.07208390796540619
h0013,DE,solar,scr2004,avaConv,0.11080638880597331
h0014,DE,solar,scr2004,avaConv,0.26975321054491047
h0015,DE,solar,scr2004,avaConv,0.4429874463938743
h0016,DE,solar,scr2004,avaConv,0.3706211018742932
h0017,DE,solar,scr2004,avaConv,0.13573719343701615
h0018,DE,solar,scr2004,avaConv,0.004925238029620021
h0019,DE,solar,scr2004,avaConv,0.0
h0020,DE,solar,scr2004,avaConv,0.0
h0021,DE,solar,scr2004,avaConv,0.0
h0022,DE,solar,scr2004,avaConv,0.0
h0023,DE,solar,scr2004,avaConv,0.0
h0024,DE,solar,scr2004,avaConv,0.0
h0025,DE,solar,scr2004,avaConv,0.0
h0026,DE,solar,scr2004,avaConv,0.0
h0027,DE,solar,scr2004,avaConv,0.0
h0028,DE,solar,scr2004,avaConv,0.0
h0029,DE,solar,scr2004,avaConv,0.0
h0030,DE,solar,scr2004,avaConv,0.0
h0031,DE,solar,scr2004,avaConv,0.002990817286358574
h0032,DE,solar,scr2004,avaConv,0.02914908472977215
h0033,DE,solar,scr2004,avaConv,0.1854698083065493
h0034,DE,solar,scr2004,avaConv,0.21099633231690726
h0035,DE,solar,scr2004,avaConv,0.23407431706822898
h0036,DE,solar,scr2004,avaConv,0.2168008206800848
h0037,DE,solar,scr2004,avaConv,0.3659715440245633
h0038,DE,solar,scr2004,avaConv,0.4403320372706513
h0039,DE,solar,scr2004,avaConv,0.33897628959202086
h0040,DE,solar,scr2004,avaConv,0.23246799182202602
h0041,DE,solar,scr2004,avaConv,0.09635770962361591
h0042,DE,solar,scr2004,avaConv,0.025341208986996024
h0043,DE,solar,scr2004,avaConv,0.0015609810190036209
h0044,DE,solar,scr2004,avaConv,0.0003866802967399588
h0045,DE,solar,scr2004,avaConv,0.0
h0046,DE,solar,scr2004,avaConv,0.0
h0047,DE,solar,scr2004,avaConv,0.0
h0048,DE,solar,scr2004,avaConv,0.0
h0049,DE,solar,scr2004,avaConv,0.0
h0050,DE,solar,scr2004,avaConv,0.0
h0051,DE,solar,scr2004,avaConv,0.0
h0052,DE,solar,scr2004,avaConv,0.0
h0053,DE,solar,scr2004,avaConv,0.0005578591351315024
h0054,DE,solar,scr2004,avaConv,0.011610223002667074
h0055,DE,solar,scr2004,avaConv,0.04321081280979241
h0056,DE,solar,scr2004,avaConv,0.10847270961211199
h0057,DE,solar,scr2004,avaConv,0.21606497575306666
h0058,DE,solar,scr2004,avaConv,0.4571896308495067
h0059,DE,solar,scr2004,avaConv,0.6940868056834257
h0060,DE,solar,scr2004,avaConv,0.7438911616858537
h0061,DE,solar,scr2004,avaConv,0.5390085409289241
h0062,DE,solar,scr2004,avaConv,0.46374755664865436
h0063,DE,solar,scr2004,avaConv,0.354971885978588
h0064,DE,solar,scr2004,avaConv,0.2885417455616495
h0065,DE,solar,scr2004,avaConv,0.11023873947515313
