timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2001,dem,34.96217609846513
h0002,AT,electricity,scr2001,dem,38.34527549050954
h0003,AT,electricity,scr2001,dem,38.418745358092934
h0004,AT,electricity,scr2001,dem,41.204273098394964
h0005,AT,electricity,scr2001,dem,42.727505501134786
h0006,AT,electricity,scr2001,dem,44.75065521555018
h0007,AT,electricity,scr2001,dem,42.53869214540723
h0008,AT,electricity,scr2001,dem,40.29327020920566
h0009,AT,electricity,scr2001,dem,37.15749557252316
h0010,AT,electricity,scr2001,dem,35.68100055987715
h0011,AT,electricity,scr2001,dem,36.496328283028916
h0012,AT,electricity,scr2001,dem,37.82017876937249
h0013,AT,electricity,scr2001,dem,37.7724299788565
h0014,AT,electricity,scr2001,dem,33.717394246128336
h0015,AT,electricity,scr2001,dem,31.586856492763367
h0016,AT,electricity,scr2001,dem,30.982922410975576
h0017,AT,electricity,scr2001,dem,31.938054870240578
h0018,AT,electricity,scr2001,dem,31.47747250588928
h0019,AT,electricity,scr2001,dem,30.999353653078423
h0020,AT,electricity,scr2001,dem,28.572560718641036
h0021,AT,electricity,scr2001,dem,25.47491708883762
h0022,AT,electricity,scr2001,dem,21.561222510120515
h0023,AT,electricity,scr2001,dem,22.324888111128224
h0024,AT,electricity,scr2001,dem,22.495146263185504
h0025,AT,electricity,scr2001,dem,20.944884665563634
h0026,AT,electricity,scr2001,dem,17.39543787758602
h0027,AT,electricity,scr2001,dem,19.5704948258852
h0028,AT,electricity,scr2001,dem,26.429056833102614
h0029,AT,electricity,scr2001,dem,27.096239911659637
h0030,AT,electricity,scr2001,dem,21.923030020660804
h0031,AT,electricity,scr2001,dem,14.955028009971729
h0032,AT,electricity,scr2001,dem,13.059119634775623
h0033,AT,electricity,scr2001,dem,16.279100684491674
h0034,AT,electricity,scr2001,dem,18.034446349913516
h0035,AT,electricity,scr2001,dem,16.187721460426012
h0036,AT,electricity,scr2001,dem,12.986852396772816
h0037,AT,electricity,scr2001,dem,11.719242948237078
h0038,AT,electricity,scr2001,dem,13.648466523752303
h0039,AT,electricity,scr2001,dem,14.43063497035911
h0040,AT,electricity,scr2001,dem,11.612396988385518
h0041,AT,electricity,scr2001,dem,11.401588186759785
h0042,AT,electricity,scr2001,dem,12.16815560697192
h0043,AT,electricity,scr2001,dem,15.106874880461836
h0044,AT,electricity,scr2001,dem,13.468117261182575
h0045,AT,electricity,scr2001,dem,10.067957918820861
h0046,AT,electricity,scr2001,dem,7.414651492207888
h0047,AT,electricity,scr2001,dem,6.676092915980014
h0048,AT,electricity,scr2001,dem,6.070505046104932
h0049,AT,electricity,scr2001,dem,5.570845204307762
h0050,AT,electricity,scr2001,dem,5.371213384609728
h0051,AT,electricity,scr2001,dem,4.8424106133169
h0052,AT,electricity,scr2001,dem,4.915828916829939
h0053,AT,electricity,scr2001,dem,4.685996581667409
h0054,AT,electricity,scr2001,dem,5.044908234943415
h0055,AT,electricity,scr2001,dem,6.042983134320567
h0056,AT,electricity,scr2001,dem,6.104886275616089
h0057,AT,electricity,scr2001,dem,7.230276270283662
h0058,AT,electricity,scr2001,dem,7.007870033767617
h0059,AT,electricity,scr2001,dem,8.609214065642528
h0060,AT,electricity,scr2001,dem,8.735267239158532
h0061,AT,electricity,scr2001,dem,9.458836737206877
h0062,AT,electricity,scr2001,dem,9.381560539049925
h0063,AT,electricity,scr2001,dem,8.04516628137237
h0064,AT,electricity,scr2001,dem,7.904873563388376
h0065,AT,electricity,scr2001,dem,6.9552857808398265
