technology_3,parameter,value,comment
pumpedStorage,effStIn,0.89,"based on 80 percent roundtrip efficiency from Irena (2017), Electricity Storage and Renewables Costs and Markets to 2030, reference value"
pumpedStorage,effStOut,0.89,"based on 80 percent roundtrip efficiency from Irena (2017), Electricity Storage and Renewables Costs and Markets to 2030, reference value"
