region_4,technology_2,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
72DK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
73EE,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
74FI,power,reservoir,capaStOutResi,1.210483937,capaStInResi,0,capaStSizeResi,2068.205985
75FI,power,reservoir,capaStOutResi,2.026126063,capaStInResi,0,capaStSizeResi,3461.794015
77LT,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
78LV,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
79NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
80NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
81NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
82NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
83NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
84NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
85NO,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
86SE,power,reservoir,capaStOutResi,5.444,capaStInResi,0,capaStSizeResi,14426.307
87SE,power,reservoir,capaStOutResi,8.0751,capaStInResi,0,capaStSizeResi,14798.5989
88SE,power,reservoir,capaStOutResi,2.583,capaStInResi,0,capaStSizeResi,2635.077
89SE,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
90UK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
91UK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
92UK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
93UK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
94UK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
95UK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
96IE,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
98IT,power,reservoir,capaStOutResi,0.1418,capaStInResi,0,capaStSizeResi,144.35
99FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
01ES,power,pumpedStorageOpen,capaStOutResi,0.650605963,capaStInResi,0.587731809,capaStSizeResi,1445.530784
02ES,power,pumpedStorageOpen,capaStOutResi,0.720134353,capaStInResi,0.650541019,capaStSizeResi,1600.010506
03ES,power,pumpedStorageOpen,capaStOutResi,0.081424883,capaStInResi,0.073556033,capaStSizeResi,180.9116138
04ES,power,pumpedStorageOpen,capaStOutResi,0.048643436,capaStInResi,0.043942565,capaStSizeResi,108.077068
05ES,power,pumpedStorageOpen,capaStOutResi,0.146459042,capaStInResi,0.132305332,capaStSizeResi,325.4059547
06ES,power,pumpedStorageOpen,capaStOutResi,0.383331429,capaStInResi,0.346286519,capaStSizeResi,851.6942857
07ES,power,pumpedStorageOpen,capaStOutResi,0.035425111,capaStInResi,0.032001651,capaStSizeResi,78.70829951
08ES,power,pumpedStorageOpen,capaStOutResi,0.127424654,capaStInResi,0.115110415,capaStSizeResi,283.1149281
09ES,power,pumpedStorageOpen,capaStOutResi,0.134033817,capaStInResi,0.121080873,capaStSizeResi,297.7993123
10ES,power,pumpedStorageOpen,capaStOutResi,0.100988004,capaStInResi,0.091228586,capaStSizeResi,224.3773911
11ES,power,pumpedStorageOpen,capaStOutResi,0.254849308,capaStInResi,0.230220831,capaStSizeResi,566.2298562
12PT,power,pumpedStorageOpen,capaStOutResi,3.17721165,capaStInResi,2.967442718,capaStSizeResi,1673.093786
13PT,power,pumpedStorageOpen,capaStOutResi,0.65478835,capaStInResi,0.611557282,capaStSizeResi,344.8062136
14FR,power,pumpedStorageOpen,capaStOutResi,0.162493181,capaStInResi,0.162493181,capaStSizeResi,7.90507365
15FR,power,pumpedStorageOpen,capaStOutResi,0.368048736,capaStInResi,0.368048736,capaStSizeResi,17.90507365
16FR,power,pumpedStorageOpen,capaStOutResi,0.176623022,capaStInResi,0.176623022,capaStSizeResi,8.592471358
17FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
18FR,power,pumpedStorageOpen,capaStOutResi,0.031287507,capaStInResi,0.031287507,capaStSizeResi,1.522094926
19FR,power,pumpedStorageOpen,capaStOutResi,0.36199309,capaStInResi,0.36199309,capaStSizeResi,17.61047463
20FR,power,pumpedStorageOpen,capaStOutResi,0.656701218,capaStInResi,0.656701218,capaStSizeResi,31.94762684
21FR,power,pumpedStorageOpen,capaStOutResi,0.01682124,capaStInResi,0.01682124,capaStSizeResi,0.818330606
22FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
23FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
24FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
25FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
26FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
27FR,power,pumpedStorageOpen,capaStOutResi,0.076032006,capaStInResi,0.076032006,capaStSizeResi,3.698854337
28BE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
29LU,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
30NL,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
31DE,power,pumpedStorageOpen,capaStOutResi,0.104963042,capaStInResi,0.086889301,capaStSizeResi,26.60114994
32DE,power,pumpedStorageOpen,capaStOutResi,0.002246915,capaStInResi,0.001860016,capaStSizeResi,0.569443577
33DE,power,pumpedStorageOpen,capaStOutResi,0.148456902,capaStInResi,0.122893889,capaStSizeResi,37.62395061
34DE,power,pumpedStorageOpen,capaStOutResi,0.570555984,capaStInResi,0.472311109,capaStSizeResi,144.5979939
35DE,power,pumpedStorageOpen,capaStOutResi,0.139629734,capaStInResi,0.115586685,capaStSizeResi,35.38685084
36DE,power,pumpedStorageOpen,capaStOutResi,0.556111529,capaStInResi,0.460353866,capaStSizeResi,140.9372852
37DE,power,pumpedStorageOpen,capaStOutResi,0.122135894,capaStInResi,0.101105135,capaStSizeResi,30.95332585
38DK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
39CZ,power,pumpedStorageOpen,capaStOutResi,0.32291214,capaStInResi,0.300670742,capaStSizeResi,1.578864629
40CZ,power,pumpedStorageOpen,capaStOutResi,0.14748786,capaStInResi,0.137329258,capaStSizeResi,0.721135371
41PL,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
42PL,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
43PL,power,pumpedStorageOpen,capaStOutResi,0.0827487,capaStInResi,0.065813264,capaStSizeResi,0.57395288
44PL,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
45PL,power,pumpedStorageOpen,capaStOutResi,0.1335113,capaStInResi,0.106186736,capaStSizeResi,0.92604712
46SK,power,pumpedStorageOpen,capaStOutResi,0.2762,capaStInResi,0.17828,capaStSizeResi,45.55
47CH,power,pumpedStorageOpen,capaStOutResi,1.291607855,capaStInResi,0.247201131,capaStSizeResi,1059.089557
48CH,power,pumpedStorageOpen,capaStOutResi,9.440392145,capaStInResi,1.806798869,capaStSizeResi,7740.910443
49AT,power,pumpedStorageOpen,capaStOutResi,4.322901083,capaStInResi,3.723724538,capaStSizeResi,1239.389063
50AT,power,pumpedStorageOpen,capaStOutResi,1.111660159,capaStInResi,0.957578286,capaStSizeResi,318.7163933
51AT,power,pumpedStorageOpen,capaStOutResi,0.608718758,capaStInResi,0.524347176,capaStSizeResi,174.5215439
52IT,power,pumpedStorageOpen,capaStOutResi,2.512,capaStInResi,1.706,capaStSizeResi,194
53IT,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
54IT,power,pumpedStorageOpen,capaStOutResi,0.742,capaStInResi,0.333,capaStSizeResi,94.99
55IT,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
56IT,power,pumpedStorageOpen,capaStOutResi,0.08,capaStInResi,0.058,capaStSizeResi,20.39
57SI,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
58HU,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
59RO,power,pumpedStorageOpen,capaStOutResi,0.379596511,capaStInResi,0.046479691,capaStSizeResi,681.7624742
60RO,power,pumpedStorageOpen,capaStOutResi,0.351061922,capaStInResi,0.042985773,capaStSizeResi,630.5138144
61RO,power,pumpedStorageOpen,capaStOutResi,0.108085567,capaStInResi,0.013234536,capaStSizeResi,194.1237113
62HR,power,pumpedStorageOpen,capaStOutResi,0.2814,capaStInResi,0.2469,capaStSizeResi,18.3
63BA,power,pumpedStorageOpen,capaStOutResi,0.44,capaStInResi,0.44,capaStSizeResi,3.4
64ME,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
65RS,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
66BG,power,pumpedStorageOpen,capaStOutResi,0.535,capaStInResi,0.148,capaStSizeResi,255.3
67MK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
68GR,power,pumpedStorageOpen,capaStOutResi,0.699,capaStInResi,0.735,capaStSizeResi,4.5
69GR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
70AL,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
72DK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
73EE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
74FI,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
75FI,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
77LT,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
78LV,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
79NO,power,pumpedStorageOpen,capaStOutResi,7.94440553,capaStInResi,0.318252535,capaStSizeResi,18120.37051
80NO,power,pumpedStorageOpen,capaStOutResi,5.403364055,capaStInResi,0.216458525,capaStSizeResi,12324.51671
81NO,power,pumpedStorageOpen,capaStOutResi,8.148857143,capaStInResi,0.326442857,capaStSizeResi,18586.70357
82NO,power,pumpedStorageOpen,capaStOutResi,3.855373272,capaStInResi,0.154446083,capaStSizeResi,8793.709217
83NO,power,pumpedStorageOpen,capaStOutResi,6.003,capaStInResi,0.0758,capaStSizeResi,8659.7
84NO,power,pumpedStorageOpen,capaStOutResi,6.238537037,capaStInResi,0.001864198,capaStSizeResi,21524.39753
85NO,power,pumpedStorageOpen,capaStOutResi,0.454462963,capaStInResi,0.000135802,capaStSizeResi,1568.002469
86SE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
87SE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
88SE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
89SE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
90UK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
91UK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
92UK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
93UK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
94UK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
95UK,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
96IE,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
98IT,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
99FR,power,pumpedStorageOpen,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
01ES,power,pumpedStorageClosed,capaStOutResi,1.664848315,capaStInResi,1.618690624,capaStSizeResi,24.01354089
02ES,power,pumpedStorageClosed,capaStOutResi,1.842765872,capaStInResi,1.79167544,capaStSizeResi,26.57979901
03ES,power,pumpedStorageClosed,capaStOutResi,0.208359724,capaStInResi,0.202582979,capaStSizeResi,3.005351724
04ES,power,pumpedStorageClosed,capaStOutResi,0.12447464,capaStInResi,0.121023598,capaStSizeResi,1.795404926
05ES,power,pumpedStorageClosed,capaStOutResi,0.374776906,capaStInResi,0.364386268,capaStSizeResi,5.405730049
06ES,power,pumpedStorageClosed,capaStOutResi,0.980914286,capaStInResi,0.953718571,capaStSizeResi,14.14857143
07ES,power,pumpedStorageClosed,capaStOutResi,0.09065001,capaStInResi,0.088136751,capaStSizeResi,1.307523153
08ES,power,pumpedStorageClosed,capaStOutResi,0.326069438,capaStInResi,0.317029208,capaStSizeResi,4.703180296
09ES,power,pumpedStorageClosed,capaStOutResi,0.342981754,capaStInResi,0.333472632,capaStSizeResi,4.947121182
10ES,power,pumpedStorageClosed,capaStOutResi,0.258420177,capaStInResi,0.251255513,capaStSizeResi,3.727416749
11ES,power,pumpedStorageClosed,capaStOutResi,0.652138877,capaStInResi,0.634058416,capaStSizeResi,9.406360591
12PT,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
13PT,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
14FR,power,pumpedStorageClosed,capaStOutResi,0.171276596,capaStInResi,0.171276596,capaStSizeResi,0.878341517
15FR,power,pumpedStorageClosed,capaStOutResi,0.387943262,capaStInResi,0.387943262,capaStSizeResi,1.989452628
16FR,power,pumpedStorageClosed,capaStOutResi,0.186170213,capaStInResi,0.186170213,capaStSizeResi,0.95471904
17FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
18FR,power,pumpedStorageClosed,capaStOutResi,0.032978723,capaStInResi,0.032978723,capaStSizeResi,0.169121658
19FR,power,pumpedStorageClosed,capaStOutResi,0.381560284,capaStInResi,0.381560284,capaStSizeResi,1.956719404
20FR,power,pumpedStorageClosed,capaStOutResi,0.692198582,capaStInResi,0.692198582,capaStSizeResi,3.549736316
21FR,power,pumpedStorageClosed,capaStOutResi,0.017730496,capaStInResi,0.017730496,capaStSizeResi,0.090925623
22FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
23FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
24FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
25FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
26FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
27FR,power,pumpedStorageClosed,capaStOutResi,0.080141844,capaStInResi,0.080141844,capaStSizeResi,0.410983815
28BE,power,pumpedStorageClosed,capaStOutResi,1.224,capaStInResi,1.15,capaStSizeResi,5.3
29LU,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
30NL,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
31DE,power,pumpedStorageClosed,capaStOutResi,0.4712605,capaStInResi,0.473556267,capaStSizeResi,15.46067747
32DE,power,pumpedStorageClosed,capaStOutResi,0.010088145,capaStInResi,0.01013729,capaStSizeResi,0.330962515
33DE,power,pumpedStorageClosed,capaStOutResi,0.666538169,capaStInResi,0.66978524,capaStSizeResi,21.86716615
34DE,power,pumpedStorageClosed,capaStOutResi,2.561668313,capaStInResi,2.574147599,capaStSizeResi,84.04083854
35DE,power,pumpedStorageClosed,capaStOutResi,0.626906169,capaStInResi,0.629960172,capaStSizeResi,20.56695627
36DE,power,pumpedStorageClosed,capaStOutResi,2.496815951,capaStInResi,2.508979305,capaStSizeResi,81.91322237
37DE,power,pumpedStorageClosed,capaStOutResi,0.548362753,capaStInResi,0.551034127,capaStSizeResi,17.99017669
38DK,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
39CZ,power,pumpedStorageClosed,capaStOutResi,0.472320786,capaStInResi,0.455811354,capaStSizeResi,2.539912664
40CZ,power,pumpedStorageClosed,capaStOutResi,0.215729214,capaStInResi,0.208188646,capaStSizeResi,1.160087336
41PL,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
42PL,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
43PL,power,pumpedStorageClosed,capaStOutResi,0.506264703,capaStInResi,0.568595986,capaStSizeResi,2.425907504
44PL,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
45PL,power,pumpedStorageClosed,capaStOutResi,0.816835297,capaStInResi,0.917404014,capaStSizeResi,3.914092496
46SK,power,pumpedStorageClosed,capaStOutResi,0.64986,capaStInResi,0.64986,capaStSizeResi,4.1
47CH,power,pumpedStorageClosed,capaStOutResi,0.228667063,capaStInResi,0.228667063,capaStSizeResi,8.424576019
48CH,power,pumpedStorageClosed,capaStOutResi,1.671332937,capaStInResi,1.671332937,capaStSizeResi,61.57542398
49AT,power,pumpedStorageClosed,capaStOutResi,0.214597094,capaStInResi,0.214597094,capaStSizeResi,1.287582563
50AT,power,pumpedStorageClosed,capaStOutResi,0.055184941,capaStInResi,0.055184941,capaStSizeResi,0.331109643
51AT,power,pumpedStorageClosed,capaStOutResi,0.030217966,capaStInResi,0.030217966,capaStSizeResi,0.181307794
52IT,power,pumpedStorageClosed,capaStOutResi,2.505,capaStInResi,2.502,capaStSizeResi,31.3
53IT,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
54IT,power,pumpedStorageClosed,capaStOutResi,2.205,capaStInResi,2.185,capaStSizeResi,13.9
55IT,power,pumpedStorageClosed,capaStOutResi,1.25,capaStInResi,1.25,capaStSizeResi,10
56IT,power,pumpedStorageClosed,capaStOutResi,1.1,capaStInResi,1.187,capaStSizeResi,7.4
57SI,power,pumpedStorageClosed,capaStOutResi,0.18,capaStInResi,0.185,capaStSizeResi,2.596
58HU,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
59RO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
60RO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
61RO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
62HR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
63BA,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
64ME,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
65RS,power,pumpedStorageClosed,capaStOutResi,0.814,capaStInResi,0.76,capaStSizeResi,254
66BG,power,pumpedStorageClosed,capaStOutResi,0.864,capaStInResi,0.784,capaStSizeResi,9.4
67MK,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
68GR,power,pumpedStorageClosed,capaStOutResi,0.68,capaStInResi,0.71,capaStSizeResi,0
69GR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
70AL,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
72DK,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
73EE,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
74FI,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
75FI,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
77LT,power,pumpedStorageClosed,capaStOutResi,0.93,capaStInResi,0.9,capaStSizeResi,10.6
78LV,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
79NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
80NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
81NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
82NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
83NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
84NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
85NO,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
86SE,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
