timestep_2,region_4,technology_3,parameter_1,value_1,parameter_2,value_2
2030,14FR,reservoir,capaStOutResi,0.745,capaStSizeResi,591.09
2030,15FR,reservoir,capaStOutResi,1.686,capaStSizeResi,1338.14
2030,16FR,reservoir,capaStOutResi,0.809,capaStSizeResi,642.35
2030,18FR,reservoir,capaStOutResi,0.144,capaStSizeResi,114.27
2030,19FR,reservoir,capaStOutResi,1.658,capaStSizeResi,1315.84
2030,20FR,reservoir,capaStOutResi,3.008,capaStSizeResi,2387.06
2030,21FR,reservoir,capaStOutResi,0.078,capaStSizeResi,61.55
2030,27FR,reservoir,capaStOutResi,0.349,capaStSizeResi,276.98
2030,29LU,reservoir,capaStOutResi,0.189,capaStSizeResi,0
2030,31DE,reservoir,capaStOutResi,0.083,capaStSizeResi,16.47
2030,33DE,reservoir,capaStOutResi,0.117,capaStSizeResi,23.3
2030,34DE,reservoir,capaStOutResi,0.45,capaStSizeResi,89.53
2030,35DE,reservoir,capaStOutResi,0.11,capaStSizeResi,21.91
2030,36DE,reservoir,capaStOutResi,0.439,capaStSizeResi,87.27
2030,37DE,reservoir,capaStOutResi,0.096,capaStSizeResi,19.17
2030,47CH,reservoir,capaStOutResi,0.981,capaStSizeResi,1109.18
2030,48CH,reservoir,capaStOutResi,7.171,capaStSizeResi,8109.22
2030,49AT,reservoir,capaStOutResi,1.738,capaStSizeResi,1251.86
2030,50AT,reservoir,capaStOutResi,0.447,capaStSizeResi,321.81
2030,51AT,reservoir,capaStOutResi,0.245,capaStSizeResi,176.23
2040,14FR,reservoir,capaStOutResi,0.741,capaStSizeResi,588.19
2040,15FR,reservoir,capaStOutResi,1.678,capaStSizeResi,1331.59
2040,16FR,reservoir,capaStOutResi,0.805,capaStSizeResi,639.2
2040,18FR,reservoir,capaStOutResi,0.143,capaStSizeResi,113.71
2040,19FR,reservoir,capaStOutResi,1.65,capaStSizeResi,1309.4
2040,20FR,reservoir,capaStOutResi,2.993,capaStSizeResi,2375.38
2040,21FR,reservoir,capaStOutResi,0.077,capaStSizeResi,61.25
2040,27FR,reservoir,capaStOutResi,0.347,capaStSizeResi,275.62
2040,31DE,reservoir,capaStOutResi,0.083,capaStSizeResi,16.47
2040,33DE,reservoir,capaStOutResi,0.117,capaStSizeResi,23.3
2040,34DE,reservoir,capaStOutResi,0.45,capaStSizeResi,89.53
2040,35DE,reservoir,capaStOutResi,0.11,capaStSizeResi,21.91
2040,36DE,reservoir,capaStOutResi,0.439,capaStSizeResi,87.27
2040,37DE,reservoir,capaStOutResi,0.096,capaStSizeResi,19.17
2040,47CH,reservoir,capaStOutResi,0.981,capaStSizeResi,1109.18
2040,48CH,reservoir,capaStOutResi,7.171,capaStSizeResi,8109.22
2040,49AT,reservoir,capaStOutResi,1.947,capaStSizeResi,1402.43
2040,50AT,reservoir,capaStOutResi,0.501,capaStSizeResi,360.52
2040,51AT,reservoir,capaStOutResi,0.274,capaStSizeResi,197.43
