scenario_1,parameter,value
s2016,scrProb,0.051282051
s2014,scrProb,0.128205128
s2009,scrProb,0.153846154
s2018,scrProb,0.153846154
s1989,scrProb,0.076923077
s2013,scrProb,0.128205128
s1994,scrProb,0.102564103
s1999,scrProb,0.128205128
s1980,scrProb,0.025641026
s2006,scrProb,0.051282051
