i,lowCost,bestObj,gap,curCost,time_ges,time_top,time_waitNoStab,time_subTot,time_sub,numFoc,actMethod,dynPar_qtrLvl,objName
1,0.0,360587.1859797025,1.0,360587.1859797025,9.783333333333333,0.0,0.0,0.11438333333333334,"[0.0944, 0.00227, 0.00208, 0.00237, 0.00455, 0.00218, 0.00213, 0.00205, 0.00233]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",,0.0,96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
2,722.8968018035255,263290.565903282,0.9972543763604919,263290.565903282,10.45,0.030033333333333335,0.008033333333333333,0.039066666666666666,"[0.0299, 0.00095, 0.0011, 0.000883, 0.001, 0.0009, 0.00127, 0.00177, 0.0013]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 130.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
3,722.8968018154211,263290.565903282,0.9972543763604467,Inf,10.483333333333333,0.0012333333333333332,0.0,0.00935,"[0.0008, 0.0008, 0.000983, 0.00108, 0.00102, 0.00115, 0.00137, 0.00108, 0.00107]","[3, 3, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 130.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
4,806.2554919598774,263290.565903282,0.9969377729536422,281694.522289318,10.516666666666667,0.0012,0.00013333333333333334,0.027133333333333332,"[0.0156, 0.00122, 0.00108, 0.00138, 0.00152, 0.00127, 0.00105, 0.00128, 0.00268]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 130.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
5,851.780161738372,121797.10876974382,0.9930065650133891,121797.10876974382,10.533333333333333,0.0017666666666666666,0.0004333333333333333,0.012199999999999999,"[0.00138, 0.00137, 0.0013, 0.00125, 0.00145, 0.00163, 0.00148, 0.00107, 0.00127]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 61.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
6,851.780161738372,57361.94749926976,0.9851507802842779,57361.94749926976,10.55,0.00085,0.00013333333333333334,0.00985,"[0.00123, 0.00102, 0.00112, 0.001, 0.000883, 0.00108, 0.00133, 0.00123, 0.00095]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 29.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
7,1525.6588941221935,57361.94749926976,0.9734029446238447,248318.93162041926,10.566666666666666,0.0010166666666666666,0.0,0.010883333333333333,"[0.00165, 0.00115, 0.00125, 0.0013, 0.00158, 0.00103, 0.000917, 0.00108, 0.000917]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 29.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
8,1603.6739584677991,57361.94749926976,0.9720428955364842,160526.46930422971,10.583333333333334,0.001,0.0001,0.010316666666666667,"[0.000917, 0.00095, 0.00107, 0.0017, 0.0016, 0.00102, 0.00108, 0.00105, 0.000933]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 29.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
9,1603.67395849902,55117.760020770285,0.9709045875976328,55117.760020770285,10.6,0.0014666666666666667,0.00013333333333333334,0.0136,"[0.0011, 0.00113, 0.00155, 0.00115, 0.0015, 0.00178, 0.00187, 0.0024, 0.00112]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 28.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
10,1606.3178567258335,34789.277661370674,0.9538272144549452,34789.277661370674,10.6,0.0012166666666666667,0.00021666666666666666,0.011283333333333334,"[0.00127, 0.00132, 0.00117, 0.001, 0.00125, 0.00123, 0.00112, 0.00182, 0.00112]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 18.0]",96h_onlyCH_total24_ext0_3month_qtrLvl_1trust_200cutDel_2000dnsThrs_20Upper
