timestep_3,region_1,scenario_1,technology_1,parameter,value
h0117,DE,s1996,wind,avaConv,0.730021468255659
h0118,DE,s1996,wind,avaConv,0.740111956365754
h0119,DE,s1996,wind,avaConv,0.708795521591132
h0120,DE,s1996,wind,avaConv,0.673219498710589
h0121,DE,s1996,wind,avaConv,0.683225506034273
h0122,DE,s1996,wind,avaConv,0.682512254392059
h0123,DE,s1996,wind,avaConv,0.67545815179312
h0124,DE,s1996,wind,avaConv,0.664708577142378
h0125,DE,s1996,wind,avaConv,0.667569538169033
h0126,DE,s1996,wind,avaConv,0.656920579552469
h0127,DE,s1996,wind,avaConv,0.658329687280588
h0128,DE,s1996,wind,avaConv,0.645217365800878
h0129,DE,s1996,wind,avaConv,0.677458959479674
h0130,DE,s1996,wind,avaConv,0.745056768254796
h0131,DE,s1996,wind,avaConv,0.775527075498486
h0132,DE,s1996,wind,avaConv,0.781151340571297
h0133,DE,s1996,wind,avaConv,0.761424150933369
h0134,DE,s1996,wind,avaConv,0.732926835637291
h0135,DE,s1996,wind,avaConv,0.664740909779968
h0136,DE,s1996,wind,avaConv,0.58802830207378
h0137,DE,s1996,wind,avaConv,0.594698314098158
h0138,DE,s1996,wind,avaConv,0.630746255389377
h0139,DE,s1996,wind,avaConv,0.644936461772317
h0140,DE,s1996,wind,avaConv,0.645798467710862
h0141,DE,s1996,wind,avaConv,0.612991075812344
h0142,DE,s1996,wind,avaConv,0.609722188931265
h0143,DE,s1996,wind,avaConv,0.629868772545415
h0144,DE,s1996,wind,avaConv,0.680076149955872
h0145,DE,s1996,wind,avaConv,0.695289968634043
h0146,DE,s1996,wind,avaConv,0.70964531123249
h0147,DE,s1996,wind,avaConv,0.702248746757206
h0148,DE,s1996,wind,avaConv,0.70245135450019
h0149,DE,s1996,wind,avaConv,0.731490614222528
h0150,DE,s1996,wind,avaConv,0.73540181067925
h0151,DE,s1996,wind,avaConv,0.732945728718421
h0152,DE,s1996,wind,avaConv,0.734299238456079
h0153,DE,s1996,wind,avaConv,0.747792407969911
h0154,DE,s1996,wind,avaConv,0.724793663059085
h0155,DE,s1996,wind,avaConv,0.69748074203715
h0156,DE,s1996,wind,avaConv,0.658689452192086
h0157,DE,s1996,wind,avaConv,0.605086502082816
h0158,DE,s1996,wind,avaConv,0.542193047773404
h0159,DE,s1996,wind,avaConv,0.476123862876178
h0160,DE,s1996,wind,avaConv,0.462371044675236
h0161,DE,s1996,wind,avaConv,0.456588734588237
h0162,DE,s1996,wind,avaConv,0.433345096035355
h0163,DE,s1996,wind,avaConv,0.384225072455645
h0164,DE,s1996,wind,avaConv,0.334727174244042
h0165,DE,s1996,wind,avaConv,0.283807180485768
h0166,DE,s1996,wind,avaConv,0.241685697144975
h0167,DE,s1996,wind,avaConv,0.220394243272052
h0168,DE,s1996,wind,avaConv,0.198661835829719
h0169,DE,s1996,wind,avaConv,0.193358427565186
h0170,DE,s1996,wind,avaConv,0.19611769912532
h0171,DE,s1996,wind,avaConv,0.192898902099434
h0172,DE,s1996,wind,avaConv,0.181357636879402
h0173,DE,s1996,wind,avaConv,0.165576374187741
h0174,DE,s1996,wind,avaConv,0.158479134708473
h0175,DE,s1996,wind,avaConv,0.158867430571783
h0176,DE,s1996,wind,avaConv,0.163449128909132
h0177,DE,s1996,wind,avaConv,0.177738250610086
h0178,DE,s1996,wind,avaConv,0.202497271367309
