exchange_1,exchange_2,carrier_exchange,exchange_type,exchange_decomm,exchange_symmetry,comment
powerGrid,hvac,electricity,stock,none,undirected,
powerGrid,hvdc,electricity,stock,none,undirected,
h2Grid,,h2,mature,none,directed,
biomassExc,,solidBiomass,unrestricted,none,undirected,
liquidExc,,crudeOil; refinedOil,unrestricted,none,undirected,
