scenario,timestep_3,parameter,value
scr1985,ini1,scrProb,0
scr1989,ini1,scrProb,0
scr1992,ini1,scrProb,0
scr1993,ini1,scrProb,0
scr2000,ini1,scrProb,0.342857143
scr2001,ini1,scrProb,0
scr2002,ini1,scrProb,0
scr2004,ini1,scrProb,0.542857143
scr2005,ini1,scrProb,0
scr2010,ini1,scrProb,0.114285714
scr1985,ini2,scrProb,0.257142857
scr1989,ini2,scrProb,0
scr1992,ini2,scrProb,0
scr1993,ini2,scrProb,0
scr2000,ini2,scrProb,0
scr2001,ini2,scrProb,0
scr2002,ini2,scrProb,0.257142857
scr2004,ini2,scrProb,0
scr2005,ini2,scrProb,0.485714286
scr2010,ini2,scrProb,0
scr1985,ini3,scrProb,0
scr1989,ini3,scrProb,0
scr1992,ini3,scrProb,0
scr1993,ini3,scrProb,0.114285714
scr2000,ini3,scrProb,0
scr2001,ini3,scrProb,0
scr2002,ini3,scrProb,0
scr2004,ini3,scrProb,0.314285714
scr2005,ini3,scrProb,0.571428571
scr2010,ini3,scrProb,0
scr1985,ini4,scrProb,0
scr1989,ini4,scrProb,0.114285714
scr1992,ini4,scrProb,0.371428571
scr1993,ini4,scrProb,0
scr2000,ini4,scrProb,0
scr2001,ini4,scrProb,0.514285714
scr2002,ini4,scrProb,0
scr2004,ini4,scrProb,0
scr2005,ini4,scrProb,0
scr2010,ini4,scrProb,0
