total,extreme,distance
24,0,16349.31811084615
24,2,17207.709027017932
24,4,18121.94009390078
24,8,20541.14642416424
24,0,16349.31811084615
24,2,17207.709027017932
24,4,18121.94009390078
24,8,20541.14642416424
28,0,14890.29569409509
28,2,15505.845841602515
28,4,16224.62079232627
28,8,17992.333331505353
28,12,20391.84539381322
32,0,13808.842700728324
32,2,14271.152758657125
32,4,14779.264216037005
32,8,16092.139576032356
32,12,17842.41808207524
32,16,20278.592949267444
36,0,12960.366219324085
36,2,13320.332859855396
36,4,13693.119444241118
36,8,14682.798876345618
36,12,15956.618535916552
36,16,17719.46528744361
40,0,12187.165508463762
40,2,12508.571641608109
40,4,12844.642962836877
40,8,13586.656548811314
40,12,14547.27783622981
40,16,15833.665741284918
44,0,11486.75503544212
44,2,11767.292921930133
44,4,12071.442251976554
44,8,12738.180067407073
44,12,13451.64607470153
44,16,14422.929619174147
48,0,10910.734019326153
48,2,11142.776017733044
48,4,11371.03177895491
48,8,11964.979356546752
48,12,12615.97125160119
48,16,13342.944641170248
52,0,10384.859450428814
52,2,10593.55160722944
52,4,10801.709357600203
52,8,11279.421446383947
52,12,11834.418807274338
52,16,12513.194811349955
56,0,9934.470749937906
56,2,10118.273136182968
56,4,10280.094499162395
56,8,10707.224571130755
56,12,11153.38725954719
56,16,11743.037118970355
60,0,9532.326882583478
60,2,9696.85237745778
60,4,9843.20746735415
60,8,10185.609712692945
60,12,10592.450850048957
60,16,11063.181945325161
