technology_3,parameter,value
nuclearPower,costExpConv,11428.57143
nuclearPower,costOprConv,133.3333333
nuclearPower,lifeConv,40
nuclearPower,avaConv,0.66
nuclearPower,flhConvLow,2628
nuclearPower,costVarGen,14.16666667
