region_2,timestep_5,value,parameter,carrier_1
CH,hh0098,1.2137176706733044,dem,processHeat_medium
CH,hh0099,1.2147002285796589,dem,processHeat_medium
CH,hh0100,1.2154814950931723,dem,processHeat_medium
CH,hh0101,1.1980140981509066,dem,processHeat_medium
CH,hh0102,1.1856924973440073,dem,processHeat_medium
CZ,hh0085,2.0445678206858178,dem,processHeat_medium
CZ,hh0086,2.0377756394210444,dem,processHeat_medium
CZ,hh0087,2.047945676455524,dem,processHeat_medium
CZ,hh0088,2.0535491933324534,dem,processHeat_medium
CZ,hh0089,2.0440965121720813,dem,processHeat_medium
CZ,hh0090,2.0397216660167805,dem,processHeat_medium
CZ,hh0091,2.0313821482847185,dem,processHeat_medium
CZ,hh0092,2.040300270183564,dem,processHeat_medium
CZ,hh0093,2.0656377211141996,dem,processHeat_medium
CZ,hh0094,2.058947730493599,dem,processHeat_medium
CZ,hh0095,2.0412200336653408,dem,processHeat_medium
CZ,hh0096,2.0352065609198946,dem,processHeat_medium
CZ,hh0097,2.0565287179922773,dem,processHeat_medium
CZ,hh0098,2.067201400829946,dem,processHeat_medium
CZ,hh0099,2.06948015456764,dem,processHeat_medium
CZ,hh0100,2.066322436803124,dem,processHeat_medium
CZ,hh0101,2.043017012046076,dem,processHeat_medium
CZ,hh0102,2.0325703189940567,dem,processHeat_medium
DE,hh0085,8.956143107838464,dem,processHeat_medium
DE,hh0086,8.932992141438838,dem,processHeat_medium
DE,hh0087,8.910730278238402,dem,processHeat_medium
DE,hh0088,8.95580843805958,dem,processHeat_medium
DE,hh0089,8.956424343784649,dem,processHeat_medium
DE,hh0090,8.938879533606741,dem,processHeat_medium
DE,hh0091,8.870466408061953,dem,processHeat_medium
DE,hh0092,8.890782283852893,dem,processHeat_medium
DE,hh0093,9.018329767759614,dem,processHeat_medium
DE,hh0094,8.98118571758944,dem,processHeat_medium
DE,hh0095,8.92558107020487,dem,processHeat_medium
DE,hh0096,8.908885046712113,dem,processHeat_medium
DE,hh0097,9.006994050834145,dem,processHeat_medium
DE,hh0098,9.028429668283103,dem,processHeat_medium
DE,hh0099,9.03800605693506,dem,processHeat_medium
DE,hh0100,9.022270431913885,dem,processHeat_medium
DE,hh0101,8.921429642349093,dem,processHeat_medium
DE,hh0102,8.856297262760032,dem,processHeat_medium
DK,hh0085,0.6344321860119635,dem,processHeat_medium
DK,hh0086,0.6310445306114616,dem,processHeat_medium
DK,hh0087,0.6257502990461035,dem,processHeat_medium
DK,hh0088,0.6281400605480485,dem,processHeat_medium
DK,hh0089,0.6366407234040707,dem,processHeat_medium
DK,hh0090,0.6426387232413617,dem,processHeat_medium
DK,hh0091,0.6196261807540395,dem,processHeat_medium
DK,hh0092,0.6215928526039534,dem,processHeat_medium
DK,hh0093,0.6385605039677102,dem,processHeat_medium
DK,hh0094,0.6275145543042981,dem,processHeat_medium
DK,hh0095,0.6274219344372796,dem,processHeat_medium
DK,hh0096,0.6266526455144685,dem,processHeat_medium
DK,hh0097,0.629041378724196,dem,processHeat_medium
DK,hh0098,0.6303003232114861,dem,processHeat_medium
DK,hh0099,0.6303994571314888,dem,processHeat_medium
DK,hh0100,0.6257326211909913,dem,processHeat_medium
DK,hh0101,0.6272454905058567,dem,processHeat_medium
DK,hh0102,0.6260513383997477,dem,processHeat_medium
EE,hh0085,0.10954757470722143,dem,processHeat_medium
EE,hh0086,0.10896885544633506,dem,processHeat_medium
EE,hh0087,0.10802687348831341,dem,processHeat_medium
EE,hh0088,0.10865850447652292,dem,processHeat_medium
EE,hh0089,0.11008862590711033,dem,processHeat_medium
EE,hh0090,0.11100298125666086,dem,processHeat_medium
EE,hh0091,0.10691058446064972,dem,processHeat_medium
EE,hh0092,0.10731784988570325,dem,processHeat_medium
EE,hh0093,0.11039841582282861,dem,processHeat_medium
EE,hh0094,0.10859636725831479,dem,processHeat_medium
EE,hh0095,0.10873996328047042,dem,processHeat_medium
EE,hh0096,0.10852905772588883,dem,processHeat_medium
EE,hh0097,0.1087776691966269,dem,processHeat_medium
EE,hh0098,0.10893870718712151,dem,processHeat_medium
EE,hh0099,0.10894864561674922,dem,processHeat_medium
EE,hh0100,0.10816594410198377,dem,processHeat_medium
EE,hh0101,0.10840514246785915,dem,processHeat_medium
EE,hh0102,0.10818857588952824,dem,processHeat_medium
ES,hh0085,4.501958647895663,dem,processHeat_medium
ES,hh0086,4.489257737724984,dem,processHeat_medium
ES,hh0087,4.449523186814986,dem,processHeat_medium
ES,hh0088,4.476317001381176,dem,processHeat_medium
ES,hh0089,4.505346796815502,dem,processHeat_medium
ES,hh0090,4.510907040918028,dem,processHeat_medium
ES,hh0091,4.434879605023525,dem,processHeat_medium
ES,hh0092,4.439019708606793,dem,processHeat_medium
ES,hh0093,4.522506725419589,dem,processHeat_medium
ES,hh0094,4.485346424216914,dem,processHeat_medium
ES,hh0095,4.469814492873411,dem,processHeat_medium
ES,hh0096,4.4660116526411,dem,processHeat_medium
ES,hh0097,4.509976596780689,dem,processHeat_medium
ES,hh0098,4.513147209885574,dem,processHeat_medium
ES,hh0099,4.517035832197507,dem,processHeat_medium
ES,hh0100,4.501947639129867,dem,processHeat_medium
ES,hh0101,4.466119676153539,dem,processHeat_medium
ES,hh0102,4.432886227505151,dem,processHeat_medium
FI,hh0085,1.8505187061436565,dem,processHeat_medium
FI,hh0086,1.8499217442104952,dem,processHeat_medium
FI,hh0087,1.840085214010261,dem,processHeat_medium
FI,hh0088,1.902045917287076,dem,processHeat_medium
FI,hh0089,1.8878970870313152,dem,processHeat_medium
FI,hh0090,1.8493244281963332,dem,processHeat_medium
FI,hh0091,1.8234236403213997,dem,processHeat_medium
FI,hh0092,1.8418633873851538,dem,processHeat_medium
FI,hh0093,1.8937058807299725,dem,processHeat_medium
FI,hh0094,1.9192771142556944,dem,processHeat_medium
FI,hh0095,1.9465133453291037,dem,processHeat_medium
FI,hh0096,1.9247481638280546,dem,processHeat_medium
FI,hh0097,1.9053406540194462,dem,processHeat_medium
FI,hh0098,1.8945635158513232,dem,processHeat_medium
FI,hh0099,1.894850747844034,dem,processHeat_medium
FI,hh0100,1.900594906615722,dem,processHeat_medium
FI,hh0101,1.8714814658953158,dem,processHeat_medium
FI,hh0102,1.85450662791685,dem,processHeat_medium
FR,hh0085,5.068393916619243,dem,processHeat_medium
FR,hh0086,5.053982734418241,dem,processHeat_medium
FR,hh0087,5.00746695331145,dem,processHeat_medium
FR,hh0088,5.025525697008561,dem,processHeat_medium
FR,hh0089,5.065212807527132,dem,processHeat_medium
FR,hh0090,5.081466419171193,dem,processHeat_medium
FR,hh0091,4.994956195416307,dem,processHeat_medium
FR,hh0092,4.995101659813372,dem,processHeat_medium
FR,hh0093,5.081491611957972,dem,processHeat_medium
