technology_2,region_2,timestep_2,parameter,value
districtHeatSpace,AL,2040,lifeConv,25
districtHeatSpace,AL,,effConv,0.9
districtHeatSpace,AL,2040,costOprConv,1.8032
districtHeatSpace,AT,2040,lifeConv,25
districtHeatSpace,AT,,effConv,0.9
districtHeatSpace,AT,2040,costOprConv,1.8475
districtHeatSpace,BA,2040,lifeConv,25
districtHeatSpace,BA,,effConv,0.9
districtHeatSpace,BA,2040,costOprConv,1.80315
districtHeatSpace,BE,2040,lifeConv,25
districtHeatSpace,BE,,effConv,0.9
districtHeatSpace,BE,2040,costOprConv,0.5912
districtHeatSpace,BG,2040,lifeConv,25
districtHeatSpace,BG,,effConv,0.9
districtHeatSpace,BG,2040,costOprConv,1.6326
districtHeatSpace,CH,2040,lifeConv,25
districtHeatSpace,CH,,effConv,0.9
districtHeatSpace,CH,2040,costOprConv,1.5851
districtHeatSpace,CZ,2040,lifeConv,25
districtHeatSpace,CZ,,effConv,0.9
districtHeatSpace,CZ,2040,costOprConv,1.7498
districtHeatSpace,DE,2040,lifeConv,25
districtHeatSpace,DE,,effConv,0.9
districtHeatSpace,DE,2040,costOprConv,1.5851
districtHeatSpace,DK,2040,lifeConv,25
districtHeatSpace,DK,,effConv,0.9
districtHeatSpace,DK,2040,costOprConv,1.1951
districtHeatSpace,EE,2040,lifeConv,25
districtHeatSpace,EE,,effConv,0.9
districtHeatSpace,EE,2040,costOprConv,0.7296
districtHeatSpace,ES,2040,lifeConv,25
districtHeatSpace,ES,,effConv,0.9
districtHeatSpace,ES,2040,costOprConv,1.3729
districtHeatSpace,FI,2040,lifeConv,25
districtHeatSpace,FI,,effConv,0.9
districtHeatSpace,FI,2040,costOprConv,1.2813
districtHeatSpace,FR,2040,lifeConv,25
districtHeatSpace,FR,,effConv,0.9
districtHeatSpace,FR,2040,costOprConv,1.0423
districtHeatSpace,GR,2040,lifeConv,25
districtHeatSpace,GR,,effConv,0.9
districtHeatSpace,GR,2040,costOprConv,1.4867
districtHeatSpace,HR,2040,lifeConv,25
districtHeatSpace,HR,,effConv,0.9
districtHeatSpace,HR,2040,costOprConv,1.1159
districtHeatSpace,HU,2040,lifeConv,25
districtHeatSpace,HU,,effConv,0.9
districtHeatSpace,HU,2040,costOprConv,1.6082
districtHeatSpace,IE,2040,lifeConv,25
districtHeatSpace,IE,,effConv,0.9
districtHeatSpace,IE,2040,costOprConv,1.6853
districtHeatSpace,IT,2040,lifeConv,25
districtHeatSpace,IT,,effConv,0.9
districtHeatSpace,IT,2040,costOprConv,0.8355
districtHeatSpace,LT,2040,lifeConv,25
districtHeatSpace,LT,,effConv,0.9
districtHeatSpace,LT,2040,costOprConv,1.7459
districtHeatSpace,LU,2040,lifeConv,25
districtHeatSpace,LU,,effConv,0.9
districtHeatSpace,LU,2040,costOprConv,1.9041
districtHeatSpace,LV,2040,lifeConv,25
districtHeatSpace,LV,,effConv,0.9
districtHeatSpace,LV,2040,costOprConv,0.9738
districtHeatSpace,ME,2040,lifeConv,25
districtHeatSpace,ME,,effConv,0.9
districtHeatSpace,ME,2040,costOprConv,1.8032
districtHeatSpace,MK,2040,lifeConv,25
districtHeatSpace,MK,,effConv,0.9
districtHeatSpace,MK,2040,costOprConv,1.8032
districtHeatSpace,NL,2040,lifeConv,25
districtHeatSpace,NL,,effConv,0.9
districtHeatSpace,NL,2040,costOprConv,2.2304
districtHeatSpace,NO,2040,lifeConv,25
districtHeatSpace,NO,,effConv,0.9
districtHeatSpace,NO,2040,costOprConv,0.9413
districtHeatSpace,PL,2040,lifeConv,25
districtHeatSpace,PL,,effConv,0.9
districtHeatSpace,PL,2040,costOprConv,1.4465
districtHeatSpace,PT,2040,lifeConv,25
districtHeatSpace,PT,,effConv,0.9
districtHeatSpace,PT,2040,costOprConv,1.3239
districtHeatSpace,RO,2040,lifeConv,25
districtHeatSpace,RO,,effConv,0.9
districtHeatSpace,RO,2040,costOprConv,1.8032
districtHeatSpace,RS,2040,lifeConv,25
districtHeatSpace,RS,,effConv,0.9
districtHeatSpace,RS,2040,costOprConv,1.8032
districtHeatSpace,SE,2040,lifeConv,25
districtHeatSpace,SE,,effConv,0.9
districtHeatSpace,SE,2040,costOprConv,0.9413
districtHeatSpace,SI,2040,lifeConv,25
districtHeatSpace,SI,,effConv,0.9
districtHeatSpace,SI,2040,costOprConv,1.4485
districtHeatSpace,SK,2040,lifeConv,25
districtHeatSpace,SK,,effConv,0.9
districtHeatSpace,SK,2040,costOprConv,1.5176
districtHeatSpace,UK,2040,lifeConv,25
districtHeatSpace,UK,,effConv,0.9
districtHeatSpace,UK,2040,costOprConv,2.1679
