technology_3,region_2,parameter,value,source
resistiveHeatSpace,CZ,lifeConv,30,
resistiveHeatSpace,CZ,effConv,1,
resistiveHeatSpace,CZ,costExpConv,374.3859938,
resistiveHeatSpace,CZ,costOprConv,1.64495393,
gasBoilerSpace,DE,lifeConv,22.99163799,
gasBoilerSpace,DE,effConv,1.007949828,
gasBoilerSpace,DE,costExpConv,274.1247753,
gasBoilerSpace,DE,costOprConv,11.9116876,
bioBoilerSpace,DE,lifeConv,20,
bioBoilerSpace,DE,effConv,0.88637709,
bioBoilerSpace,DE,costExpConv,375.9428239,
bioBoilerSpace,DE,costOprConv,21.35392436,
heatpumpAirSpace,DE,lifeConv,18.39331039,
heatpumpAirSpace,DE,costExpConv,1511.787392,
heatpumpAirSpace,DE,costOprConv,19.67979707,
heatpumpGroundSpace,DE,lifeConv,20,
heatpumpGroundSpace,DE,costExpConv,2587.66447,
heatpumpGroundSpace,DE,costOprConv,16.07491023,
resistiveHeatSpace,DE,lifeConv,30,
resistiveHeatSpace,DE,effConv,1,
resistiveHeatSpace,DE,costExpConv,381.2458887,
resistiveHeatSpace,DE,costOprConv,1.480861996,
gasBoilerSpace,DK,lifeConv,23.62546174,
gasBoilerSpace,DK,effConv,1.01175277,
gasBoilerSpace,DK,costExpConv,213.2587933,
gasBoilerSpace,DK,costOprConv,8.755638129,
bioBoilerSpace,DK,lifeConv,20,
bioBoilerSpace,DK,effConv,0.891294591,
bioBoilerSpace,DK,costExpConv,328.579408,
bioBoilerSpace,DK,costOprConv,15.82498946,
heatpumpAirSpace,DK,lifeConv,18.90036939,
heatpumpAirSpace,DK,costExpConv,1369.908372,
heatpumpAirSpace,DK,costOprConv,16.83450849,
heatpumpGroundSpace,DK,lifeConv,20,
heatpumpGroundSpace,DK,costExpConv,2308.669423,
heatpumpGroundSpace,DK,costOprConv,13.02496548,
resistiveHeatSpace,DK,lifeConv,30,
resistiveHeatSpace,DK,effConv,1,
resistiveHeatSpace,DK,costExpConv,371.6439123,
resistiveHeatSpace,DK,costOprConv,1.050281486,
gasBoilerSpace,EE,lifeConv,24.40687592,
gasBoilerSpace,EE,effConv,1.016441255,
gasBoilerSpace,EE,costExpConv,145.4922263,
gasBoilerSpace,EE,costOprConv,5.237544287,
bioBoilerSpace,EE,lifeConv,20,
bioBoilerSpace,EE,effConv,0.896015995,
bioBoilerSpace,EE,costExpConv,275.96406,
bioBoilerSpace,EE,costOprConv,9.375236699,
heatpumpAirSpace,EE,lifeConv,19.52550073,
heatpumpAirSpace,EE,costExpConv,818.1502142,
heatpumpAirSpace,EE,costOprConv,13.61042384,
heatpumpGroundSpace,EE,lifeConv,20,
heatpumpGroundSpace,EE,costExpConv,1490.38232,
heatpumpGroundSpace,EE,costOprConv,9.604705087,
resistiveHeatSpace,EE,lifeConv,30,
resistiveHeatSpace,EE,effConv,1,
resistiveHeatSpace,EE,costExpConv,380.2291693,
resistiveHeatSpace,EE,costOprConv,0.55521396,
gasBoilerSpace,ES,lifeConv,23.29547425,
gasBoilerSpace,ES,effConv,1.009772845,
gasBoilerSpace,ES,costExpConv,230.6041685,
gasBoilerSpace,ES,costOprConv,9.645343207,
bioBoilerSpace,ES,lifeConv,20,
bioBoilerSpace,ES,effConv,0.891667974,
bioBoilerSpace,ES,costExpConv,342.0244455,
bioBoilerSpace,ES,costOprConv,17.94161844,
heatpumpAirSpace,ES,lifeConv,18.6363794,
heatpumpAirSpace,ES,costExpConv,1998.74213,
heatpumpAirSpace,ES,costOprConv,17.78344285,
heatpumpGroundSpace,ES,lifeConv,20,
heatpumpGroundSpace,ES,costExpConv,3455.053205,
heatpumpGroundSpace,ES,costOprConv,13.95179706,
resistiveHeatSpace,ES,lifeConv,30,
resistiveHeatSpace,ES,effConv,1,
resistiveHeatSpace,ES,costExpConv,341.603613,
resistiveHeatSpace,ES,costOprConv,1.200469669,
gasBoilerSpace,FI,lifeConv,23.49166564,
gasBoilerSpace,FI,effConv,1.010949994,
gasBoilerSpace,FI,costExpConv,227.8233438,
gasBoilerSpace,FI,costOprConv,9.508854592,
bioBoilerSpace,FI,lifeConv,20,
bioBoilerSpace,FI,effConv,0.889955917,
bioBoilerSpace,FI,costExpConv,339.9506447,
bioBoilerSpace,FI,costOprConv,17.07649494,
heatpumpAirSpace,FI,lifeConv,18.79333251,
heatpumpAirSpace,FI,costExpConv,888.1676587,
heatpumpAirSpace,FI,costOprConv,17.5035858,
heatpumpGroundSpace,FI,lifeConv,20,
heatpumpGroundSpace,FI,costExpConv,1789.053074,
heatpumpGroundSpace,FI,costOprConv,13.74950462,
resistiveHeatSpace,FI,lifeConv,30,
resistiveHeatSpace,FI,effConv,1,
resistiveHeatSpace,FI,costExpConv,378.7783999,
resistiveHeatSpace,FI,costOprConv,1.149428411,
gasBoilerSpace,FR,lifeConv,23.91641863,
gasBoilerSpace,FR,effConv,1.013498512,
gasBoilerSpace,FR,costExpConv,196.2958179,
gasBoilerSpace,FR,costOprConv,7.858286872,
bioBoilerSpace,FR,lifeConv,20,
bioBoilerSpace,FR,effConv,0.891709635,
bioBoilerSpace,FR,costExpConv,315.6709766,
bioBoilerSpace,FR,costOprConv,13.81585476,
heatpumpAirSpace,FR,lifeConv,19.1331349,
heatpumpAirSpace,FR,costExpConv,1410.75853,
heatpumpAirSpace,FR,costOprConv,15.97387509,
heatpumpGroundSpace,FR,lifeConv,20,
heatpumpGroundSpace,FR,costExpConv,2303.162706,
heatpumpGroundSpace,FR,costOprConv,12.14379448,
resistiveHeatSpace,FR,lifeConv,30,
resistiveHeatSpace,FR,effConv,1,
resistiveHeatSpace,FR,costExpConv,401.3726921,
resistiveHeatSpace,FR,costOprConv,0.904465464,
gasBoilerSpace,GR,lifeConv,23.10520786,
gasBoilerSpace,GR,effConv,1.008631247,
gasBoilerSpace,GR,costExpConv,245.4415962,
gasBoilerSpace,GR,costOprConv,10.40207386,
bioBoilerSpace,GR,lifeConv,20,
bioBoilerSpace,GR,effConv,0.891058855,
bioBoilerSpace,GR,costExpConv,353.6605569,
bioBoilerSpace,GR,costOprConv,19.39677684,
heatpumpAirSpace,GR,lifeConv,18.48416629,
heatpumpAirSpace,GR,costExpConv,1917.074175,
heatpumpAirSpace,GR,costOprConv,18.52565311,
heatpumpGroundSpace,GR,lifeConv,20,
heatpumpGroundSpace,GR,costExpConv,3764.087656,
heatpumpGroundSpace,GR,costOprConv,14.71439715,
resistiveHeatSpace,GR,lifeConv,30,
resistiveHeatSpace,GR,effConv,1,
resistiveHeatSpace,GR,costExpConv,339.0906458,
