technology_3,region_2,parameter,value,source
bioBoilerSpace,SI,lifeConv,20,
bioBoilerSpace,SI,effConv,0.889569458,
bioBoilerSpace,SI,costExpConv,354.9077108,
bioBoilerSpace,SI,costOprConv,19.18022184,
heatpumpAirSpace,SI,lifeConv,18.55449904,
heatpumpAirSpace,SI,costExpConv,1225.921438,
heatpumpAirSpace,SI,costOprConv,18.49507112,
heatpumpGroundSpace,SI,lifeConv,20,
heatpumpGroundSpace,SI,costExpConv,2521.636182,
heatpumpGroundSpace,SI,costOprConv,14.75265414,
resistiveHeatSpace,SI,lifeConv,30,
resistiveHeatSpace,SI,effConv,1,
resistiveHeatSpace,SI,costExpConv,360.4189349,
resistiveHeatSpace,SI,costOprConv,1.30364474,
gasBoilerSpace,SK,lifeConv,23.11579631,
gasBoilerSpace,SK,effConv,1.008694778,
gasBoilerSpace,SK,costExpConv,267.3838465,
gasBoilerSpace,SK,costOprConv,11.56679151,
bioBoilerSpace,SK,lifeConv,20,
bioBoilerSpace,SK,effConv,0.886262373,
bioBoilerSpace,SK,costExpConv,370.7049292,
bioBoilerSpace,SK,costOprConv,20.54857517,
heatpumpAirSpace,SK,lifeConv,18.49263705,
heatpumpAirSpace,SK,costExpConv,1229.096764,
heatpumpAirSpace,SK,costOprConv,19.31307709,
heatpumpGroundSpace,SK,lifeConv,20,
heatpumpGroundSpace,SK,costExpConv,2555.06851,
heatpumpGroundSpace,SK,costOprConv,15.71570902,
resistiveHeatSpace,SK,lifeConv,30,
resistiveHeatSpace,SK,effConv,1,
resistiveHeatSpace,SK,costExpConv,391.6944577,
resistiveHeatSpace,SK,costOprConv,1.423461343,
gasBoilerSpace,UK,lifeConv,22.02975784,
gasBoilerSpace,UK,effConv,1.002178547,
gasBoilerSpace,UK,costExpConv,363.775518,
gasBoilerSpace,UK,costOprConv,16.57431691,
bioBoilerSpace,UK,lifeConv,20,
bioBoilerSpace,UK,effConv,0.879216855,
bioBoilerSpace,UK,costExpConv,445.5372666,
bioBoilerSpace,UK,costOprConv,29.63424333,
heatpumpAirSpace,UK,lifeConv,17.62380627,
heatpumpAirSpace,UK,costExpConv,2223.8345,
heatpumpAirSpace,UK,costOprConv,23.87292777,
heatpumpGroundSpace,UK,lifeConv,20,
heatpumpGroundSpace,UK,costExpConv,4032.552852,
heatpumpGroundSpace,UK,costOprConv,20.57000625,
resistiveHeatSpace,UK,lifeConv,30,
resistiveHeatSpace,UK,effConv,1,
resistiveHeatSpace,UK,costExpConv,384.570954,
resistiveHeatSpace,UK,costOprConv,2.123290685,
