scenario,timestep_3,parameter,value,comment
scr1985,ini01,scrProb,0.02857142857142857,extremeLow
scr1994,ini01,scrProb,0.9714285714285714,clustering
scr1999,ini01,scrProb,0.0,none
scr2001,ini01,scrProb,0.0,none
scr2002,ini01,scrProb,0.0,none
scr2003,ini01,scrProb,0.0,none
scr2010,ini01,scrProb,0.0,none
scr1994,ini02,scrProb,0.02857142857142857,extremeHigh
scr2002,ini02,scrProb,0.9714285714285714,clustering
scr1985,ini02,scrProb,0.0,none
scr1999,ini02,scrProb,0.0,none
scr2001,ini02,scrProb,0.0,none
scr2003,ini02,scrProb,0.0,none
scr2010,ini02,scrProb,0.0,none
scr2001,ini03,scrProb,1.0,clustering
scr1985,ini03,scrProb,0.0,none
scr1994,ini03,scrProb,0.0,none
scr1999,ini03,scrProb,0.0,none
scr2002,ini03,scrProb,0.0,none
scr2003,ini03,scrProb,0.0,none
scr2010,ini03,scrProb,0.0,none
scr2010,ini04,scrProb,1.0,clustering
scr1985,ini04,scrProb,0.0,none
scr1994,ini04,scrProb,0.0,none
scr1999,ini04,scrProb,0.0,none
scr2001,ini04,scrProb,0.0,none
scr2002,ini04,scrProb,0.0,none
scr2003,ini04,scrProb,0.0,none
scr1999,ini05,scrProb,1.0,clustering
scr1985,ini05,scrProb,0.0,none
scr1994,ini05,scrProb,0.0,none
scr2001,ini05,scrProb,0.0,none
scr2002,ini05,scrProb,0.0,none
scr2003,ini05,scrProb,0.0,none
scr2010,ini05,scrProb,0.0,none
scr2003,ini06,scrProb,1.0,clustering
scr1985,ini06,scrProb,0.0,none
scr1994,ini06,scrProb,0.0,none
scr1999,ini06,scrProb,0.0,none
scr2001,ini06,scrProb,0.0,none
scr2002,ini06,scrProb,0.0,none
scr2010,ini06,scrProb,0.0,none
