carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance
electricity,,2,1,1,1,ineq
gasFuel,,2,1,1,1,ineq
gasFuel,naturalGas,2,1,1,1,ineq
gasFuel,synthGas,2,1,1,1,ineq
h2,,1,1,1,1,ineq
oil,,1,1,1,1,ineq
hardcoal,,1,1,1,1,ineq
lignite,,1,1,1,1,ineq
waste,,1,1,1,1,ineq
