technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,sources
bioConversion,,solidToH2,2020,costExpConv,1360.66,costOprConv,81.64,"acatech (2018), Optimierungsmodell REMod-D"
bioConversion,,solidToH2,2025,costExpConv,1160.3,costOprConv,69.62,
bioConversion,,solidToH2,2030,costExpConv,1038.05,costOprConv,62.28,
bioConversion,,solidToH2,2035,costExpConv,962.59,costOprConv,57.76,
bioConversion,,solidToH2,2040,costExpConv,933.98,costOprConv,56.04,
bioConversion,,solidToH2,2045,costExpConv,920.98,costOprConv,55.26,
bioConversion,,solidToH2,2050,costExpConv,903.36,costOprConv,54.2,
bioConversion,,solidToLiquid,2020,costExpConv,1284.64,costOprConv,77.08,
bioConversion,,solidToLiquid,2025,costExpConv,1134.13,costOprConv,68.05,
bioConversion,,solidToLiquid,2030,costExpConv,1012.18,costOprConv,60.73,
bioConversion,,solidToLiquid,2035,costExpConv,918.71,costOprConv,55.12,
bioConversion,,solidToLiquid,2040,costExpConv,834.81,costOprConv,50.09,
bioConversion,,solidToLiquid,2045,costExpConv,817.37,costOprConv,49.04,
bioConversion,,solidToLiquid,2050,costExpConv,782,costOprConv,46.92,
bioConversion,,rawBioToGas,2020,costExpConv,454.7,costOprConv,13.64,
bioConversion,,rawBioToGas,2025,costExpConv,352,costOprConv,10.56,
bioConversion,,rawBioToGas,2030,costExpConv,286,costOprConv,8.58,
bioConversion,,rawBioToGas,2035,costExpConv,249.3,costOprConv,7.48,
bioConversion,,rawBioToGas,2040,costExpConv,220,costOprConv,6.6,
bioConversion,,rawBioToGas,2045,costExpConv,212.7,costOprConv,6.38,
bioConversion,,rawBioToGas,2050,costExpConv,211.2,costOprConv,6.34,
bioConversion,,solidBioToGas,2020,costExpConv,1151.44,costOprConv,69.08,
bioConversion,,solidBioToGas,2025,costExpConv,979.9,costOprConv,58.8,
bioConversion,,solidBioToGas,2030,costExpConv,869.68,costOprConv,52.18,
bioConversion,,solidBioToGas,2035,costExpConv,796.17,costOprConv,47.77,
bioConversion,,solidBioToGas,2040,costExpConv,771.71,costOprConv,46.3,
bioConversion,,solidBioToGas,2045,costExpConv,759.45,costOprConv,45.57,
bioConversion,,solidBioToGas,2050,costExpConv,758.84,costOprConv,45.53,
bioConversion,,solidToH2,,lifeConv,20,,,
bioConversion,,solidToLiquid,,lifeConv,20,,,
bioConversion,,rawBioToGas,,lifeConv,25,,,
bioConversion,,solidBioToGas,,lifeConv,20,,,
bioConversion,,solidToH2,,effConv,0.48,,,
bioConversion,,solidToLiquid,,effConv,0.46,,,
bioConversion,,rawBioToGas,,effConv,0.88,,,
bioConversion,,solidBioToGas,,effConv,0.61,,,
