timestep_2,region_2,carrier_1,parameter,value,source
all,AL,solidBiomass,trdBuyUp,3759.234132,"JRC (2015), The JRC-EU-TIMES model Bioenergy potentials for EU and neighbouring countries"
all,AT,solidBiomass,trdBuyUp,39418.41582,
all,BA,solidBiomass,trdBuyUp,6393.235576,
all,BE,solidBiomass,trdBuyUp,32899.38477,
all,BG,solidBiomass,trdBuyUp,20036.77574,
all,CH,solidBiomass,trdBuyUp,27921.65277,
all,CZ,solidBiomass,trdBuyUp,32527.01712,
all,DE,solidBiomass,trdBuyUp,196313.4188,
all,DK,solidBiomass,trdBuyUp,20474.03976,
all,EE,solidBiomass,trdBuyUp,10991.49214,
all,ES,solidBiomass,trdBuyUp,73859.06923,
all,FI,solidBiomass,trdBuyUp,64289.54907,
all,FR,solidBiomass,trdBuyUp,153164.6375,
all,GR,solidBiomass,trdBuyUp,11365.05098,
all,HR,solidBiomass,trdBuyUp,7239.755759,
all,HU,solidBiomass,trdBuyUp,32875.68042,
all,IE,solidBiomass,trdBuyUp,7310.828643,
all,IT,solidBiomass,trdBuyUp,70183.38304,
all,LT,solidBiomass,trdBuyUp,15846.15351,
all,LU,solidBiomass,trdBuyUp,909.4887294,
all,LV,solidBiomass,trdBuyUp,22059.8766,
all,ME,solidBiomass,trdBuyUp,7169.838191,
all,MK,solidBiomass,trdBuyUp,4167.011276,
all,NL,solidBiomass,trdBuyUp,23604.83493,
all,NO,solidBiomass,trdBuyUp,40160.77322,
all,PL,solidBiomass,trdBuyUp,89844.7079,
all,PT,solidBiomass,trdBuyUp,25694.30099,
all,RO,solidBiomass,trdBuyUp,70301.37921,
all,RS,solidBiomass,trdBuyUp,24838.09697,
all,SE,solidBiomass,trdBuyUp,104091.0585,
all,SI,solidBiomass,trdBuyUp,10744.61675,
all,SK,solidBiomass,trdBuyUp,16753.38773,
all,UK,solidBiomass,trdBuyUp,37182.48801,
all,AL,rawBiogas,trdBuyUp,503.0877471,
all,AT,rawBiogas,trdBuyUp,1321.914161,
all,BA,rawBiogas,trdBuyUp,448.3572247,
all,BE,rawBiogas,trdBuyUp,10742.80638,
all,BG,rawBiogas,trdBuyUp,1574.902666,
all,CH,rawBiogas,trdBuyUp,1238.365136,
all,CZ,rawBiogas,trdBuyUp,11707.97141,
all,DE,rawBiogas,trdBuyUp,29337.96798,
all,DK,rawBiogas,trdBuyUp,12021.31842,
all,EE,rawBiogas,trdBuyUp,2311.868132,
all,ES,rawBiogas,trdBuyUp,30466.68754,
all,FI,rawBiogas,trdBuyUp,1113.184917,
all,FR,rawBiogas,trdBuyUp,71777.25098,
all,GR,rawBiogas,trdBuyUp,2126.402344,
all,HR,rawBiogas,trdBuyUp,903.3123517,
all,HU,rawBiogas,trdBuyUp,17686.3654,
all,IE,rawBiogas,trdBuyUp,5097.422399,
all,IT,rawBiogas,trdBuyUp,32106.36474,
all,LT,rawBiogas,trdBuyUp,4691.813627,
all,LU,rawBiogas,trdBuyUp,422.7550531,
all,LV,rawBiogas,trdBuyUp,2354.523375,
all,ME,rawBiogas,trdBuyUp,69.23311296,
all,MK,rawBiogas,trdBuyUp,218.4554855,
all,NL,rawBiogas,trdBuyUp,13561.58366,
all,NO,rawBiogas,trdBuyUp,1361.263665,
all,PL,rawBiogas,trdBuyUp,26212.28808,
all,PT,rawBiogas,trdBuyUp,6556.005405,
all,RO,rawBiogas,trdBuyUp,5865.927594,
all,RS,rawBiogas,trdBuyUp,2904.586435,
all,SE,rawBiogas,trdBuyUp,4866.723089,
all,SI,rawBiogas,trdBuyUp,413.0155143,
all,SK,rawBiogas,trdBuyUp,3445.82794,
all,UK,rawBiogas,trdBuyUp,44947.14242,
