parameter,value
expConvInf,50000
expStInInf,50000
expStOutInf,50000
expStSizeInf,50000
expExcInf,50000
capaConvInf,50000
capaStInInf,50000
capaStOutInf,50000
capaStSizeInf,50000
capaExcInf,50000
shareExpOutInf,50000
stInToConvCapaInf,50000
stOutToStInCapaInf,50000
sizeToStOutCapaInf,50000
stInToConvExpInf,50000
stOutToStInExpInf,50000
sizeToStOutExpInf,50000
emissionInf,10000
costStLvlLss,20000
