region_1,region_1,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
AL,GR,powerGrid,hvac,capaExcResi,0.25,lossExc,0.0246,costOprExc,7.82
AL,ME,powerGrid,hvac,capaExcResi,0.35,lossExc,0.0095,costOprExc,3.01
AL,MK,powerGrid,hvac,capaExcResi,0.5,lossExc,0.0075,costOprExc,2.39
AT,CH,powerGrid,hvac,capaExcResi,1.2,lossExc,0.0203,costOprExc,6.45
AT,DE,powerGrid,hvac,capaExcResi,5,lossExc,0.0236,costOprExc,7.5
AT,HU,powerGrid,hvac,capaExcResi,0.8,lossExc,0.0217,costOprExc,6.9
AT,SI,powerGrid,hvac,capaExcResi,0.95,lossExc,0.0104,costOprExc,3.31
AT,SK,powerGrid,hvac,capaExcResi,0,lossExc,0.0239,costOprExc,7.59
BA,RS,powerGrid,hvac,capaExcResi,0.6,lossExc,0.011,costOprExc,3.49
BE,DE,powerGrid,hvac,capaExcResi,1,lossExc,0.0176,costOprExc,5.61
BE,UK,powerGrid,hvdc,capaExcResi,1,lossExc,0.0042,costOprExc,2.23
BG,RO,powerGrid,hvac,capaExcResi,0.3,lossExc,0.0215,costOprExc,6.83
DE,LU,powerGrid,hvac,capaExcResi,2.3,lossExc,0.0154,costOprExc,4.91
DE,NL,powerGrid,hvac,capaExcResi,4.25,lossExc,0.0171,costOprExc,5.45
DE,NO,powerGrid,hvdc,capaExcResi,1.4,lossExc,0.0154,costOprExc,8.17
DE,SE,powerGrid,hvdc,capaExcResi,0.615,lossExc,0.0085,costOprExc,4.5
DE,UK,powerGrid,hvdc,capaExcResi,0,lossExc,0.0204,costOprExc,10.81
DK,PL,powerGrid,hvdc,capaExcResi,0,lossExc,0.0186,costOprExc,9.87
DK,NL,powerGrid,hvdc,capaExcResi,0.7,lossExc,0.0098,costOprExc,5.17
DK,NO,powerGrid,hvdc,capaExcResi,1.64,lossExc,0.0073,costOprExc,3.88
DK,UK,powerGrid,hvdc,capaExcResi,0,lossExc,0.0242,costOprExc,12.83
EE,LV,powerGrid,hvac,capaExcResi,0.9,lossExc,0.0102,costOprExc,3.25
FI,NO,powerGrid,hvac,capaExcResi,0,lossExc,0.039,costOprExc,12.39
FI,SE,powerGrid,hvdc,capaExcResi,0,lossExc,0.0091,costOprExc,4.82
FI,SE,powerGrid,hvdc,capaExcResi,1.2,lossExc,0.007,costOprExc,3.7
FR,IE,powerGrid,hvdc,capaExcResi,0,lossExc,0.0173,costOprExc,9.14
FR,UK,powerGrid,hvdc,capaExcResi,2,lossExc,0.0076,costOprExc,4.04
FR,IT,powerGrid,hvac,capaExcResi,0.6,lossExc,0.0116,costOprExc,3.68
GR,IT,powerGrid,hvdc,capaExcResi,0.5,lossExc,0.0093,costOprExc,4.93
HR,HU,powerGrid,hvac,capaExcResi,2,lossExc,0.0205,costOprExc,6.52
HR,RS,powerGrid,hvac,capaExcResi,0.6,lossExc,0.0183,costOprExc,5.83
HR,SI,powerGrid,hvac,capaExcResi,1.5,lossExc,0.0096,costOprExc,3.05
HU,RS,powerGrid,hvac,capaExcResi,0.6,lossExc,0.0172,costOprExc,5.48
HU,SI,powerGrid,hvac,capaExcResi,1.2,lossExc,0.0177,costOprExc,5.64
HU,SK,powerGrid,hvac,capaExcResi,2,lossExc,0.0085,costOprExc,2.71
IE,UK,powerGrid,hvac,capaExcResi,0.3,lossExc,0.0098,costOprExc,3.1
IE,UK,powerGrid,hvac,capaExcResi,0.5,lossExc,0.0207,costOprExc,6.57
IT,IT,powerGrid,hvdc,capaExcResi,0,lossExc,0.0131,costOprExc,6.92
