timestep_2,technology_3,region_2,region_4,parameter_1,value_1,parameter_2,value_2,comment
2040,districtHeatSpace_a,ES,01ES,shareExpOutUp,0.004756602,costExpConv,1085.511676,see techData -> districtHeatPotential
2040,districtHeatSpace_b,ES,01ES,shareExpOutUp,0.132285555,costExpConv,1670.603852,
2040,districtHeatSpace_c,ES,01ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,02ES,shareExpOutUp,0.25156676,costExpConv,1612.888548,
2040,districtHeatSpace_b,ES,02ES,shareExpOutUp,0.004954993,costExpConv,864.3996517,
2040,districtHeatSpace_c,ES,02ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,03ES,shareExpOutUp,0.015026421,costExpConv,892.9926632,
2040,districtHeatSpace_b,ES,03ES,shareExpOutUp,0.221516017,costExpConv,1651.680845,
2040,districtHeatSpace_c,ES,03ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,04ES,shareExpOutUp,0.412975019,costExpConv,1392.384109,
2040,districtHeatSpace_b,ES,04ES,shareExpOutUp,0.004689046,costExpConv,700.99799,
2040,districtHeatSpace_c,ES,04ES,shareExpOutUp,0.004175685,costExpConv,1163.888082,
2040,districtHeatSpace_a,ES,05ES,shareExpOutUp,0.336582114,costExpConv,1339.429384,
2040,districtHeatSpace_b,ES,05ES,shareExpOutUp,0.006604369,costExpConv,933.855522,
2040,districtHeatSpace_c,ES,05ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,06ES,shareExpOutUp,0.43877291,costExpConv,1275.983193,
2040,districtHeatSpace_b,ES,06ES,shareExpOutUp,0.001366385,costExpConv,734.8165486,
2040,districtHeatSpace_c,ES,06ES,shareExpOutUp,0.001783982,costExpConv,980.8727835,
2040,districtHeatSpace_a,ES,07ES,shareExpOutUp,0.492664341,costExpConv,1282.303988,
2040,districtHeatSpace_b,ES,07ES,shareExpOutUp,0.078089271,costExpConv,1421.954413,
2040,districtHeatSpace_c,ES,07ES,shareExpOutUp,0.000940894,costExpConv,865.7442346,
2040,districtHeatSpace_a,ES,08ES,shareExpOutUp,0.104220937,costExpConv,1350.926732,
2040,districtHeatSpace_b,ES,08ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,ES,08ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,09ES,shareExpOutUp,0.251978672,costExpConv,1151.725036,
2040,districtHeatSpace_b,ES,09ES,shareExpOutUp,0.005434477,costExpConv,846.4398997,
2040,districtHeatSpace_c,ES,09ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,10ES,shareExpOutUp,0.184371371,costExpConv,1284.759386,
2040,districtHeatSpace_b,ES,10ES,shareExpOutUp,0.184041084,costExpConv,818.9657399,
2040,districtHeatSpace_c,ES,10ES,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,ES,11ES,shareExpOutUp,0.285349442,costExpConv,1244.854629,
2040,districtHeatSpace_b,ES,11ES,shareExpOutUp,0.005355984,costExpConv,894.8266276,
2040,districtHeatSpace_c,ES,11ES,shareExpOutUp,0.003569835,costExpConv,475.15747,
2040,districtHeatSpace_a,PT,12PT,shareExpOutUp,0.01934317,costExpConv,736.9809707,
2040,districtHeatSpace_b,PT,12PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,PT,12PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,PT,13PT,shareExpOutUp,0.112505679,costExpConv,2431.785527,
2040,districtHeatSpace_b,PT,13PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,PT,13PT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,14FR,shareExpOutUp,0.138473142,costExpConv,1386.549696,
2040,districtHeatSpace_b,FR,14FR,shareExpOutUp,0.015096175,costExpConv,1036.440829,
2040,districtHeatSpace_c,FR,14FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,15FR,shareExpOutUp,0.117050674,costExpConv,1371.629997,
2040,districtHeatSpace_b,FR,15FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,FR,15FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,16FR,shareExpOutUp,0.243842809,costExpConv,1300.519466,
2040,districtHeatSpace_b,FR,16FR,shareExpOutUp,0.007222662,costExpConv,735.2233255,
2040,districtHeatSpace_c,FR,16FR,shareExpOutUp,0.017701029,costExpConv,1002.515128,
2040,districtHeatSpace_a,FR,17FR,shareExpOutUp,0.02069797,costExpConv,992.337276,
2040,districtHeatSpace_b,FR,17FR,shareExpOutUp,0.088385457,costExpConv,1347.94249,
2040,districtHeatSpace_c,FR,17FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,18FR,shareExpOutUp,0.12279207,costExpConv,1459.593845,
2040,districtHeatSpace_b,FR,18FR,shareExpOutUp,0.00957573,costExpConv,1003.966947,
2040,districtHeatSpace_c,FR,18FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,19FR,shareExpOutUp,0.083394655,costExpConv,1414.014149,
2040,districtHeatSpace_b,FR,19FR,shareExpOutUp,0.011112692,costExpConv,959.6351909,
2040,districtHeatSpace_c,FR,19FR,shareExpOutUp,0.233184777,costExpConv,1530.11979,
2040,districtHeatSpace_a,FR,20FR,shareExpOutUp,0.152875577,costExpConv,1810.39416,
2040,districtHeatSpace_b,FR,20FR,shareExpOutUp,0.016694361,costExpConv,1229.163026,
2040,districtHeatSpace_c,FR,20FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,21FR,shareExpOutUp,0.013849375,costExpConv,967.0185446,
2040,districtHeatSpace_b,FR,21FR,shareExpOutUp,0.139578357,costExpConv,1438.04881,
2040,districtHeatSpace_c,FR,21FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,22FR,shareExpOutUp,0.118438614,costExpConv,1426.00454,
2040,districtHeatSpace_b,FR,22FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,FR,22FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,23FR,shareExpOutUp,0.029700981,costExpConv,1514.239422,
2040,districtHeatSpace_b,FR,23FR,shareExpOutUp,0.000690623,costExpConv,745.031906,
2040,districtHeatSpace_c,FR,23FR,shareExpOutUp,0.658607262,costExpConv,1245.897847,
2040,districtHeatSpace_a,FR,24FR,shareExpOutUp,0.015050568,costExpConv,1061.411726,
2040,districtHeatSpace_b,FR,24FR,shareExpOutUp,0.141356977,costExpConv,1435.22727,
2040,districtHeatSpace_c,FR,24FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,25FR,shareExpOutUp,0.023295305,costExpConv,1093.196011,
2040,districtHeatSpace_b,FR,25FR,shareExpOutUp,0.18810257,costExpConv,1619.110144,
2040,districtHeatSpace_c,FR,25FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,FR,26FR,shareExpOutUp,0.031700028,costExpConv,1140.032448,
2040,districtHeatSpace_b,FR,26FR,shareExpOutUp,0.233920478,costExpConv,1526.413243,
2040,districtHeatSpace_c,FR,26FR,shareExpOutUp,0.005877432,costExpConv,685.7300395,
2040,districtHeatSpace_a,FR,27FR,shareExpOutUp,0.198045209,costExpConv,1595.981617,
2040,districtHeatSpace_b,FR,27FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,FR,27FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,BE,28BE,shareExpOutUp,0.182241072,costExpConv,1337.447804,
