technology_3,parameter,value,source
pitThermalStorage,effStIn,0.8,"see techData -> storageData, discharge rates also from Danish Energy Agency (2021), Technology Data for Energy Storage"
largeWaterTank,effStIn,0.98,
pitThermalStorage,costExpStSize,0.505555556,
pitThermalStorage,costOprStSize,0.003,
pitThermalStorage,avaStIn,0.980769231,
pitThermalStorage,avaStOut,0.980769231,
pitThermalStorage,avaStSize,0.980769231,
pitThermalStorage,lifeStIn,25,
pitThermalStorage,lifeStOut,25,
pitThermalStorage,lifeStSize,25,
pitThermalStorage,stOutToStInCapaFix,1,
pitThermalStorage,sizeToStOutCapaFix,150,
largeWaterTank,costExpStSize,2.964780114,
largeWaterTank,costOprStSize,0.0086,
largeWaterTank,avaStIn,1,
largeWaterTank,avaStOut,1,
largeWaterTank,avaStSize,1,
largeWaterTank,lifeStIn,40,
largeWaterTank,lifeStOut,40,
largeWaterTank,lifeStSize,40,
largeWaterTank,stOutToStInCapaFix,1,
largeWaterTank,sizeToStOutCapaFix,60.34482759,
largeWaterTank,stDis,0.00008,
pitThermalStorage,stDis,0.00005,
