region_1,region_2,region_3,region_4
EU,ES,es,01ES
EU,ES,es,02ES
EU,ES,es,03ES
EU,ES,es,04ES
EU,ES,es,05ES
EU,ES,es,06ES
EU,ES,es,07ES
EU,ES,es,08ES
EU,ES,es,09ES
EU,ES,es,10ES
EU,ES,es,11ES
EU,FR,fr,14FR
EU,FR,fr,15FR
EU,FR,fr,16FR
EU,FR,fr,17FR
EU,FR,fr,18FR
EU,FR,fr,19FR
EU,FR,fr,20FR
EU,FR,fr,21FR
EU,FR,fr,22FR
EU,FR,fr,23FR
EU,FR,fr,24FR
EU,FR,fr,25FR
EU,FR,fr,26FR
EU,FR,fr,27FR
EU,DE,de,31DE
EU,DE,de,32DE
EU,DE,de,33DE
EU,DE,de,34DE
EU,DE,de,35DE
EU,DE,de,36DE
EU,DE,de,37DE
nonEU,CH,ch,47CH
nonEU,CH,ch,48CH
EU,AT,at,49AT
EU,AT,at,50AT
EU,AT,at,51AT
EU,FR,fr_co,99FR
