timestep_5,region_4,carrier_1,parameter,value
h0001,01ES,electricity,dem,1.25791530354062
h0002,01ES,electricity,dem,1.20736846248072
h0003,01ES,electricity,dem,1.17644966185481
h0004,01ES,electricity,dem,1.10904093032471
h0005,01ES,electricity,dem,1.04396963195957
h0006,01ES,electricity,dem,0.986504825565094
h0007,01ES,electricity,dem,1.14781915213205
h0008,01ES,electricity,dem,1.43501458668127
h0009,01ES,electricity,dem,1.7698395302928
h0010,01ES,electricity,dem,1.95663163271869
h0011,01ES,electricity,dem,2.04335880813509
h0012,01ES,electricity,dem,2.05280051993379
h0013,01ES,electricity,dem,2.03391134301324
h0014,01ES,electricity,dem,2.0054696847652
h0015,01ES,electricity,dem,1.85420298264125
h0016,01ES,electricity,dem,1.68185574851683
h0017,01ES,electricity,dem,1.62799419168982
h0018,01ES,electricity,dem,1.72801231128389
h0019,01ES,electricity,dem,1.69724340871451
h0020,01ES,electricity,dem,1.61462046346086
h0021,01ES,electricity,dem,1.7087440695052
h0022,01ES,electricity,dem,1.9375475803116
h0023,01ES,electricity,dem,2.01609655434913
h0024,01ES,electricity,dem,1.83459842255244
h0025,01ES,electricity,dem,1.6473224104108
h0026,01ES,electricity,dem,1.49522919548159
h0027,01ES,electricity,dem,1.37503734024364
h0028,01ES,electricity,dem,1.27183360293945
h0029,01ES,electricity,dem,1.14047735913601
h0030,01ES,electricity,dem,1.0520158371302
h0031,01ES,electricity,dem,1.14425271228174
h0032,01ES,electricity,dem,1.40107420631909
h0033,01ES,electricity,dem,1.6811671365441
h0034,01ES,electricity,dem,1.85178974152521
h0035,01ES,electricity,dem,1.96021291404858
h0036,01ES,electricity,dem,2.02089050837323
h0037,01ES,electricity,dem,2.0477329933109
h0038,01ES,electricity,dem,2.03855011138462
h0039,01ES,electricity,dem,1.82092782528645
h0040,01ES,electricity,dem,1.55234451152051
h0041,01ES,electricity,dem,1.4697704624943
h0042,01ES,electricity,dem,1.61999733244829
h0043,01ES,electricity,dem,1.60317313152298
h0044,01ES,electricity,dem,1.407665347503
h0045,01ES,electricity,dem,1.41959869338799
h0046,01ES,electricity,dem,1.67988838982681
h0047,01ES,electricity,dem,1.84348427500056
h0048,01ES,electricity,dem,1.74461188043794
h0049,01ES,electricity,dem,1.49656142654343
h0050,01ES,electricity,dem,1.27136402401027
h0051,01ES,electricity,dem,1.15207926451506
h0052,01ES,electricity,dem,1.14212428935321
h0053,01ES,electricity,dem,1.10335853005709
h0054,01ES,electricity,dem,1.00365564127262
h0055,01ES,electricity,dem,1.08849557518806
h0056,01ES,electricity,dem,1.31833940362058
h0057,01ES,electricity,dem,1.56476837034249
h0058,01ES,electricity,dem,1.71116242086229
h0059,01ES,electricity,dem,1.812890681195
h0060,01ES,electricity,dem,1.8833331203555
h0061,01ES,electricity,dem,1.92021488767149
h0062,01ES,electricity,dem,1.92407230269921
h0063,01ES,electricity,dem,1.80697653440027
h0064,01ES,electricity,dem,1.64967786060309
h0065,01ES,electricity,dem,1.6044288474575
h0066,01ES,electricity,dem,1.68074051660062
h0067,01ES,electricity,dem,1.58244901264545
h0068,01ES,electricity,dem,1.38386364151604
h0069,01ES,electricity,dem,1.38627872914214
h0070,01ES,electricity,dem,1.63300395949306
h0071,01ES,electricity,dem,1.8120036280689
h0072,01ES,electricity,dem,1.73272821981544
h0073,01ES,electricity,dem,1.59214170034347
h0074,01ES,electricity,dem,1.44301849322744
h0075,01ES,electricity,dem,1.33377919498228
h0076,01ES,electricity,dem,1.24250008764712
h0077,01ES,electricity,dem,1.11549077506745
h0078,01ES,electricity,dem,1.01151722547527
h0079,01ES,electricity,dem,1.08090071463637
h0080,01ES,electricity,dem,1.29641820838834
h0081,01ES,electricity,dem,1.54688519441545
h0082,01ES,electricity,dem,1.70193771727731
h0083,01ES,electricity,dem,1.82449981852661
h0084,01ES,electricity,dem,1.8949090895206
h0085,01ES,electricity,dem,1.92777549720977
h0086,01ES,electricity,dem,1.93201448025409
h0087,01ES,electricity,dem,1.80159935859585
h0088,01ES,electricity,dem,1.63474079615647
h0089,01ES,electricity,dem,1.56866434091394
h0090,01ES,electricity,dem,1.64112167624962
h0091,01ES,electricity,dem,1.53660982641547
h0092,01ES,electricity,dem,1.33963109293946
h0093,01ES,electricity,dem,1.35128130083864
h0094,01ES,electricity,dem,1.59217708441633
h0095,01ES,electricity,dem,1.7872804406592
h0096,01ES,electricity,dem,1.72921431574857
h0097,01ES,electricity,dem,1.61484284685885
h0098,01ES,electricity,dem,1.46730075955247
h0099,01ES,electricity,dem,1.34684261074634
h0100,01ES,electricity,dem,1.25710594633055
h0101,01ES,electricity,dem,1.11806005319814
h0102,01ES,electricity,dem,0.994975083434405
h0103,01ES,electricity,dem,1.03887143253413
h0104,01ES,electricity,dem,1.22493771505801
h0105,01ES,electricity,dem,1.41888197992921
h0106,01ES,electricity,dem,1.54820851784895
h0107,01ES,electricity,dem,1.65376042879015
h0108,01ES,electricity,dem,1.74738772264624
h0109,01ES,electricity,dem,1.77192584318078
h0110,01ES,electricity,dem,1.7755271655434
h0111,01ES,electricity,dem,1.61779460391693
h0112,01ES,electricity,dem,1.43840572582513
h0113,01ES,electricity,dem,1.33749859929379
h0114,01ES,electricity,dem,1.39891307898264
h0115,01ES,electricity,dem,1.29404816705697
h0116,01ES,electricity,dem,1.12008065185287
h0117,01ES,electricity,dem,1.19842786184274
h0118,01ES,electricity,dem,1.53443227476813
h0119,01ES,electricity,dem,1.76714059635853
h0120,01ES,electricity,dem,1.71571130496648
h0121,01ES,electricity,dem,1.56140027039974
h0122,01ES,electricity,dem,1.41234378647323
h0123,01ES,electricity,dem,1.30477783272662
h0124,01ES,electricity,dem,1.22430851332419
h0125,01ES,electricity,dem,1.10261864243098
h0126,01ES,electricity,dem,0.993456316097565
h0127,01ES,electricity,dem,1.07666182931431
h0128,01ES,electricity,dem,1.32265392033793
h0129,01ES,electricity,dem,1.58170053914741
