scenario_1,parameter,value
s2016,scrProp,0.0512820512820513
s2014,scrProp,0.128205128205128
s2009,scrProp,0.153846153846154
s2018,scrProp,0.153846153846154
s1989,scrProp,0.0769230769230769
s2013,scrProp,0.128205128205128
s1994,scrProp,0.102564102564103
s1999,scrProp,0.128205128205128
s1980,scrProp,0.0256410256410256
s2006,scrProp,0.0512820512820513
