region_4,timestep_4,value,parameter,carrier_1
02ES,d097,0.9726854117521574,mustOut,processHeat_medium
02ES,d098,0.9599224865930106,mustOut,processHeat_medium
02ES,d099,0.9622041160599414,mustOut,processHeat_medium
02ES,d100,0.974545227595172,mustOut,processHeat_medium
02ES,d101,0.9582161316526102,mustOut,processHeat_medium
02ES,d102,0.9591498211274635,mustOut,processHeat_medium
02ES,d103,0.9610995886766887,mustOut,processHeat_medium
02ES,d104,0.971744424314314,mustOut,processHeat_medium
02ES,d105,0.975282420402967,mustOut,processHeat_medium
02ES,d106,0.975154476741333,mustOut,processHeat_medium
02ES,d107,0.9746824058395305,mustOut,processHeat_medium
02ES,d108,0.9668141583990746,mustOut,processHeat_medium
02ES,d109,0.9648221469162005,mustOut,processHeat_medium
02ES,d110,0.975364776767492,mustOut,processHeat_medium
02ES,d111,0.9725542555180103,mustOut,processHeat_medium
02ES,d112,0.9770869901332541,mustOut,processHeat_medium
02ES,d113,0.9724468384732367,mustOut,processHeat_medium
02ES,d114,0.973949050408919,mustOut,processHeat_medium
02ES,d115,0.9565704678116921,mustOut,processHeat_medium
02ES,d116,0.9592937148546147,mustOut,processHeat_medium
02ES,d117,0.971614073205122,mustOut,processHeat_medium
02ES,d118,0.9737094866027292,mustOut,processHeat_medium
02ES,d119,0.9748220657146854,mustOut,processHeat_medium
02ES,d120,0.9737033833037761,mustOut,processHeat_medium
02ES,d121,0.9669455422772444,mustOut,processHeat_medium
02ES,d122,0.9539627925027313,mustOut,processHeat_medium
02ES,d123,0.9589840852209667,mustOut,processHeat_medium
02ES,d124,0.9731737635844789,mustOut,processHeat_medium
02ES,d125,0.9625850997671629,mustOut,processHeat_medium
02ES,d126,0.9732477320529446,mustOut,processHeat_medium
02ES,d127,0.9725850759937202,mustOut,processHeat_medium
02ES,d128,0.9746958562504157,mustOut,processHeat_medium
02ES,d129,0.9696388782629887,mustOut,processHeat_medium
02ES,d130,0.966693748725523,mustOut,processHeat_medium
