timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.399715459829425,noInter_all_total32_ext8_noFlex
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.098484965045111,noInter_all_total32_ext8_noFlex
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.999262136030153,noInter_all_total32_ext8_noFlex
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.899575361446855,noInter_all_total32_ext8_noFlex
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.009622422327151,noInter_all_total32_ext8_noFlex
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,3.91897686618977,noInter_all_total32_ext8_noFlex
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.993518369810271,noInter_all_total32_ext8_noFlex
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.9998636248829715,noInter_all_total32_ext8_noFlex
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.499644926419521,noInter_all_total32_ext8_noFlex
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.99418136508306,noInter_all_total32_ext8_noFlex
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.7868531413473263,noInter_all_total32_ext8_noFlex
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3995592294980743,noInter_all_total32_ext8_noFlex
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199841328722741,noInter_all_total32_ext8_noFlex
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9981754756234251,noInter_all_total32_ext8_noFlex
