region_1,technology_3,parameter_1,value_1,parameter_2,value_2
AT,reservoir,capaStOutResi,2.722,capaStSizeResi,1960.38
BG,reservoir,capaStOutResi,1.904,capaStSizeResi,5.41
CH,reservoir,capaStOutResi,8.152,capaStSizeResi,9218.4
ES,reservoir,capaStOutResi,10.969,capaStSizeResi,4221.09
FR,reservoir,capaStOutResi,8.434,capaStSizeResi,6694.34
IT,reservoir,capaStOutResi,14.428,capaStSizeResi,8729
ME,reservoir,capaStOutResi,1.002,capaStSizeResi,868.38
NO,reservoir,capaStOutResi,34.185,capaStSizeResi,133066.84
PT,reservoir,capaStOutResi,3.762,capaStSizeResi,8541.42
RO,reservoir,capaStOutResi,2.371,capaStSizeResi,50.47
SE,reservoir,capaStOutResi,16.399,capaStSizeResi,32600.63
