region_1,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
AT,pumpedStorage,capaStInResi,6.056,capaStSizeResi,1455.849,capaStOutResi,6.056
BA,pumpedStorage,capaStInResi,0.44,capaStSizeResi,3,capaStOutResi,0.44
BE,pumpedStorage,capaStInResi,1.908,capaStSizeResi,8.752,capaStOutResi,1.908
BG,pumpedStorage,capaStInResi,0.933,capaStSizeResi,11.949,capaStOutResi,0.933
CH,pumpedStorage,capaStInResi,6.722,capaStSizeResi,802.737,capaStOutResi,6.722
CZ,pumpedStorage,capaStInResi,1.145,capaStSizeResi,7.093,capaStOutResi,1.145
DE,pumpedStorage,capaStInResi,10.23,capaStSizeResi,79.61504491,capaStOutResi,10.23
ES,pumpedStorage,capaStInResi,10.15,capaStSizeResi,2010.335,capaStOutResi,10.15
FI,pumpedStorage,capaStInResi,0.2,capaStSizeResi,2,capaStOutResi,0.2
FR,pumpedStorage,capaStInResi,5.499,capaStSizeResi,366.105,capaStOutResi,5.499
GR,pumpedStorage,capaStInResi,1.629,capaStSizeResi,26.943,capaStOutResi,1.629
HR,pumpedStorage,capaStInResi,0.9,capaStSizeResi,49.147,capaStOutResi,0.9
IE,pumpedStorage,capaStInResi,0.592,capaStSizeResi,5.891,capaStOutResi,0.592
IT,pumpedStorage,capaStInResi,5.731,capaStSizeResi,35.612,capaStOutResi,5.731
LT,pumpedStorage,capaStInResi,1.125,capaStSizeResi,61.726,capaStOutResi,1.125
LU,pumpedStorage,capaStInResi,1.026,capaStSizeResi,6.879,capaStOutResi,1.026
MK,pumpedStorage,capaStInResi,0.347,capaStSizeResi,3.47,capaStOutResi,0.347
NL,pumpedStorage,capaStInResi,2.5,capaStSizeResi,25,capaStOutResi,2.5
NO,pumpedStorage,capaStInResi,1.103,capaStSizeResi,8.376463196,capaStOutResi,1.103
PL,pumpedStorage,capaStInResi,2.292,capaStSizeResi,61.197,capaStOutResi,2.292
PT,pumpedStorage,capaStInResi,4.12,capaStSizeResi,1817.203,capaStOutResi,4.12
RO,pumpedStorage,capaStInResi,0.97,capaStSizeResi,12,capaStOutResi,0.97
RS,pumpedStorage,capaStInResi,0.614,capaStSizeResi,413.182,capaStOutResi,0.614
SI,pumpedStorage,capaStInResi,0.6,capaStSizeResi,3,capaStOutResi,0.6
SK,pumpedStorage,capaStInResi,1.486,capaStSizeResi,145.536,capaStOutResi,1.486
UK,pumpedStorage,capaStInResi,6.797,capaStSizeResi,68.87686658,capaStOutResi,6.797
