timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.399814905080801,noInter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.0996858626790242,noInter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.999751931144271,noInter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.899870635407802,noInter_all_total32_ext8_noFossil
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.987209677785825,noInter_all_total32_ext8_noFossil
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,4.097204080553816,noInter_all_total32_ext8_noFossil
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.9981920334733383,noInter_all_total32_ext8_noFossil
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.999563079049061,noInter_all_total32_ext8_noFossil
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.49984222362285,noInter_all_total32_ext8_noFossil
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.998673541438516,noInter_all_total32_ext8_noFossil
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.8024712314291456,noInter_all_total32_ext8_noFossil
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3999065004448603,noInter_all_total32_ext8_noFossil
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199844559579061,noInter_all_total32_ext8_noFossil
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9994848242279518,noInter_all_total32_ext8_noFossil
none,30th < 2040,IT_ < IT,SouthEast < ME,none,powerGrid < hvdc,none,no,expExc,1.5995315913518187,noInter_all_total32_ext8_noFossil
none,30th < 2040,Balt < LT,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.9475817310493941,noInter_all_total32_ext8_noFossil
none,30th < 2040,Benelux < NL,Scan < NO,none,powerGrid < hvdc,none,no,expExc,9.99948231866765,noInter_all_total32_ext8_noFossil
none,30th < 2040,Benelux < NL,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999765424954081,noInter_all_total32_ext8_noFossil
none,30th < 2040,Scan < NO,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.99968234641626,noInter_all_total32_ext8_noFossil
none,30th < 2040,East < PL,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.999549498748114,noInter_all_total32_ext8_noFossil
none,30th < 2040,Balt < EE,Balt < LV,none,h2Grid,none,yes,expExc,0.001990609222391688,noInter_all_total32_ext8_noFossil
none,30th < 2040,Balt < LT,Balt < LV,none,h2Grid,none,yes,expExc,0.005902420623924824,noInter_all_total32_ext8_noFossil
