timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
none,Balt < EE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4403560294717908,noInter_all_total32_ext8_noFossil
none,Balt < LT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.46261327201848446,noInter_all_total32_ext8_noFossil
none,Balt < LV,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4490567096054486,noInter_all_total32_ext8_noFossil
none,Benelux < BE,none,none,battery < lithiumBattery,none,none,costOprStSize,1.124787281474359,noInter_all_total32_ext8_noFossil
none,Benelux < LU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.8375212406259781,noInter_all_total32_ext8_noFossil
none,Benelux < NL,none,none,battery < lithiumBattery,none,none,costOprStSize,1.0207272783713568,noInter_all_total32_ext8_noFossil
none,CH_ < CH,none,none,battery < lithiumBattery,none,none,costOprStSize,1.40213223369057,noInter_all_total32_ext8_noFossil
none,DE_ < DE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.8527576607559184,noInter_all_total32_ext8_noFossil
none,East < AT,none,none,battery < lithiumBattery,none,none,costOprStSize,1.052252435774323,noInter_all_total32_ext8_noFossil
none,East < CZ,none,none,battery < lithiumBattery,none,none,costOprStSize,1.071209109627829,noInter_all_total32_ext8_noFossil
none,East < HR,none,none,battery < lithiumBattery,none,none,costOprStSize,1.1786999676750214,noInter_all_total32_ext8_noFossil
none,East < HU,none,none,battery < lithiumBattery,none,none,costOprStSize,1.632890989184504,noInter_all_total32_ext8_noFossil
none,East < PL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.854854697407601,noInter_all_total32_ext8_noFossil
none,East < SI,none,none,battery < lithiumBattery,none,none,costOprStSize,1.1590295486645739,noInter_all_total32_ext8_noFossil
none,East < SK,none,none,battery < lithiumBattery,none,none,costOprStSize,1.3016516945296435,noInter_all_total32_ext8_noFossil
none,FR_ < FR,none,none,battery < lithiumBattery,none,none,costOprStSize,1.2720821980794155,noInter_all_total32_ext8_noFossil
none,IT_ < IT,none,none,battery < lithiumBattery,none,none,costOprStSize,1.594209063374956,noInter_all_total32_ext8_noFossil
none,Iberia < ES,none,none,battery < lithiumBattery,none,none,costOprStSize,1.2405250377699761,noInter_all_total32_ext8_noFossil
none,Iberia < PT,none,none,battery < lithiumBattery,none,none,costOprStSize,1.104069572897389,noInter_all_total32_ext8_noFossil
none,Scan < DK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.7627199779611591,noInter_all_total32_ext8_noFossil
none,Scan < FI,none,none,battery < lithiumBattery,none,none,costOprStSize,0.36689210433605307,noInter_all_total32_ext8_noFossil
none,Scan < NO,none,none,battery < lithiumBattery,none,none,costOprStSize,0.34740697525405567,noInter_all_total32_ext8_noFossil
none,Scan < SE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3497407949139225,noInter_all_total32_ext8_noFossil
none,SouthEast < AL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.8919521694751313,noInter_all_total32_ext8_noFossil
none,SouthEast < BA,none,none,battery < lithiumBattery,none,none,costOprStSize,0.9047921325543977,noInter_all_total32_ext8_noFossil
none,SouthEast < BG,none,none,battery < lithiumBattery,none,none,costOprStSize,0.9920546518270059,noInter_all_total32_ext8_noFossil
none,SouthEast < GR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.9566761131923383,noInter_all_total32_ext8_noFossil
