timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; ocgtH2Chp,gen; offshore_b,gen; pvOpenspace_b,gen; onshore_c,gen; pvResi_a,gen; ocgtGasChp,gen; onshore_b,gen; ocgtH2,gen; pvInd_a,gen; runOfRiver,gen; nuclearPowerFlexChp_HTR,gen; onshore_a,stExtOut; reservoir,gen; pvOpenspace_c,gen; pvOpenspace_a,stExtOut; pumpedStorage,gen; pvInd_b,gen; nuclearPowerFlexChp_SFR,gen; offshore_a,gen; gasEngineDh,gen; pvResi_b,gen; bioGasEngineDh,import,demand,use; heatpumpGroundSpace,use; bevPsngRoadPub,use; heatpumpPro,use; heatpumpAirSpace,use; directAirCapture,use; eBoilerProLow,stExtIn; lithiumBattery,use; oberFrtRoadHeavy,use; alkElectrolysis,use; eFrtRail,use; bevFrtRoadLight,use; liquifaction,use; eBoilerDh,use; eBoilerProHigh,use; pemElectrolysis,use; bevFrtRoadHeavy,use; resistiveHeatSpace,use; eBoilerProMed,stExtIn; pumpedStorage,use; ePsngRail,use; heatpumpAirDh,use; bevPsngRoadPrvt,export
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < EE < ee,98.02782560412336,,,,,,28.355500852831334,,,,,,,,,,,,,,,,186.8713225795898,-56.48387365827344,,,-1.9385337138685799,,,,,-1.910144792939884,,-0.2794502447845562,,,,,,,,-11.38990288196924,,-0.054266885591210054,-0.6367824915035488,,-240.5625323104869
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < LT < lt,0.0014096989678270277,,,,,,20.705502177183924,,,3.8719218019438135,,,,,,55.55333558524094,,12.557051452008855,,,,,228.50210467286598,-91.12378910163282,,,-4.664247635693519,,,,,,,-7.6269177865448405,,,,,,-10.775641806385126,,-0.0024132551712872903,,-0.05703990581934189,-7.795738645137566,,-199.1466680456468
30th < 2040,30th < 2040 < d001 < hh0001 < h0001,EU < LV < lv,8.894972375249607,,,,,,,,,15.282627358906897,,57.158736225145375,,,,,,0.0018410311314414484,,,,,238.10927939059775,-48.45880778554368,,,-5.489909738745558,,,,,,,-3.181860407941135,,,,,,-3.0521886849067403,,-24.64052605651378,,-0.09674296721453672,-3.6704954852206413,,-230.85729543686472
30th < 2040,30th < 2040 < d001 < hh0005 < h0020,EU < EE < ee,34.70244198965336,,,,,,257.58664352120473,,,,,,,,,,,,,,,,23.94891250362283,-100.61762275378369,,,-2.183303412222714,,,,,-5.022880832095327,,-0.7348371093336639,,,,,,,,-12.829244797915146,,-0.1426991819997478,-7.236776488720368,,-187.47109595126042
30th < 2040,30th < 2040 < d001 < hh0005 < h0020,EU < LV < lv,0.01769340387193494,,,,,,,,,42.79573808691726,,98.03009589001108,,,,,,0.001559379626052354,,,,,30.433246284742236,-86.3221610890653,,,-6.084317464740686,,,,,,,-8.366960301921743,,,,,,-8.025977977177773,,-27.16683563083411,,-0.25439348758165903,-10.860963510352125,,-24.19608864739858
30th < 2040,30th < 2040 < d001 < hh0006 < h0021,EU < EE < ee,98.02756228401199,,,,,,167.92899533343237,,,,,,,,,,,,,,,,27.51541470435888,-94.05236480192923,,,-2.08352161134167,,,,,-5.355992810156025,,-0.7835707048986673,,,,,,,,-12.241894394696068,,-0.15216283610036677,-7.23676052433378,,-171.56626508453647
30th < 2040,30th < 2040 < d001 < hh0006 < h0021,EU < LT < lt,0.0012009251279046149,,,,,,24.199063310768267,,,8.167118851723224,,,,,,55.55301059396648,,11.655666297900344,,,,,194.71306335082505,-151.73194222782422,,,-5.0814164127383945,,,,,,,-21.385665096892417,,,,,,-30.21459957021792,,-0.0026152372623136225,,-0.15993830760346278,-18.835721248777144,,-66.87807120148675
30th < 2040,30th < 2040 < d001 < hh0006 < h0021,EU < LV < lv,8.89483788737308,,,,,,,,,42.375104604329785,,51.5032456434497,,,,,,0.0016473031554440603,,,,,66.19744088474937,-80.68967605313887,,,-5.821681865648813,,,,,-0.0010149177183730131,,-8.9218479828556,,,,,,-8.558252082262205,,-26.05043891533885,,-0.2712645861975375,-10.86094815262485,,-27.79758389979939
30th < 2040,30th < 2040 < d002 < hh0011 < h0043,EU < IT < it_cs,135.2325791824816,,11.29672462722603,93.24455487444114,,,,0.012291631221622579,,39.70472668068145,,40.14044834950055,,41.021591704291474,50.09114359224423,,,,,,,,183.02845571042508,-536.4983600848625,,,-22.81403846331433,,,,,,,-0.29492318425032765,,,,-13.197170692937481,,-5.07133983837772,,,,-2.5989537829523988,,,-13.299220615082104
30th < 2040,30th < 2040 < d002 < hh0011 < h0043,EU < IT < it_s,0.03903476799211159,,39.08056741491469,,,,56.40324491599795,0.026135799625847632,,12.735470212504493,,,,116.26535980276371,,,,,,,,,141.22717923109374,-221.33909626086702,,,-8.678781566732496,,,,,,,-0.11289529506613324,,,,-5.0583574360466494,,-1.9413381626941992,,,,-1.3691808811928674,,,-127.27861122997132
