i,low,best,gap,solCur,time,case
1,20991.47308980809,1.9493162079731193e6,0.9892313658482146,1.9493162079731193e6,0.08333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
2,21702.61718407026,1.7833737886341682e6,0.9878305841869014,1.7833737886341682e6,0.08333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
3,24589.213993366655,1.471465768141413e6,0.9832893061287964,1.471465768141413e6,0.08333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
4,39528.30990236306,1.2067579805978986e6,0.9672442109040137,1.2067579805978986e6,0.1,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
5,67961.53893289047,983695.9377057245,0.9309120467739277,983695.9377057245,0.1,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
6,74187.18246966948,784569.5579929657,0.9054421858280478,784569.5579929657,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
7,74597.41953307921,641860.4883439394,0.8837793868173011,641860.4883439394,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
8,77354.61544993873,521515.1035053,0.8516732978009474,521515.1035053,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
9,117345.84125850139,453676.23954316124,0.7413445293571794,453676.23954316124,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
10,117502.58676007696,400522.47653696337,0.7066267347190117,400522.47653696337,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
11,119449.1309916466,311649.3524299017,0.6167194635242699,311649.3524299017,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
12,119449.13096862126,310370.7526527707,0.6151405055158153,310370.7526527707,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
13,120674.95292257448,310370.7526527707,0.6111909647054266,360633.9731251046,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
14,121432.67325952889,252412.277134399,0.518911383241192,252412.277134399,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
15,121666.34340132549,252412.277134399,0.5179856353162122,403327.76019462163,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
16,121801.93971925013,252412.277134399,0.5174484335625414,403204.91647206433,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
17,121812.42172463663,252412.277134399,0.5174069062426128,380419.931241965,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
18,121987.10768431421,252412.277134399,0.5167148402240309,359391.3304598399,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
19,122790.28917578691,252412.277134399,0.513532817936561,315554.4001668199,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
20,123206.32283911835,252412.277134399,0.5118845872401201,289238.29386477504,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
21,124522.44282336785,252412.277134399,0.506670419374788,316754.7222744371,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
22,125045.09062114616,244586.26381765434,0.4887485148619358,244586.26381765434,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
23,125140.66956262525,244586.26381765434,0.48835773681910033,416471.9974098745,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
24,125260.09807663897,244586.26381765434,0.48786944891548056,404676.8434510324,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
25,126156.16243470134,244586.26381765434,0.4842058565939984,305800.4699238577,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
26,126319.67931411717,244586.26381765434,0.48353731177523573,299947.44665026036,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI_noBuy
