i,low,best,gap,solCur,time,case
1,6511.406075396123,1.446323200569116e6,0.9954979591886282,1.446323200569116e6,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
2,7451.212056653497,1.024138123904737e6,0.9927244071060999,1.024138123904737e6,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
3,9053.630698648507,557682.0607568137,0.9837656052870661,557682.0607568137,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
4,14420.495872545886,288133.00464185426,0.9499519470514307,288133.00464185426,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
5,16806.91033288427,89061.07256466846,0.81128780679482,89061.07256466846,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
6,20363.1336016675,75733.01279722326,0.7311194570300508,75733.01279722326,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
7,22254.149589938286,75733.01279722326,0.7061499500947593,89646.83876768709,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
8,25587.032710669093,68109.29687932106,0.6243239339850288,68109.29687932106,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
9,27529.07250365111,64615.67067545187,0.5739567164454167,64615.67067545187,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
10,28225.178478922964,64615.67067545187,0.5631836954739528,64886.37459147636,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
11,29309.863317096606,64615.67067545187,0.5463969806285441,65155.709554815956,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
12,29713.94962858073,64615.67067545187,0.540143291589027,64726.81271112278,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
13,30829.061417988378,64015.91632908389,0.5184156818203345,64015.91632908389,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
14,31347.84222412611,64015.91632908389,0.5103117471133649,92151.12612193661,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withVI
