errStatus,section,location,message
green,timestep mapping,,superordinate dispatch level provided via options was used
yellow,technology mapping,carrier,some carrier of technology 'reservoir'  can be discharged but not charged
yellow,technology mapping,storage capacity,"in some cases limits prevent energy capacity for technology 'h2Cavern', but other storage capacity exists, therefore respective variables exist anyway"
yellow,technology mapping,storage expansion,"in some cases limits prevent energy expansion for technology 'h2Cavern', but other storage expansion exists, therefore respective variables exist anyway"
yellow,limit,emission,"enforced limit for sum of variables across all scenarios, to prevent this add a scenario column to the input file"
