timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,directed,variable,value,objName
none,30th < 2040,EU < BE < be,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,1.4000000054077189,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DE < de,EU < DK < dk_e,none,powerGrid < hvdc,no,expExc,0.5151490373373349,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DE < de,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,1.9999996747517466,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DE < de,EU < SE < se_4,none,powerGrid < hvdc,no,expExc,1.3999999249900408,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DK < dk_e,EU < PL < pl,none,powerGrid < hvdc,no,expExc,1.9307652407602768e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DK < dk_w,nonEU < NO < no_s,none,powerGrid < hvdc,no,expExc,3.8657531474088165,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < EE < ee,EU < FI < fi,none,powerGrid < hvdc,no,expExc,1.0544744949276759,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < FI < fi,EU < SE < se_1,none,powerGrid < hvdc,no,expExc,2.999999914595657,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < FI < fi,EU < SE < se_2,none,powerGrid < hvdc,no,expExc,0.7999999832244586,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr,EU < IE < ie,none,powerGrid < hvdc,no,expExc,1.3999999535359091,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,6.199999811389427,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < GR < gr,EU < IT < it_s,none,powerGrid < hvdc,no,expExc,0.9999999899748477,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < IT < it_cs,nonEU < ME < me,none,powerGrid < hvdc,no,expExc,1.5999999816517545,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < NL < nl,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,2.0000000320869042,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,nonEU < NO < no_s,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,4.499999875979602,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < PL < pl,EU < SE < se_4,none,powerGrid < hvdc,no,expExc,0.10811981005804247,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,nonEU < UK < ni,nonEU < UK < uk,none,powerGrid < hvdc,no,expExc,2.7387039987436523,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < SI < si < 57SI,EU < AT < at < 50AT,none,h2Grid,yes,expExc,0.6146882746216207,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr < 26FR,EU < BE < be < 28BE,none,h2Grid,yes,expExc,0.3837120628295116,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < FR < fr < 27FR,EU < BE < be < 28BE,none,h2Grid,yes,expExc,0.16628725074891187,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DK < dk_w < 38DK,EU < DE < de < 31DE,none,h2Grid,yes,expExc,1.4147373938515517,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < DK < dk_w < 38DK,EU < DK < dk_e < 72DK,none,h2Grid,yes,expExc,0.03206589817522627,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,EU < SE < se_4 < 89SE,EU < DK < dk_e < 72DK,none,h2Grid,yes,expExc,0.08971190498155833,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
none,30th < 2040,nonEU < NO < no_s < 79NO,EU < DK < dk_w < 38DK,none,h2Grid,yes,expExc,0.1329046332445699,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
