i,low,best,gap,solCur,time
1,117.65940054256382,2.2845687582589407e7,0.9999948498201195,2.2845687582589407e7,0.06666666666666667
2,2011.5563120974796,2.2845687582589407e7,0.9999119502836225,2.284758004077858e7,0.06666666666666667
3,6310.570475896951,9.869433979814636e6,0.9993605944891264,9.869433979814636e6,0.06666666666666667
4,6310.570502267965,9.869433979814636e6,0.9993605944864544,9.905630857951725e6,0.06666666666666667
5,6323.308907799889,9.869433979814636e6,0.9993593037938414,1.1032366265115557e7,0.06666666666666667
6,6327.537832458703,3.231210589538779e6,0.9980417439046082,3.231210589538779e6,0.08333333333333333
7,6327.538598699073,1.9864659016302882e6,0.9968146754527696,1.9864659016302882e6,0.08333333333333333
8,6369.657566094638,1.9864659016302882e6,0.9967934724875634,2.04252210025315e6,0.08333333333333333
9,6390.717364290142,1.9262345757297392e6,0.9966822746072508,1.9262345757297392e6,0.08333333333333333
10,6488.481423478123,1.9262345757297392e6,0.9966315206334514,1.0557742037868293e7,0.08333333333333333
11,6525.701938442649,1.9262345757297392e6,0.9966121976935387,2.7053308340110164e6,0.1
12,6541.261251469142,1.9262345757297392e6,0.996604120113984,3.14773915955601e6,0.1
13,6551.789497788092,1.9262345757297392e6,0.996598654400487,2.628117443234175e6,0.1
14,6558.5425514835415,1.9262345757297392e6,0.9965951485690683,1.998281730476954e6,0.1
15,6575.744511621719,1.9262345757297392e6,0.9965862182132565,2.301876767605147e6,0.1
16,6582.367901368956,1.8057954766666528e6,0.9963548652178931,1.8057954766666528e6,0.1
17,6611.716813075315,1.8057954766666528e6,0.9963386125956634,2.150110973089088e6,0.11666666666666667
18,6712.183198661805,1.8057954766666528e6,0.9962829770672302,3.112560213778488e6,0.11666666666666667
19,6741.215316406035,1.8057954766666528e6,0.9962668998768068,2.680683930295676e6,0.11666666666666667
20,6834.470684383561,1.8057954766666528e6,0.9962152576121193,3.0646133274274054e6,0.11666666666666667
21,6886.815946586575,1.8057954766666528e6,0.9961862702418,2.254845967459177e6,0.13333333333333333
22,6934.304596305119,1.8057954766666528e6,0.9961599723302523,2.162183142778658e6,0.13333333333333333
23,7043.478897068753,1.3908664426123283e6,0.9949359056475331,1.3908664426123283e6,0.13333333333333333
24,7050.690139091654,1.2564641948869242e6,0.9943884671224347,1.2564641948869242e6,0.13333333333333333
25,7066.947960915267,1.2564641948869242e6,0.9943755277789262,1.3870831920265001e6,0.13333333333333333
26,7089.55122460595,1.2564641948869242e6,0.9943575381984968,1.5940665245190074e6,0.15
27,7099.8512445106035,1.2564641948869242e6,0.9943493405753997,1.376325104672515e6,0.15
28,7146.526609606722,1.0177893302565011e6,0.992978383249699,1.0177893302565011e6,0.15
29,7240.4613850510095,1.0177893302565011e6,0.992886090303947,5.309172957394697e6,0.15
30,7396.914521763298,1.0177893302565011e6,0.9927323717179279,6.070614288727002e6,0.16666666666666666
31,7534.580756689248,1.0177893302565011e6,0.9925971116686885,4.25066908740991e6,0.16666666666666666
32,7576.569571158858,1.0177893302565011e6,0.9925558567515642,2.4359843191007865e6,0.16666666666666666
33,7600.138421638835,1.0177893302565011e6,0.992532699846909,1.5056437229518993e6,0.16666666666666666
34,7713.769989153325,1.0177893302565011e6,0.992421054377521,1.6274172251108056e6,0.16666666666666666
35,7761.956685215074,1.0177893302565011e6,0.9923737099078658,1.3860899893085158e6,0.18333333333333332
36,7957.810804271745,1.0177893302565011e6,0.9921812790056797,8.931330145093858e6,0.18333333333333332
37,8272.179817917282,1.0177893302565011e6,0.9918724046597811,9.014184828426983e6,0.18333333333333332
38,8698.670343788803,1.0177893302565011e6,0.991453368506431,4.612602203409335e6,0.18333333333333332
39,8774.654810660959,1.0177893302565011e6,0.9913787121265561,3.0032619399369005e6,0.2
40,8861.342441880557,1.0177893302565011e6,0.9912935396565344,2.8252817134696483e6,0.2
41,8935.823604640414,1.0177893302565011e6,0.9912203603054196,2.2100080797841502e6,0.2
42,8975.923856982728,1.0177893302565011e6,0.9911809609413761,2.646284308264682e6,0.2
43,9008.64211159209,1.0177893302565011e6,0.9911488145495475,2.649476335672036e6,0.21666666666666667
44,9045.638384434695,1.0177893302565011e6,0.9911124649124048,2.4960427489784225e6,0.21666666666666667
45,9062.283041322878,1.0177893302565011e6,0.9910961111775076,1.618056108746758e6,0.21666666666666667
46,9074.322688050794,1.0177893302565011e6,0.9910842819645556,2.3485781644754536e6,0.21666666666666667
47,9093.622874903256,1.0177893302565011e6,0.9910653191141122,2.4694714686707067e6,0.23333333333333334
48,9112.47815484842,1.0177893302565011e6,0.9910467933943148,2.0096624010831849e6,0.23333333333333334
