i,low,best,gap,solCur,time,case
1,139.57006765602694,2.2845709493289806e7,0.999993890753636,2.2845709493289806e7,0.06666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
2,2011.5564516168206,2.114640698457801e7,0.9999048747878028,2.114640698457801e7,0.06666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
3,20121.750263173508,1.750899923585253e7,0.9988507766782027,1.750899923585253e7,0.08333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
4,20255.838825015082,1.413064730838023e7,0.9985665314275446,1.413064730838023e7,0.08333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
5,20377.94519292214,1.0759395248870917e7,0.9981060324747285,1.0759395248870917e7,0.08333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
6,20377.94519292214,6.746996080181959e6,0.9969797010475849,6.746996080181959e6,0.1,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
7,20489.31999525477,3.290303740116813e6,0.9937728180698213,3.290303740116813e6,0.1,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
8,26147.97690679206,1.5822058535678764e6,0.9834737200296483,1.5822058535678764e6,0.1,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
9,44696.222978106365,1.0901383848113162e6,0.9589994962099766,1.0901383848113162e6,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
10,56953.71527898,820324.5297989913,0.9305717271517704,820324.5297989913,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
11,62878.97094514383,659726.5286199439,0.9046893398743903,659726.5286199439,0.11666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
12,67550.81014720138,520296.38372313016,0.8701685957072733,520296.38372313016,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
13,76296.24664786289,469087.6551403716,0.8373518343282095,469087.6551403716,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
14,88263.00322561162,449230.557960071,0.8035240442537822,449230.557960071,0.13333333333333333,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
15,116466.65764873422,362644.0195717439,0.6788402638315314,362644.0195717439,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
16,117429.8703888437,362644.0195717439,0.6761841804877416,374956.9715190148,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
17,117735.36643967175,338145.0107876984,0.6518198918108806,338145.0107876984,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
18,118688.38615791917,279589.130889887,0.575489984964175,279589.130889887,0.15,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
19,119249.3519406378,274715.80402086943,0.5659173946484027,274715.80402086943,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
20,119620.53650283648,274715.80402086943,0.5645662362630246,360127.39751638,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
21,119743.9972333301,274715.80402086943,0.5641168237112654,349164.7512038902,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
22,120016.97143219868,274715.80402086943,0.5631231633725692,359412.83565509005,0.16666666666666666,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
23,120207.85161860989,274715.80402086943,0.5624283355409796,358120.4961007851,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
24,121930.76263455862,274715.80402086943,0.5561567232393523,320107.0437710221,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
25,122265.41628521658,274715.80402086943,0.5549385419561504,290560.7790956179,0.18333333333333332,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
26,122477.1032306413,266757.55435976764,0.5408673485382902,266757.55435976764,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
27,122965.02517451096,266757.55435976764,0.5390382646533345,303187.78295793023,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
28,123192.34368180568,266757.55435976764,0.538186110689634,291291.4196446771,0.2,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
29,123252.90912557485,266757.55435976764,0.5379590676583146,289951.1915803541,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
30,124993.45771384581,266757.55435976764,0.5314342343037415,276390.843159169,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
31,125669.71890762553,266757.55435976764,0.5288991188675441,268852.9190811625,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
32,125835.8967903867,264319.47290895425,0.5239249859062358,264319.47290895425,0.21666666666666667,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
33,126122.12347077465,264319.47290895425,0.5228421043567311,275719.37266817887,0.23333333333333334,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
34,126276.94109467819,264319.47290895425,0.5222563827593032,268196.56672013656,0.23333333333333334,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
35,126650.20984108161,264319.47290895425,0.5208441949159504,268874.7878267914,0.23333333333333334,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
36,126818.49613248227,259100.9420061897,0.5105440561097896,259100.9420061897,0.25,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
37,127501.62695987275,259100.9420061897,0.5079075129073563,325280.1845503114,0.25,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
38,127590.59864563546,259100.9420061897,0.5075641267155739,289632.0898747082,0.25,_qtrNoIni_96_s2_rad0.05_shr0.00075_withoutVI_noBuy
