i,lowCost,bestObj,gap,curCost,time_ges,time_top,time_waitNoStab,time_subTot,time_sub,numFoc,actMethod,dynPar_qtrLvl,objName
1,0.0,1.944344801347194e7,1.0,1.944344801347194e7,17.083333333333332,0.0,0.0,0.13385,"[0.0795, 0.0782, 0.0856, 0.0816, 0.077, 0.0769, 0.0797, 0.083, 0.0832, 0.0822, 0.0786, 0.0883, 0.0905, 0.0844, 0.0824, 0.13, 0.0747, 0.0763, 0.105, 0.102, 0.0741, 0.087, 0.0904, 0.134, 0.086, 0.09, 0.0851, 0.0823, 0.0959, 0.133, 0.0901, 0.0809, 0.0908, 0.0949, 0.0913, 0.115]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0.0,672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
2,41640.44226813805,1.5490766282304872e7,0.9973119184997514,1.5490766282304872e7,17.45,0.08153333333333333,0.0,0.08543333333333333,"[0.0455, 0.0471, 0.0524, 0.0472, 0.0464, 0.045, 0.0464, 0.0545, 0.0405, 0.0587, 0.0454, 0.0416, 0.0592, 0.0483, 0.0396, 0.0666, 0.0504, 0.0499, 0.0606, 0.0644, 0.0632, 0.0733, 0.054, 0.0744, 0.0641, 0.0636, 0.0739, 0.0854, 0.0603, 0.0753, 0.0785, 0.0623, 0.0519, 0.0652, 0.0586, 0.0518]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 7800.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
3,59814.42048925378,1.0399768726589043e7,0.994248485513305,1.0399768726589043e7,17.533333333333335,0.020216666666666668,0.0,0.0463,"[0.0184, 0.0168, 0.019, 0.033, 0.018, 0.016, 0.0181, 0.0276, 0.016, 0.017, 0.0182, 0.0194, 0.0201, 0.0239, 0.016, 0.0274, 0.0259, 0.0258, 0.0288, 0.0324, 0.0246, 0.0417, 0.0356, 0.0414, 0.0422, 0.0411, 0.0463, 0.0343, 0.0323, 0.0423, 0.0446, 0.0382, 0.029, 0.0302, 0.0222, 0.0237]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 5200.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
4,68430.03081614517,6.438249726723326e6,0.9893713301408438,6.438249726723326e6,17.633333333333333,0.01775,0.0,0.06265,"[0.0237, 0.0198, 0.0223, 0.0196, 0.0193, 0.0154, 0.0195, 0.045, 0.0166, 0.0205, 0.019, 0.0216, 0.0193, 0.0284, 0.0192, 0.0345, 0.0252, 0.0301, 0.0245, 0.0343, 0.0265, 0.0412, 0.0416, 0.0418, 0.0442, 0.0626, 0.0553, 0.042, 0.0404, 0.0546, 0.0534, 0.0553, 0.0493, 0.0456, 0.0237, 0.0336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 3300.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
5,69778.66822549727,5.7987784187585e6,0.9879666607022317,5.7987784187585e6,17.716666666666665,0.01983333333333333,0.0,0.06388333333333333,"[0.0164, 0.0163, 0.038, 0.018, 0.0156, 0.0218, 0.0171, 0.0177, 0.0173, 0.0161, 0.018, 0.0192, 0.0255, 0.0332, 0.0166, 0.0504, 0.0315, 0.0269, 0.0332, 0.0351, 0.0376, 0.0351, 0.0347, 0.0368, 0.0357, 0.0349, 0.0458, 0.0639, 0.0327, 0.0411, 0.0457, 0.035, 0.0273, 0.0319, 0.0233, 0.022]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 2900.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
6,88273.59616019935,3.77342428917182e6,0.9766065013114194,3.77342428917182e6,17.833333333333332,0.026983333333333335,0.0,0.08978333333333333,"[0.0293, 0.0166, 0.0199, 0.0286, 0.0216, 0.0177, 0.0355, 0.0192, 0.0225, 0.021, 0.0302, 0.028, 0.0238, 0.027, 0.0212, 0.0337, 0.0253, 0.0299, 0.0226, 0.0276, 0.0271, 0.0443, 0.0487, 0.0414, 0.0527, 0.0633, 0.0579, 0.0423, 0.0514, 0.0898, 0.0438, 0.0368, 0.0285, 0.0269, 0.0291, 0.0251]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 1900.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
7,90065.720220166,3.77342428917182e6,0.9761315682207756,5.411015811637323e6,17.95,0.031483333333333335,0.0008000000000000007,0.07773333333333333,"[0.0186, 0.0185, 0.0195, 0.0214, 0.0176, 0.0175, 0.0164, 0.0204, 0.0219, 0.0199, 0.0193, 0.0195, 0.0179, 0.0211, 0.0174, 0.026, 0.026, 0.0315, 0.03, 0.0319, 0.0242, 0.0391, 0.0416, 0.0777, 0.0395, 0.041, 0.047, 0.0371, 0.0368, 0.0426, 0.0398, 0.0373, 0.0272, 0.0296, 0.0232, 0.0235]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.2, 1900.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
8,106654.80610911023,2.5436222701718574e6,0.958069715240422,2.5436222701718574e6,18.1,0.02988333333333333,0.021883333333333328,0.08925000000000001,"[0.0342, 0.035, 0.0287, 0.0252, 0.037, 0.0197, 0.0236, 0.0254, 0.0347, 0.0363, 0.0396, 0.0326, 0.0238, 0.0253, 0.0249, 0.0306, 0.0268, 0.037, 0.0216, 0.0392, 0.0282, 0.0595, 0.0566, 0.0434, 0.0563, 0.0667, 0.0839, 0.0409, 0.0677, 0.0893, 0.0392, 0.0386, 0.0284, 0.0623, 0.0281, 0.0256]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 1300.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
9,106862.95242902021,2.5436222701718574e6,0.9579878845683325,3.002552357465092e6,18.25,0.03601666666666667,0.04815,0.05835,"[0.0204, 0.028, 0.0375, 0.0176, 0.0165, 0.0236, 0.0193, 0.0192, 0.0177, 0.0165, 0.0189, 0.0232, 0.0236, 0.0379, 0.0216, 0.0508, 0.0392, 0.0326, 0.0496, 0.0394, 0.0528, 0.0393, 0.0433, 0.0584, 0.0562, 0.0406, 0.0506, 0.0539, 0.0426, 0.0568, 0.0542, 0.0374, 0.033, 0.0321, 0.0379, 0.0195]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 1300.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
10,110169.92070286539,1.8230910840347386e6,0.9395697112077116,1.8230910840347386e6,18.383333333333333,0.04048333333333333,0.008883333333333339,0.07118333333333333,"[0.0506, 0.045, 0.0226, 0.018, 0.0288, 0.0253, 0.0374, 0.0247, 0.0367, 0.0179, 0.0171, 0.0443, 0.0457, 0.0418, 0.0189, 0.0412, 0.0433, 0.0406, 0.0408, 0.0356, 0.0289, 0.0601, 0.0405, 0.0475, 0.0542, 0.0402, 0.0659, 0.0712, 0.0604, 0.0489, 0.0511, 0.0536, 0.0471, 0.033, 0.0264, 0.0282]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",qtrLvl,"[0.19, 970.0]",672h_all_total36_ext4_month_qtrLvl_1trust_40cutDel_10000dnsThrs_1Upper
