i,lowCost,bestObj,gap,curCost,time_ges,time_top,time_sub,actMethod,dynPar_prx
1,2091.399215585907,1.1241569286124827e6,0.9981395842854722,2.2847725415648356e7,2.0,0.024566666666666667,0.0033833333333333337,prx,"[0.5, -36.72]"
2,6390.43307580761,1.1241569286124827e6,0.9943153549890092,9.644097793947432e6,2.0166666666666666,0.00036666666666666667,0.0038,prx,"[0.25, -6.62]"
3,6714.070277958276,1.1241569286124827e6,0.9940274617297024,1.6350427357353354e6,2.033333333333333,0.0009833333333333332,0.004033333333333333,prx,"[0.25, 0.27]"
4,6824.816203971161,1.1241569286124827e6,0.9939289470800177,1.3125024335988013e6,2.033333333333333,0.00055,0.0039000000000000003,prx,"[0.25, 0.42]"
5,6942.513158769822,1.1039198617959663e6,0.9937110351946427,1.1039198617959663e6,2.033333333333333,0.0005166666666666667,0.004183333333333333,prx,"[0.51, 0.51]"
6,7127.699854732375,961558.1669672554,0.9925873440634246,961558.1669672554,2.05,0.00046666666666666666,0.0037,prx,"[1.15, 1.15]"
7,7281.125433970441,961558.1669672554,0.9924277847309695,3.5125897995139826e6,2.05,0.00045,0.00455,prx,"[0.58, -3.85]"
8,7329.76589704164,961558.1669672554,0.9923771996860474,1.6164654536489446e6,2.05,0.0006166666666666666,0.003683333333333333,prx,"[0.36, 0.36]"
9,7419.312596203749,961558.1669672554,0.9922840730274236,1.0187592210096192e6,2.05,0.00046666666666666666,0.0037,prx,"[0.36, 0.68]"
10,7455.835669464925,961558.1669672554,0.9922460898096466,1.2578097843605739e6,2.066666666666667,0.0006166666666666666,0.004116666666666667,prx,"[0.36, 0.5]"
11,7610.040757213446,961558.1669672554,0.9920857198049542,1.1021588296953994e6,2.066666666666667,0.0004166666666666667,0.003766666666666667,prx,"[0.36, 0.62]"
12,7628.525752789994,961558.1669672554,0.9920664958035246,1.0044736399529382e6,2.066666666666667,0.0006833333333333333,0.003483333333333333,prx,"[0.36, 0.69]"
13,9285.14572984282,961558.1669672554,0.9903436463348566,1.1062377668660893e6,2.0833333333333335,0.00065,0.0037833333333333334,prx,"[0.36, 0.61]"
14,9301.785516019127,961558.1669672554,0.9903263413118762,1.0090920597556132e6,2.0833333333333335,0.00048333333333333334,0.004016666666666667,prx,"[0.36, 0.69]"
15,9354.323808660738,927214.3372899403,0.9899113684587735,927214.3372899403,2.0833333333333335,0.00065,0.00405,prx,"[0.75, 0.75]"
16,9410.293331371997,598715.9181566599,0.9842825402732825,598715.9181566599,2.1,0.0007,0.006533333333333334,prx,"[2.03, 2.03]"
17,16295.057338539564,427976.92043637566,0.9619253829811086,427976.92043637566,2.1,0.0007166666666666666,0.005683333333333334,prx,"[7.56, 7.56]"
18,17680.437310976,183537.88516545919,0.9036687314172923,183537.88516545919,2.1,0.0006333333333333333,0.006033333333333333,prx,"[27.06, 27.06]"
19,17748.862488521056,98031.9037040245,0.8189480993645907,98031.9037040245,2.1166666666666667,0.0006666666666666666,0.006516666666666667,prx,"[84.91, 84.91]"
20,21441.413026077527,86834.65389338645,0.7530776934701348,86834.65389338645,2.1166666666666667,0.0011333333333333334,0.006633333333333334,prx,"[400.68, 400.68]"
21,23438.19507713621,86834.65389338645,0.7300824725355263,87407.871645217,2.1333333333333333,0.0006666666666666666,0.007383333333333334,prx,"[400.68, 792.6]"
22,24075.34518715037,72170.40034951511,0.6664097043863478,72170.40034951511,2.15,0.0007333333333333333,0.006500000000000001,prx,"[1038.01, 1038.01]"
23,29779.26054115794,72170.40034951511,0.5873757053176993,112115.7134353256,2.15,0.0011500000000000002,0.0038666666666666667,prx,"[519.01, -24.2]"
24,30140.200322599256,72170.40034951511,0.5823744890338307,115678.75821227656,2.15,0.0009,0.00385,prx,"[259.5, -163.13]"
